Performance Recorder: AA_1D_Detailed_NoPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      60.991       571.37       562.82       4.474e+06    71.586           9.902e+06   158.43          4.474e+06   71.586      2.777e+07   444.25      1.4694        
1      60.989       571.36       540.56       4.266e+06    68.25            9.125e+06   146             4.266e+06   68.25       2.584e+07   413.43      1.4694        
2      60.989       571.36       473.78       4.403e+06    70.455           9.427e+06   150.84          4.403e+06   70.455      2.744e+07   438.99      1.4694        
3      60.989       571.37       472.14       4.221e+06    67.538           9.164e+06   146.63          4.221e+06   67.538      2.540e+07   406.33      1.4694        
4      60.988       571.36       475.8        4.400e+06    70.394           9.368e+06   149.89          4.400e+06   70.394      2.740e+07   438.37      1.4694        
5      60.985       571.37       572.51       4.334e+06    69.349           9.996e+06   159.94          4.334e+06   69.349      2.635e+07   421.58      1.4694        
6      60.988       571.37       558.96       4.078e+06    65.252           1.068e+07   170.9           4.078e+06   65.252      2.412e+07   385.86      1.4694        
7      60.985       571.39       537.66       4.472e+06    71.558           1.121e+07   179.35          4.472e+06   71.558      2.827e+07   452.34      1.4694        
8      60.988       571.39       547.16       4.482e+06    71.716           1.202e+07   192.26          4.482e+06   71.716      2.882e+07   461.12      1.4694        
9      60.985       571.44       531.22       4.486e+06    71.781           1.205e+07   192.82          4.486e+06   71.781      2.874e+07   459.91      1.4694        
10     60.987       571.38       540.1        4.485e+06    71.764           1.206e+07   192.92          4.485e+06   71.764      2.873e+07   459.74      1.4694        
11     60.986       571.4        545.32       4.450e+06    71.192           1.182e+07   189.11          4.450e+06   71.192      2.847e+07   455.5       1.4694        
12     60.99        571.39       544.26       4.507e+06    72.105           1.212e+07   193.97          4.507e+06   72.105      2.901e+07   464.1       1.4694        
13     60.987       571.38       532.22       4.468e+06    71.487           1.066e+07   170.6           4.468e+06   71.487      2.790e+07   446.47      1.4694        
14     60.989       571.39       617.13       4.312e+06    68.99            1.151e+07   184.14          4.312e+06   68.99       2.648e+07   423.74      1.4694        
15     60.993       571.39       647.38       4.871e+06    77.938           1.232e+07   197.06          4.871e+06   77.938      3.114e+07   498.17      1.4694        
16     60.987       571.37       607.49       4.899e+06    78.387           1.410e+07   225.57          4.899e+06   78.387      3.124e+07   499.91      1.4694        
17     60.987       571.35       478.55       4.328e+06    69.253           9.178e+06   146.85          4.328e+06   69.253      2.680e+07   428.84      1.4694        
18     60.986       571.38       546.27       4.629e+06    74.058           1.034e+07   165.41          4.629e+06   74.058      2.881e+07   461.04      1.4694        
19     60.985       571.38       436.51       4.004e+06    64.056           7.732e+06   123.71          4.004e+06   64.056      2.363e+07   378.07      1.4694        
20     60.987       571.34       440.16       4.302e+06    68.839           9.007e+06   144.12          4.302e+06   68.839      2.687e+07   429.94      1.4694        
21     60.985       571.36       492.07       4.446e+06    71.13            1.032e+07   165.09          4.446e+06   71.13       2.811e+07   449.8       1.4694        
22     60.988       571.34       493.39       4.579e+06    73.265           1.161e+07   185.76          4.579e+06   73.265      2.930e+07   468.86      1.4694        
23     60.987       571.36       493.23       4.578e+06    73.255           1.162e+07   185.97          4.578e+06   73.255      2.930e+07   468.81      1.4694        
24     60.985       571.39       502.31       4.564e+06    73.019           1.160e+07   185.64          4.564e+06   73.019      2.919e+07   467.11      1.4694        
25     60.986       571.36       493.07       4.579e+06    73.265           1.163e+07   186.03          4.579e+06   73.265      2.930e+07   468.87      1.4694        
26     60.986       571.37       492.98       4.553e+06    72.852           1.101e+07   176.22          4.553e+06   72.852      2.899e+07   463.81      1.4694        
27     60.986       571.39       441.11       4.299e+06    68.78            9.281e+06   148.49          4.299e+06   68.78       2.691e+07   430.58      1.4694        
28     60.987       571.41       484.48       4.485e+06    71.766           1.047e+07   167.5           4.485e+06   71.766      2.843e+07   454.85      1.4694        
29     60.986       571.37       483.56       4.259e+06    68.141           9.359e+06   149.75          4.259e+06   68.141      2.582e+07   413.19      1.4694        
30     60.987       571.38       495.27       4.307e+06    68.917           8.740e+06   139.84          4.307e+06   68.917      2.625e+07   419.97      1.4694        
31     60.986       571.39       495.81       4.574e+06    73.183           1.107e+07   177.04          4.574e+06   73.183      2.926e+07   468.13      1.4694        
32     60.986       571.36       497.94       4.574e+06    73.182           1.121e+07   179.36          4.574e+06   73.182      2.926e+07   468.12      1.4694        
33     60.988       571.35       495.71       4.558e+06    72.923           1.128e+07   180.55          4.558e+06   72.923      2.914e+07   466.31      1.4694        
34     60.986       571.37       493.09       4.574e+06    73.182           1.133e+07   181.24          4.574e+06   73.182      2.926e+07   468.13      1.4694        
35     60.986       571.38       505.98       4.574e+06    73.19            1.134e+07   181.52          4.574e+06   73.19       2.926e+07   468.19      1.4694        
36     60.988       571.36       492.25       4.558e+06    72.928           1.129e+07   180.62          4.558e+06   72.928      2.915e+07   466.35      1.4694        
37     60.988       571.37       494.76       4.573e+06    73.176           1.124e+07   179.85          4.573e+06   73.176      2.926e+07   468.13      1.4694        
38     60.988       571.34       500.03       4.572e+06    73.16            1.111e+07   177.7           4.572e+06   73.16       2.925e+07   468.05      1.4694        
39     60.988       571.39       502.93       4.555e+06    72.88            1.119e+07   179.11          4.555e+06   72.88       2.914e+07   466.19      1.4694        
40     60.987       571.36       484.22       4.160e+06    66.559           9.618e+06   153.88          4.160e+06   66.559      2.505e+07   400.75      1.4694        
41     60.986       571.37       535.64       4.355e+06    69.682           9.558e+06   152.92          4.355e+06   69.682      2.665e+07   426.34      1.4694        
42     60.986       571.37       622.69       4.895e+06    78.32            1.282e+07   205.19          4.895e+06   78.32       3.092e+07   494.74      1.4694        
43     60.987       571.39       592.09       4.940e+06    79.04            1.364e+07   218.26          4.940e+06   79.04       3.197e+07   511.47      1.4694        
44     60.982       571.39       609.4        4.954e+06    79.257           1.355e+07   216.83          4.954e+06   79.257      3.219e+07   515.03      1.4694        
45     60.98        571.4        575.21       4.914e+06    78.624           1.301e+07   208.19          4.914e+06   78.624      3.164e+07   506.26      1.4694        
46     60.981       571.36       589.78       4.182e+06    66.906           9.327e+06   149.24          4.182e+06   66.906      2.480e+07   396.84      1.4694        
47     60.983       571.41       521.51       4.312e+06    68.999           8.864e+06   141.82          4.312e+06   68.999      2.685e+07   429.53      1.4694        
48     60.986       571.45       506.81       4.313e+06    69.006           8.848e+06   141.57          4.313e+06   69.006      2.685e+07   429.6       1.4694        
49     60.987       571.36       500.66       4.312e+06    68.986           8.860e+06   141.76          4.312e+06   68.986      2.685e+07   429.61      1.4694        
50     60.984       571.39       509.88       4.307e+06    68.915           8.842e+06   141.47          4.307e+06   68.915      2.684e+07   429.48      1.4694        
51     60.987       571.38       499.03       4.303e+06    68.844           8.828e+06   141.25          4.303e+06   68.844      2.684e+07   429.48      1.4694        
52     60.984       571.36       466.26       3.697e+06    59.153           9.930e+06   158.88          3.697e+06   59.153      2.161e+07   345.74      1.4694        
53     60.984       571.35       433.87       4.047e+06    64.753           1.062e+07   169.86          4.047e+06   64.753      2.318e+07   370.82      1.4694        
54     60.985       571.39       466.06       4.374e+06    69.985           1.416e+07   226.62          4.374e+06   69.985      2.765e+07   442.47      1.4694        
55     60.985       571.4        471.81       4.356e+06    69.694           1.420e+07   227.26          4.356e+06   69.694      2.757e+07   441.16      1.4694        
56     60.986       571.41       447.71       4.251e+06    68.021           1.118e+07   178.94          4.251e+06   68.021      2.455e+07   392.82      1.4694        
57     60.985       571.36       381.34       3.601e+06    57.619           1.056e+07   169.03          3.601e+06   57.619      2.063e+07   330.04      1.4694        
58     60.986       571.39       483.09       4.393e+06    70.293           9.035e+06   144.56          4.393e+06   70.293      2.725e+07   436.03      1.4694        
59     60.986       571.37       473.8        4.392e+06    70.279           9.028e+06   144.44          4.392e+06   70.279      2.725e+07   435.99      1.4694        
60     60.975       571.37       484.5        4.393e+06    70.286           9.027e+06   144.44          4.393e+06   70.286      2.725e+07   435.97      1.4694        
61     60.975       571.37       474.4        4.393e+06    70.284           9.029e+06   144.47          4.393e+06   70.284      2.725e+07   435.97      1.4694        
62     60.976       571.38       483.73       4.390e+06    70.239           9.020e+06   144.32          4.390e+06   70.239      2.724e+07   435.9       1.4694        
63     60.974       571.41       469.12       4.206e+06    67.291           7.602e+06   121.63          4.206e+06   67.291      2.537e+07   405.87      1.4694        
