Performance Recorder: AA_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      105.34       5400.4       1564.7       4.424e+06    70.78            2.831e+08   4529.2          4.424e+06   70.78       2.764e+07   442.16      7.2684        
1      105.33       5400.4       1566.8       4.422e+06    70.749           2.831e+08   4529.2          4.422e+06   70.749      2.761e+07   441.78      7.2684        
2      105.33       5400.4       1580.9       4.424e+06    70.781           2.831e+08   4529.2          4.424e+06   70.781      2.763e+07   442.07      7.2684        
3      105.33       5400.4       1577         4.429e+06    70.868           2.831e+08   4529.2          4.429e+06   70.868      2.764e+07   442.27      7.2684        
4      105.33       5400.4       1568.5       4.427e+06    70.836           2.831e+08   4529.2          4.427e+06   70.836      2.765e+07   442.34      7.2684        
5      105.33       5400.4       1559.9       4.424e+06    70.786           2.831e+08   4529.2          4.424e+06   70.786      2.763e+07   442.11      7.2684        
6      105.34       5400.4       1582.4       4.426e+06    70.816           2.831e+08   4529.2          4.426e+06   70.816      2.764e+07   442.24      7.2684        
7      105.33       5400.5       1574.4       4.413e+06    70.616           2.831e+08   4529.2          4.413e+06   70.616      2.760e+07   441.65      7.2684        
8      105.34       5400.4       1559.6       4.423e+06    70.773           2.831e+08   4529.2          4.423e+06   70.773      2.762e+07   442         7.2684        
9      105.33       5400.4       1550.1       4.421e+06    70.729           2.831e+08   4529.2          4.421e+06   70.729      2.760e+07   441.64      7.2684        
10     105.33       5400.4       1576.7       4.420e+06    70.721           2.831e+08   4529.2          4.420e+06   70.721      2.762e+07   441.93      7.2684        
11     105.33       5400.4       1576         4.424e+06    70.783           2.831e+08   4529.2          4.424e+06   70.783      2.764e+07   442.17      7.2684        
12     105.34       5400.4       1561.2       4.427e+06    70.835           2.831e+08   4529.2          4.427e+06   70.835      2.766e+07   442.52      7.2684        
13     105.33       5400.4       1566         4.420e+06    70.72            2.831e+08   4529.2          4.420e+06   70.72       2.761e+07   441.7       7.2684        
14     105.34       5400.4       1580.1       4.430e+06    70.88            2.831e+08   4529.2          4.430e+06   70.88       2.765e+07   442.39      7.2684        
15     105.33       5400.4       1574.2       4.422e+06    70.746           2.831e+08   4529.2          4.422e+06   70.746      2.764e+07   442.29      7.2684        
16     105.34       5400.4       1554.9       4.427e+06    70.826           2.831e+08   4529.2          4.427e+06   70.826      2.764e+07   442.28      7.2684        
17     105.34       5400.4       1552.4       4.421e+06    70.738           2.831e+08   4529.2          4.421e+06   70.738      2.761e+07   441.81      7.2684        
18     105.34       5400.4       1562.9       4.423e+06    70.768           2.831e+08   4529.2          4.423e+06   70.768      2.764e+07   442.25      7.2684        
19     105.34       5400.4       1561.3       4.425e+06    70.804           2.831e+08   4529.2          4.425e+06   70.804      2.765e+07   442.38      7.2684        
20     105.34       5400.4       1546.8       4.420e+06    70.721           2.831e+08   4529.2          4.420e+06   70.721      2.761e+07   441.73      7.2684        
21     105.33       5400.4       1549.1       4.424e+06    70.779           2.831e+08   4529.2          4.424e+06   70.779      2.762e+07   441.93      7.2684        
22     105.34       5400.4       1562.3       4.422e+06    70.756           2.831e+08   4529.2          4.422e+06   70.756      2.762e+07   441.98      7.2684        
23     105.34       5400.4       1559.3       4.420e+06    70.728           2.831e+08   4529.2          4.420e+06   70.728      2.760e+07   441.66      7.2684        
24     105.34       5400.4       1546.6       4.423e+06    70.764           2.831e+08   4529.2          4.423e+06   70.764      2.763e+07   442.05      7.2684        
25     105.33       5400.4       1546.9       4.419e+06    70.709           2.831e+08   4529.2          4.419e+06   70.709      2.761e+07   441.72      7.2684        
26     105.34       5400.4       1559.1       4.422e+06    70.748           2.831e+08   4529.2          4.422e+06   70.748      2.762e+07   441.92      7.2684        
27     105.33       5400.5       1568.3       4.434e+06    70.939           2.831e+08   4529.2          4.434e+06   70.939      2.768e+07   442.94      7.2684        
28     105.34       5400.4       1549.2       4.422e+06    70.744           2.831e+08   4529.2          4.422e+06   70.744      2.763e+07   442.03      7.2684        
29     105.34       5400.4       1553.5       4.419e+06    70.706           2.831e+08   4529.2          4.419e+06   70.706      2.760e+07   441.61      7.2684        
30     105.34       5400.4       1562.2       4.432e+06    70.905           2.831e+08   4529.2          4.432e+06   70.905      2.767e+07   442.71      7.2684        
31     105.34       5400.4       1562.3       4.428e+06    70.853           2.831e+08   4529.2          4.428e+06   70.853      2.767e+07   442.7       7.2684        
32     105.34       5400.4       1562.1       4.419e+06    70.711           2.831e+08   4529.2          4.419e+06   70.711      2.760e+07   441.63      7.2684        
33     105.34       5400.4       1551.7       4.424e+06    70.78            2.831e+08   4529.2          4.424e+06   70.78       2.763e+07   442.08      7.2684        
34     105.34       5400.4       1564.5       4.421e+06    70.73            2.831e+08   4529.2          4.421e+06   70.73       2.761e+07   441.69      7.2684        
35     105.34       5400.4       1564.2       4.419e+06    70.712           2.831e+08   4529.2          4.419e+06   70.712      2.764e+07   442.17      7.2684        
36     105.33       5400.4       1543.2       4.429e+06    70.864           2.831e+08   4529.2          4.429e+06   70.864      2.765e+07   442.4       7.2684        
37     105.33       5400.4       1553         4.420e+06    70.718           2.831e+08   4529.2          4.420e+06   70.718      2.761e+07   441.81      7.2684        
38     105.33       5400.4       1556.4       4.424e+06    70.785           2.831e+08   4529.2          4.424e+06   70.785      2.763e+07   442.16      7.2684        
39     105.33       5400.4       1559.1       4.422e+06    70.755           2.831e+08   4529.2          4.422e+06   70.755      2.763e+07   442.12      7.2684        
40     105.34       5400.4       1546.2       4.421e+06    70.728           2.831e+08   4529.2          4.421e+06   70.728      2.760e+07   441.62      7.2684        
41     105.33       5400.4       1553.9       4.427e+06    70.827           2.831e+08   4529.2          4.427e+06   70.827      2.763e+07   442.06      7.2684        
42     105.33       5400.4       1561.7       4.422e+06    70.744           2.831e+08   4529.2          4.422e+06   70.744      2.762e+07   441.9       7.2684        
43     105.33       5400.4       1557.4       4.420e+06    70.726           2.831e+08   4529.2          4.420e+06   70.726      2.760e+07   441.59      7.2684        
44     105.34       5400.4       1551.9       4.423e+06    70.773           2.831e+08   4529.2          4.423e+06   70.773      2.762e+07   441.94      7.2684        
45     105.34       5400.5       1543.4       4.412e+06    70.595           2.831e+08   4529.2          4.412e+06   70.595      2.756e+07   440.9       7.2684        
46     105.34       5400.4       1563.1       4.421e+06    70.743           2.831e+08   4529.2          4.421e+06   70.743      2.763e+07   442.11      7.2684        
47     105.34       5400.4       1558.5       4.423e+06    70.771           2.831e+08   4529.2          4.423e+06   70.771      2.762e+07   441.85      7.2684        
48     105.34       5400.4       1553.8       4.418e+06    70.695           2.831e+08   4529.2          4.418e+06   70.695      2.761e+07   441.71      7.2684        
49     105.34       5400.4       1550.7       4.419e+06    70.712           2.831e+08   4529.2          4.419e+06   70.712      2.761e+07   441.78      7.2684        
50     105.34       5400.4       1567.6       4.416e+06    70.651           2.831e+08   4529.2          4.416e+06   70.651      2.758e+07   441.33      7.2684        
51     105.34       5400.4       1561.6       4.427e+06    70.831           2.831e+08   4529.2          4.427e+06   70.831      2.764e+07   442.25      7.2684        
52     105.34       5400.4       1556         4.421e+06    70.736           2.831e+08   4529.2          4.421e+06   70.736      2.761e+07   441.74      7.2684        
53     105.34       5400.4       1551.2       4.417e+06    70.669           2.831e+08   4529.2          4.417e+06   70.669      2.758e+07   441.32      7.2684        
54     105.34       5400.4       1566.8       4.428e+06    70.84            2.831e+08   4529.2          4.428e+06   70.84       2.764e+07   442.16      7.2684        
