Performance Recorder: AA_2D_Detailed_NoPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      1822.5        4165.2        6237.4       2538.6       6.790e+07    6.790e+07    4.163e+08    26.951        
1      7251.5        10011         777.27       238.62       1.822e+06    1.822e+06    1.623e+07    26.951        
2      8027.2        9451.8        563.11       123.48       1.025e+06    1.025e+06    9.482e+06    26.951        
3      8157.9        9994.1        12.822       0.00014      0.000e+00    0.000e+00    0.000e+00    26.951        
4      7032.1        5289.6        504.18       176.9        1.789e+06    1.789e+06    1.610e+07    26.951        
5      2683.9        10530         4872.3       2472.6       6.531e+07    6.531e+07    3.937e+08    26.951        
6      6824.2        10532         702.21       274.35       3.106e+06    3.106e+06    2.820e+07    26.951        
7      8611.6        9455.9        349.87       105.89       1.147e+06    1.147e+06    1.012e+07    26.951        
8      8062.8        9589.6        383.79       105.07       1.024e+06    1.024e+06    9.476e+06    26.951        
9      7882.8        9532.5        636.2        310.61       3.091e+06    3.091e+06    2.816e+07    26.951        
10     2635.4        9587.8        5962.4       2478.6       6.553e+07    6.553e+07    3.937e+08    26.951        
11     9421.6        8507.5        665.21       237.21       3.596e+06    3.596e+06    3.243e+07    26.951        
12     2911.1        11552         6.7055       0.00012      0.000e+00    0.000e+00    0.000e+00    26.951        
13     2572.7        15109         435.07       92.225       1.167e+06    1.167e+06    1.016e+07    26.951        
14     2449.6        15085         754.04       257.39       3.592e+06    3.592e+06    3.242e+07    26.951        
15     3968.5        14007         5076         2260.9       6.298e+07    6.298e+07    3.716e+08    26.951        
