Performance Recorder: AA_2D_Detailed_RandPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      1792.5        430.4         5967.7       1771.8       1.807e+07    1.807e+07    1.108e+08    10.74         
1      1773.4        384.79        5996.4       1904.8       1.755e+07    1.755e+07    1.104e+08    10.74         
2      1745.7        388.1         6014.9       1764         1.756e+07    1.756e+07    1.104e+08    10.74         
3      1832.2        306.33        5995.9       1779.5       1.757e+07    1.757e+07    1.104e+08    10.74         
4      1375.7        761.2         6029         1783.5       1.755e+07    1.755e+07    1.103e+08    10.74         
5      1423.2        747.72        6026.9       1795.4       1.807e+07    1.807e+07    1.109e+08    10.74         
6      1423.5        729.2         5998         1800.1       1.757e+07    1.757e+07    1.104e+08    10.74         
7      1468.9        655.37        6021.5       1954.7       1.756e+07    1.756e+07    1.104e+08    10.74         
8      1465.6        661.04        6043.5       1907.9       1.757e+07    1.757e+07    1.104e+08    10.74         
9      1514.4        647.46        6019.4       1767.7       1.758e+07    1.758e+07    1.104e+08    10.74         
10     1537.1        603.36        6037         1770.6       1.807e+07    1.807e+07    1.109e+08    10.74         
11     1551.2        566.31        6029.1       1789.4       1.757e+07    1.757e+07    1.104e+08    10.74         
12     1789.8        399.57        6013         2038.5       1.757e+07    1.757e+07    1.103e+08    10.74         
13     1812.6        379.02        6010.8       1761.1       1.756e+07    1.756e+07    1.104e+08    10.74         
14     1807.9        371.47        5994.6       1759.1       1.757e+07    1.757e+07    1.104e+08    10.74         
15     1862          297.91        6030.1       1771.2       1.807e+07    1.807e+07    1.109e+08    10.74         
