Performance Recorder: CBC_RTA_1D_Detailed_NoPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      40.443       59.716       54.087       1.261e+05    2.0172           2.506e+05   4.009           1.736e+07   277.83      6.528e+05   10.444      0.16053       
1      40.441       59.711       52.33        1.261e+05    2.0172           2.805e+05   4.4881          1.728e+07   276.56      6.566e+05   10.505      0.16053       
2      40.44        59.701       51.159       1.261e+05    2.0172           2.755e+05   4.4078          1.790e+07   286.45      6.494e+05   10.39       0.16053       
3      40.441       59.731       56.806       1.261e+05    2.0172           2.875e+05   4.6002          1.816e+07   290.53      6.499e+05   10.398      0.16053       
4      40.439       59.711       55.054       1.261e+05    2.0172           3.520e+05   5.6319          1.786e+07   285.75      6.534e+05   10.454      0.16053       
5      40.439       59.711       48.778       1.261e+05    2.0172           3.048e+05   4.877           1.791e+07   286.5       6.462e+05   10.339      0.16053       
6      40.439       59.694       48.95        1.261e+05    2.0172           3.137e+05   5.0188          1.799e+07   287.91      6.484e+05   10.374      0.16053       
7      40.438       59.733       48.701       1.261e+05    2.0172           3.288e+05   5.2604          1.763e+07   282.01      6.496e+05   10.394      0.16053       
8      40.439       59.702       48.65        1.261e+05    2.0172           3.350e+05   5.3601          1.828e+07   292.48      6.411e+05   10.258      0.16053       
9      40.438       59.709       48.56        1.261e+05    2.0172           3.350e+05   5.3596          1.826e+07   292.14      6.376e+05   10.202      0.16053       
10     40.438       59.709       54.88        1.261e+05    2.0172           3.704e+05   5.9261          1.835e+07   293.61      6.367e+05   10.187      0.16053       
11     40.437       59.731       54.094       1.261e+05    2.0172           3.957e+05   6.3308          1.836e+07   293.78      6.351e+05   10.162      0.16053       
12     40.439       59.695       51.875       1.261e+05    2.0172           2.294e+05   3.6697          1.723e+07   275.75      6.414e+05   10.262      0.16053       
13     40.439       59.701       51.928       1.261e+05    2.0172           2.446e+05   3.9143          1.647e+07   263.59      6.505e+05   10.409      0.16053       
14     40.438       59.703       46.803       1.261e+05    2.0172           2.946e+05   4.7129          1.664e+07   266.21      6.169e+05   9.8705      0.16053       
15     40.438       59.73        46.957       1.261e+05    2.0172           2.882e+05   4.6111          1.738e+07   278.07      6.214e+05   9.9422      0.16053       
