Performance Recorder: CBC_RTA_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      104.9        38.965       95.34        3.152e+04    0.50429          2.017e+06   32.275          4.424e+06   70.78       1.603e+05   2.565       0.24445       
1      104.9        38.938       95.199       3.152e+04    0.50429          2.017e+06   32.275          4.422e+06   70.749      1.606e+05   2.5696      0.24445       
2      104.9        38.949       95.218       3.152e+04    0.50429          2.017e+06   32.275          4.424e+06   70.781      1.607e+05   2.5707      0.24445       
3      104.9        38.967       95.078       3.152e+04    0.50429          2.017e+06   32.275          4.429e+06   70.868      1.607e+05   2.5708      0.24445       
4      104.9        38.946       96.317       3.152e+04    0.50429          2.017e+06   32.275          4.427e+06   70.836      1.603e+05   2.5641      0.24445       
5      104.9        38.943       93.887       3.152e+04    0.50429          2.017e+06   32.275          4.424e+06   70.786      1.609e+05   2.5745      0.24445       
6      104.9        38.962       95.253       3.152e+04    0.50429          2.017e+06   32.275          4.426e+06   70.816      1.603e+05   2.5654      0.24445       
7      104.9        39.012       94.572       3.152e+04    0.50429          2.017e+06   32.275          4.413e+06   70.616      1.605e+05   2.5676      0.24445       
8      104.9        38.983       96.775       3.152e+04    0.50429          2.017e+06   32.275          4.423e+06   70.773      1.603e+05   2.5651      0.24445       
9      104.9        38.96        95.513       3.152e+04    0.50429          2.017e+06   32.275          4.421e+06   70.729      1.606e+05   2.5693      0.24445       
10     104.9        38.952       96.311       3.152e+04    0.50429          2.017e+06   32.275          4.420e+06   70.721      1.605e+05   2.5677      0.24445       
11     104.9        38.979       95.073       3.152e+04    0.50429          2.017e+06   32.275          4.424e+06   70.783      1.603e+05   2.5649      0.24445       
12     104.9        38.978       94.306       3.152e+04    0.50429          2.017e+06   32.275          4.427e+06   70.835      1.609e+05   2.574       0.24445       
13     104.9        38.963       94.845       3.152e+04    0.50429          2.017e+06   32.275          4.420e+06   70.72       1.605e+05   2.5677      0.24445       
14     104.9        38.973       95.937       3.152e+04    0.50429          2.017e+06   32.275          4.430e+06   70.88       1.601e+05   2.5617      0.24445       
15     104.9        38.98        95.915       3.152e+04    0.50429          2.017e+06   32.275          4.422e+06   70.746      1.605e+05   2.5673      0.24445       
16     104.9        38.976       96.024       3.152e+04    0.50429          2.017e+06   32.275          4.427e+06   70.826      1.604e+05   2.5662      0.24445       
17     104.9        38.94        96.121       3.152e+04    0.50429          2.017e+06   32.275          4.421e+06   70.738      1.607e+05   2.5718      0.24445       
18     104.9        38.966       94.92        3.152e+04    0.50429          2.017e+06   32.275          4.423e+06   70.768      1.606e+05   2.5702      0.24445       
19     104.9        38.992       97.682       3.152e+04    0.50429          2.017e+06   32.275          4.425e+06   70.804      1.602e+05   2.5626      0.24445       
20     104.9        38.93        96.676       3.152e+04    0.50429          2.017e+06   32.275          4.420e+06   70.721      1.609e+05   2.575       0.24445       
21     104.9        38.96        95.501       3.152e+04    0.50429          2.017e+06   32.275          4.424e+06   70.779      1.605e+05   2.5678      0.24445       
22     104.9        38.933       95.697       3.152e+04    0.50429          2.017e+06   32.275          4.422e+06   70.756      1.607e+05   2.5712      0.24445       
23     104.9        38.981       96.044       3.152e+04    0.50429          2.017e+06   32.275          4.420e+06   70.728      1.606e+05   2.5701      0.24445       
24     104.9        38.961       97.637       3.152e+04    0.50429          2.017e+06   32.275          4.423e+06   70.764      1.604e+05   2.5661      0.24445       
25     104.9        38.957       96.371       3.152e+04    0.50429          2.017e+06   32.275          4.419e+06   70.709      1.607e+05   2.5717      0.24445       
26     104.9        38.957       96.594       3.152e+04    0.50429          2.017e+06   32.275          4.422e+06   70.748      1.606e+05   2.5702      0.24445       
27     104.9        38.975       95.106       3.152e+04    0.50429          2.017e+06   32.275          4.434e+06   70.939      1.604e+05   2.5666      0.24445       
28     104.9        38.975       97.058       3.152e+04    0.50429          2.017e+06   32.275          4.422e+06   70.744      1.611e+05   2.578       0.24445       
29     104.9        38.982       96.333       3.152e+04    0.50429          2.017e+06   32.275          4.419e+06   70.706      1.602e+05   2.5625      0.24445       
30     104.9        38.987       96.713       3.152e+04    0.50429          2.017e+06   32.275          4.432e+06   70.905      1.609e+05   2.5737      0.24445       
31     104.9        39.029       98.707       3.152e+04    0.50429          2.017e+06   32.275          4.428e+06   70.853      1.608e+05   2.5727      0.24445       
32     104.9        38.995       95.483       3.152e+04    0.50429          2.017e+06   32.275          4.419e+06   70.711      1.604e+05   2.5666      0.24445       
33     104.9        38.99        96.83        3.152e+04    0.50429          2.017e+06   32.275          4.424e+06   70.78       1.605e+05   2.5674      0.24445       
34     104.9        38.933       96.812       3.152e+04    0.50429          2.017e+06   32.275          4.421e+06   70.73       1.603e+05   2.5649      0.24445       
