Performance Recorder: RTAR_1DOP_Detailed_NoPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      4.24         0.84963      0.13253       1.858        6.528e+05    10.444           1.261e+05   2.0172      9.518e+03   0.15229     0.0078678     
1      4.2254       0.92973      0.17457       1.8029       6.566e+05    10.505           1.261e+05   2.0172      9.625e+03   0.154       0.0078678     
2      3.9906       1.374        0.15398       1.6317       6.494e+05    10.39            1.261e+05   2.0172      9.325e+03   0.1492      0.0078678     
3      4.4959       0.67898      0.1769        1.864        6.499e+05    10.398           1.261e+05   2.0172      9.527e+03   0.15243     0.0078678     
4      4.3433       0.76835      0.1556        1.906        6.534e+05    10.454           1.261e+05   2.0172      9.419e+03   0.1507      0.0078678     
5      4.1404       1.0646       0.13719       1.8324       6.462e+05    10.339           1.261e+05   2.0172      9.502e+03   0.15203     0.0078678     
6      3.9698       1.2316       0.16301       1.7655       6.484e+05    10.374           1.261e+05   2.0172      9.543e+03   0.15269     0.0078678     
7      4.1082       1.0703       0.15239       1.7721       6.496e+05    10.394           1.261e+05   2.0172      9.409e+03   0.15054     0.0078678     
8      4.1334       0.96634      0.14127       1.8554       6.411e+05    10.258           1.261e+05   2.0172      9.452e+03   0.15123     0.0078678     
9      4.1208       0.91445      0.15885       1.8435       6.376e+05    10.202           1.261e+05   2.0172      9.387e+03   0.15019     0.0078678     
10     3.8437       1.2473       0.16104       1.8175       6.367e+05    10.187           1.261e+05   2.0172      9.594e+03   0.1535      0.0078678     
11     4.0392       0.98959      0.14008       1.8839       6.351e+05    10.162           1.261e+05   2.0172      9.530e+03   0.15248     0.0078678     
12     3.9481       1.0845       0.14615       1.8983       6.414e+05    10.262           1.261e+05   2.0172      9.547e+03   0.15275     0.0078678     
13     3.976        1.0249       0.14557       1.8846       6.505e+05    10.409           1.261e+05   2.0172      9.591e+03   0.15346     0.0078678     
14     3.9982       1.0679       0.14967       1.847        6.169e+05    9.8705           1.261e+05   2.0172      9.744e+03   0.1559      0.0078678     
15     4.0919       0.9951       0.14194       1.7993       6.214e+05    9.9422           1.261e+05   2.0172      9.658e+03   0.15453     0.0078678     
