Performance Recorder: RTAR_1DOP_Detailed_RandPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      4.1235       3.154        1.0874        2.4416       6.405e+05    10.247           1.261e+05   2.0172      9.304e+03   0.14886     0.011696      
1      4.0519       3.2415       1.0774        2.495        6.414e+05    10.262           1.261e+05   2.0172      9.399e+03   0.15038     0.011696      
2      4.4295       2.7108       1.2254        2.6519       6.408e+05    10.252           1.261e+05   2.0172      9.496e+03   0.15194     0.011696      
3      4.1072       3.1844       1.2063        2.5023       6.407e+05    10.251           1.261e+05   2.0172      9.533e+03   0.15253     0.011696      
4      4.1493       3.0662       1.1111        2.5074       6.414e+05    10.263           1.261e+05   2.0172      9.254e+03   0.14806     0.011696      
5      4.2059       2.827        1.1295        2.7048       6.409e+05    10.255           1.261e+05   2.0172      9.426e+03   0.15082     0.011696      
6      4.0315       3.1191       1.244         2.5316       6.414e+05    10.263           1.261e+05   2.0172      9.502e+03   0.15203     0.011696      
7      4.0333       3.1667       1.1699        2.5393       6.403e+05    10.245           1.261e+05   2.0172      9.512e+03   0.15219     0.011696      
8      4.0151       3.0915       1.1561        2.7294       6.408e+05    10.253           1.261e+05   2.0172      9.514e+03   0.15222     0.011696      
9      4.0942       2.956        1.1811        2.6833       6.419e+05    10.271           1.261e+05   2.0172      9.415e+03   0.15064     0.011696      
10     3.9293       3.3411       1.1844        2.5628       6.406e+05    10.249           1.261e+05   2.0172      9.368e+03   0.14989     0.011696      
11     4.0599       3.0631       1.1167        2.5736       6.397e+05    10.236           1.261e+05   2.0172      9.288e+03   0.14861     0.011696      
12     3.9722       3.2362       1.2411        2.485        6.410e+05    10.256           1.261e+05   2.0172      9.544e+03   0.1527      0.011696      
13     3.9833       3.0725       1.079         2.6226       6.410e+05    10.256           1.261e+05   2.0172      9.499e+03   0.15198     0.011696      
14     4.0344       3.028        1.1371        2.6265       6.416e+05    10.265           1.261e+05   2.0172      9.247e+03   0.14795     0.011696      
15     4.0865       3.242        1.0995        2.3887       6.413e+05    10.26            1.261e+05   2.0172      9.753e+03   0.15605     0.011696      
