Performance Recorder: RTAR_1D_Detailed_NoPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      36.231       262.93       2.6333       6.528e+05    10.444           3.289e+06   52.618          1.261e+05   2.0175      9.518e+03   0.15229     0.30226       
1      36.231       262.92       2.6962       6.566e+05    10.505           3.275e+06   52.397          1.240e+05   1.9835      9.625e+03   0.154       0.30226       
2      36.231       262.92       2.6188       6.494e+05    10.39            3.229e+06   51.665          1.220e+05   1.9526      9.325e+03   0.1492      0.30226       
3      36.231       262.94       2.6357       6.499e+05    10.398           3.337e+06   53.387          1.289e+05   2.0628      9.527e+03   0.15243     0.30226       
4      36.231       262.92       2.5103       6.534e+05    10.454           3.256e+06   52.092          1.231e+05   1.9693      9.419e+03   0.1507      0.30226       
5      36.231       262.91       2.6381       6.462e+05    10.339           3.317e+06   53.067          1.279e+05   2.0458      9.502e+03   0.15203     0.30226       
6      36.231       262.92       2.516        6.484e+05    10.374           3.235e+06   51.768          1.235e+05   1.9763      9.543e+03   0.15269     0.30226       
7      36.23        262.94       2.4606       6.496e+05    10.394           3.220e+06   51.512          1.226e+05   1.9621      9.409e+03   0.15054     0.30226       
8      36.232       262.94       2.8393       6.411e+05    10.258           3.311e+06   52.97           1.249e+05   1.9985      9.452e+03   0.15123     0.30226       
9      36.231       262.91       2.8102       6.376e+05    10.202           3.180e+06   50.886          1.239e+05   1.9822      9.387e+03   0.15019     0.30226       
10     36.232       262.92       2.8553       6.367e+05    10.187           3.346e+06   53.53           1.297e+05   2.0759      9.594e+03   0.1535      0.30226       
11     36.23        262.92       2.8162       6.351e+05    10.162           3.359e+06   53.74           1.289e+05   2.062       9.530e+03   0.15248     0.30226       
12     36.232       262.92       2.8598       6.414e+05    10.262           3.326e+06   53.223          1.258e+05   2.0136      9.547e+03   0.15275     0.30226       
13     36.231       262.91       2.9206       6.505e+05    10.409           3.300e+06   52.801          1.267e+05   2.0267      9.591e+03   0.15346     0.30226       
14     36.231       262.92       2.9285       6.169e+05    9.8705           3.331e+06   53.291          1.294e+05   2.0709      9.744e+03   0.1559      0.30226       
15     36.231       262.94       2.9585       6.214e+05    9.9422           3.320e+06   53.12           1.297e+05   2.075       9.658e+03   0.15453     0.30226       
