Performance Recorder: RTAR_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      70.572       478.89       2.2067       1.603e+05    2.565            2.386e+06   38.183          3.314e+04   0.53022     2.397e+03   0.038352    0.55236       
1      70.571       478.89       2.172        1.606e+05    2.5696           2.423e+06   38.773          3.374e+04   0.53986     2.390e+03   0.03824     0.55236       
2      70.573       478.9        2.0922       1.607e+05    2.5707           2.138e+06   34.208          2.924e+04   0.46786     2.290e+03   0.03664     0.55236       
3      70.572       478.9        2.0427       1.607e+05    2.5708           2.074e+06   33.177          2.826e+04   0.45221     2.209e+03   0.035344    0.55236       
4      70.572       478.87       2.1205       1.603e+05    2.5641           2.405e+06   38.482          3.334e+04   0.53344     2.441e+03   0.039056    0.55236       
5      70.571       478.88       2.0609       1.609e+05    2.5745           2.312e+06   36.992          3.196e+04   0.51128     2.426e+03   0.038816    0.55236       
6      70.572       478.87       2.15         1.603e+05    2.5654           2.248e+06   35.968          3.090e+04   0.4944      2.361e+03   0.037776    0.55236       
7      70.572       478.9        2.0671       1.605e+05    2.5676           2.273e+06   36.366          3.124e+04   0.49978     2.382e+03   0.038112    0.55236       
8      70.572       478.92       2.1173       1.603e+05    2.5651           2.266e+06   36.248          3.117e+04   0.49866     2.371e+03   0.037936    0.55236       
9      70.572       478.9        2.0441       1.606e+05    2.5693           2.297e+06   36.746          3.158e+04   0.5052      2.353e+03   0.037648    0.55236       
10     70.574       478.9        2.0534       1.605e+05    2.5677           2.250e+06   35.997          3.096e+04   0.49533     2.318e+03   0.037088    0.55236       
11     70.574       478.92       2.0652       1.603e+05    2.5649           2.356e+06   37.688          3.258e+04   0.52128     2.448e+03   0.039168    0.55236       
