Performance Recorder: RTAR_2D_Detailed_NoPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      60.905        11.036        4.6309       0.096285     1.563e+05    3.032e+04    3.070e+03    0.077651      
1      62.628        10.89         3.2475       0.074603     1.675e+05    3.180e+04    2.305e+03    0.077651      
2      62.369        10.505        3.399        0.0828       1.719e+05    3.148e+04    2.337e+03    0.077651      
3      62.123        11.501        3.1236       0.079503     1.585e+05    3.204e+04    2.340e+03    0.077651      
4      62.379        10.852        3.2771       0.081267     1.671e+05    3.062e+04    2.264e+03    0.077651      
5      62.561        11.022        3.1068       0.07284      1.495e+05    3.111e+04    2.235e+03    0.077651      
6      62.437        10.897        3.3621       0.083731     1.521e+05    3.307e+04    2.281e+03    0.077651      
7      62.252        11.484        3.0455       0.07282      1.620e+05    3.170e+04    2.237e+03    0.077651      
8      59.891        12.767        3.8129       0.076407     1.692e+05    3.240e+04    2.311e+03    0.077651      
9      59.951        12.806        4.1389       0.085995     1.614e+05    3.233e+04    2.982e+03    0.077651      
10     60.612        12.277        3.4078       0.078351     1.644e+05    3.233e+04    2.351e+03    0.077651      
11     60.546        13.05         3.1544       0.075716     1.695e+05    3.086e+04    2.335e+03    0.077651      
12     60.751        12.443        3.3335       0.079212     1.577e+05    2.837e+04    2.299e+03    0.077651      
13     60.887        12.739        3.0863       0.073641     1.584e+05    3.161e+04    2.299e+03    0.077651      
14     60.662        12.743        3.3164       0.082619     1.536e+05    3.107e+04    2.316e+03    0.077651      
15     60.439        13.154        3.1844       0.073582     1.493e+05    3.317e+04    2.291e+03    0.077651      
16     46.87         25.379        4.1812       0.075265     1.619e+05    3.358e+04    2.333e+03    0.077651      
17     47.963        25.345        3.4948       0.079814     1.633e+05    3.195e+04    2.348e+03    0.077651      
18     46.749        24.826        4.81         0.093069     1.580e+05    3.040e+04    2.937e+03    0.077651      
19     47.744        25.517        3.5614       0.084995     1.509e+05    3.145e+04    2.144e+03    0.077651      
20     47.165        25.627        3.7146       0.079214     1.610e+05    3.330e+04    2.365e+03    0.077651      
21     47.173        26.093        3.4825       0.076107     1.635e+05    2.915e+04    2.247e+03    0.077651      
22     47.037        25.758        3.8862       0.080145     1.663e+05    3.171e+04    2.344e+03    0.077651      
23     47.759        25.626        3.4407       0.078532     1.517e+05    3.062e+04    2.273e+03    0.077651      
24     64.57         7.7284        4.1311       0.073362     1.644e+05    3.015e+04    2.355e+03    0.077651      
25     65.39         7.9824        3.4347       0.075586     1.601e+05    3.267e+04    2.336e+03    0.077651      
26     65.25         7.1111        3.8975       0.069004     1.564e+05    2.974e+04    2.153e+03    0.077651      
27     64.681        7.7442        4.4591       0.096827     1.620e+05    3.179e+04    3.351e+03    0.077651      
28     65.133        7.6966        3.6903       0.074323     1.619e+05    3.106e+04    2.226e+03    0.077651      
29     65.004        8.3552        3.3735       0.074814     1.601e+05    3.324e+04    2.229e+03    0.077651      
30     64.999        7.8145        3.8677       0.07758      1.636e+05    3.284e+04    2.253e+03    0.077651      
31     65.405        7.9766        3.3971       0.07757      1.531e+05    3.065e+04    2.227e+03    0.077651      
32     62.856        9.6491        3.9493       0.08283      1.600e+05    3.311e+04    2.258e+03    0.077651      
33     63.374        9.6406        3.8044       0.074524     1.463e+05    3.036e+04    2.284e+03    0.077651      
34     63.618        8.8674        3.7767       0.076988     1.688e+05    3.101e+04    2.361e+03    0.077651      
35     63.45         9.6554        3.6975       0.085785     1.615e+05    3.156e+04    2.225e+03    0.077651      
36     62.635        8.9625        5.069        0.09389      1.704e+05    3.317e+04    3.065e+03    0.077651      
37     63.194        9.7107        3.8708       0.078531     1.653e+05    2.907e+04    2.319e+03    0.077651      
38     63.453        9.3484        3.8975       0.079593     1.672e+05    3.128e+04    2.275e+03    0.077651      
39     63.024        10.596        3.3958       0.079934     1.561e+05    3.259e+04    2.416e+03    0.077651      
40     61.724        10.799        3.9163       0.071858     1.611e+05    3.003e+04    2.245e+03    0.077651      
41     62.239        10.853        3.7006       0.077009     1.633e+05    3.114e+04    2.294e+03    0.077651      
42     62.408        10.133        3.7177       0.073391     1.539e+05    3.228e+04    2.252e+03    0.077651      
43     62.139        11.022        3.6194       0.073762     1.682e+05    3.107e+04    2.219e+03    0.077651      
44     62.13         10.514        3.8635       0.0777       1.505e+05    3.264e+04    2.324e+03    0.077651      
45     61.198        10.845        4.8266       0.090956     1.649e+05    3.272e+04    2.953e+03    0.077651      
46     62.271        10.552        3.8679       0.075285     1.603e+05    3.165e+04    2.311e+03    0.077651      
47     61.876        11.734        3.3512       0.07791      1.519e+05    3.063e+04    2.335e+03    0.077651      
48     66.748        6.271         3.4183       0.082349     1.704e+05    2.943e+04    2.278e+03    0.077651      
49     67.836        5.8284        3.1439       0.076929     1.596e+05    2.912e+04    2.320e+03    0.077651      
50     67.204        5.6449        3.4448       0.075936     1.638e+05    3.220e+04    2.352e+03    0.077651      
51     67.264        6.4122        3.1362       0.083171     1.649e+05    3.224e+04    2.255e+03    0.077651      
52     67.135        5.9723        3.428        0.076468     1.610e+05    3.304e+04    2.283e+03    0.077651      
53     67.445        6.2079        3.1082       0.073662     1.577e+05    3.054e+04    2.303e+03    0.077651      
54     66.452        5.98          4.4561       0.094092     1.563e+05    3.000e+04    2.920e+03    0.077651      
55     67.464        6.2657        3.1422       0.080235     1.619e+05    3.558e+04    2.450e+03    0.077651      
56     66.821        6.058         3.6021       0.075355     1.650e+05    3.237e+04    2.234e+03    0.077651      
57     65.501        8.1417        3.1408       0.07278      1.691e+05    2.999e+04    2.289e+03    0.077651      
58     65.22         7.5978        3.4547       0.078451     1.588e+05    3.047e+04    2.282e+03    0.077651      
59     65.157        8.5011        3.0978       0.076768     1.587e+05    3.033e+04    2.239e+03    0.077651      
60     65.317        7.7322        3.4587       0.076978     1.658e+05    3.150e+04    2.397e+03    0.077651      
61     65.424        8.2258        3.0758       0.077469     1.579e+05    3.165e+04    2.346e+03    0.077651      
62     65.457        7.7968        3.4684       0.082058     1.774e+05    3.396e+04    2.453e+03    0.077651      
63     66.882        5.7998        4.2419       0.094252     1.560e+05    3.189e+04    3.143e+03    0.077651      
