Performance Recorder: RTAR_2D_Detailed_RandPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      72.122        17.086        12.879       0.24216      6.441e+05    1.261e+05    1.071e+04    0.10288       
1      71.375        17.362        12.938       0.21562      6.435e+05    1.262e+05    9.020e+03    0.10288       
2      75.399        14.276        11.758       0.20818      6.432e+05    1.251e+05    8.901e+03    0.10288       
3      72.012        17.311        12.647       0.20776      6.428e+05    1.269e+05    9.168e+03    0.10288       
4      39.369        50.422        12.129       0.20806      6.404e+05    1.258e+05    8.999e+03    0.10288       
5      37.62         50.673        13.479       0.23967      6.408e+05    1.263e+05    1.072e+04    0.10288       
6      42.278        47.452        11.713       0.20206      6.393e+05    1.250e+05    9.013e+03    0.10288       
7      38.926        50.751        12.212       0.21766      6.405e+05    1.272e+05    9.049e+03    0.10288       
8      67.008        22.281        12.919       0.21071      6.344e+05    1.259e+05    8.891e+03    0.10288       
9      66.741        22.198        12.477       0.2112       6.359e+05    1.261e+05    8.995e+03    0.10288       
10     62.349        26.432        13.047       0.23478      6.342e+05    1.245e+05    1.059e+04    0.10288       
11     67.434        22.034        12.712       0.21983      6.359e+05    1.277e+05    9.116e+03    0.10288       
12     80.418        9.3237        12.093       0.20089      6.444e+05    1.258e+05    9.171e+03    0.10288       
13     79.348        9.5469        12.482       0.21287      6.439e+05    1.264e+05    9.038e+03    0.10288       
14     83.052        6.422         11.866       0.20149      6.462e+05    1.247e+05    9.133e+03    0.10288       
15     79.693        9.4047        12.853       0.23353      6.456e+05    1.273e+05    1.053e+04    0.10288       
