Performance Recorder: RTA_2D_Detailed_NoPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      1499.8        453.84        75.757       1.7419       3.032e+04    3.218e+07    1.563e+05    2.7694        
1      1587          362.71        79.935       2.0286       3.240e+04    1.914e+06    1.675e+05    2.7694        
2      1653.3        606.11        80.856       1.6632       3.358e+04    4.483e+05    1.719e+05    2.7694        
3      1269.7        993.93        80.49        1.9916       3.015e+04    0.000e+00    1.585e+05    2.7694        
4      1484.7        787.19        79.17        1.7029       3.311e+04    0.000e+00    1.671e+05    2.7694        
5      1573.1        679.49        88.503       1.3139       3.003e+04    1.450e+05    1.495e+05    2.7694        
6      1833.2        438.34        75.209       1.0475       2.943e+04    0.000e+00    1.521e+05    2.7694        
7      1930.5        760.76        75.755       1.0691       3.237e+04    0.000e+00    1.620e+05    2.7694        
8      1497.9        453.9         76.57        1.2278       3.180e+04    1.885e+06    1.692e+05    2.7694        
9      1583.8        364.36        79.829       1.3398       3.233e+04    3.192e+07    1.614e+05    2.7694        
10     1650.4        609.28        80.573       1.1511       3.195e+04    9.386e+05    1.644e+05    2.7694        
11     1268.1        997.04        78.897       1.1608       3.267e+04    4.347e+05    1.695e+05    2.7694        
12     1480.9        791.41        78.675       1.1184       3.036e+04    0.000e+00    1.577e+05    2.7694        
13     1569.6        682.59        88.866       0.94656      3.114e+04    8.799e+05    1.584e+05    2.7694        
14     1833.1        439.27        74.588       1.0055       2.912e+04    0.000e+00    1.536e+05    2.7694        
15     1927.4        764.09        74.358       0.90298      2.999e+04    0.000e+00    1.493e+05    2.7694        
16     1510.6        602.46        76.392       1.6067       3.148e+04    4.370e+05    1.619e+05    2.7694        
17     1431.8        679.69        78.028       2.1042       3.233e+04    9.407e+05    1.633e+05    2.7694        
18     1176.1        1080.7        83.524       1.7724       3.040e+04    3.159e+07    1.580e+05    2.7694        
19     1088.8        1178.1        78.543       1.8577       2.974e+04    8.789e+05    1.509e+05    2.7694        
20     1344.1        936.1         78.823       0.92937      3.101e+04    6.719e+05    1.610e+05    2.7694        
21     1064.8        1175.4        101.19       1.3468       3.228e+04    9.064e+05    1.635e+05    2.7694        
22     1653.9        620.61        74.814       1.6723       3.220e+04    2.508e+05    1.663e+05    2.7694        
23     1619.4        796.55        75.201       0.88065      3.047e+04    1.005e+05    1.517e+05    2.7694        
24     1515.6        601.38        75.14        1.2821       3.204e+04    0.000e+00    1.644e+05    2.7694        
25     1433.3        677.65        81.278       1.3793       3.086e+04    4.109e+05    1.601e+05    2.7694        
26     1182.7        1074          83.547       1.2365       3.145e+04    8.611e+05    1.564e+05    2.7694        
27     1092.9        1171.4        81.225       1.009        3.179e+04    3.198e+07    1.620e+05    2.7694        
28     1353.9        926.64        78.458       1.2035       3.156e+04    1.331e+06    1.619e+05    2.7694        
29     1083.6        1168.7        89.151       1.0544       3.107e+04    1.962e+05    1.601e+05    2.7694        
30     1658.2        615.4         75.824       0.90648      3.224e+04    2.493e+05    1.636e+05    2.7694        
31     1626.9        788.31        77.025       0.87879      3.033e+04    5.459e+05    1.531e+05    2.7694        
32     1656.9        603.61        77.694       2.1861       3.062e+04    0.000e+00    1.600e+05    2.7694        
33     1880          378.16        80.221       1.6241       2.837e+04    0.000e+00    1.463e+05    2.7694        
34     1660.7        596.88        82.826       1.8755       3.330e+04    6.693e+05    1.688e+05    2.7694        
35     1555.7        709.65        79.916       1.9669       3.106e+04    1.326e+06    1.615e+05    2.7694        
36     1488.1        802.35        77.598       1.2093       3.317e+04    3.254e+07    1.704e+05    2.7694        
37     1546.6        704.2         90.204       1.3896       3.264e+04    1.771e+05    1.653e+05    2.7694        
38     1655.1        617.15        74.619       1.4876       3.304e+04    0.000e+00    1.672e+05    2.7694        
39     1771.1        644.76        76.408       0.91805      3.150e+04    1.825e+06    1.561e+05    2.7694        
40     1654.3        605.87        76.92        1.224        3.111e+04    1.448e+05    1.611e+05    2.7694        
41     1875.6        381.18        80.45        1.6273       3.161e+04    8.795e+05    1.633e+05    2.7694        
42     1663          596.09        81.258       1.2332       2.915e+04    9.012e+05    1.539e+05    2.7694        
43     1555.1        708.8         81.382       1.1033       3.324e+04    1.953e+05    1.682e+05    2.7694        
44     1486.6        803.24        78.105       0.98888      2.907e+04    1.747e+05    1.505e+05    2.7694        
45     1543.5        703.38        94.238       1.0022       3.272e+04    3.263e+07    1.649e+05    2.7694        
46     1656.3        615.35        74.916       0.92838      3.054e+04    1.574e+06    1.603e+05    2.7694        
47     1774.2        641.74        75.832       0.88079      3.165e+04    1.965e+05    1.519e+05    2.7694        
48     1499.3        464.41        75.516       2.1298       3.307e+04    0.000e+00    1.704e+05    2.7694        
49     1748.5        212.12        78.729       1.9849       3.107e+04    0.000e+00    1.596e+05    2.7694        
50     1662.7        596.15        81.664       1.5448       3.171e+04    2.611e+05    1.638e+05    2.7694        
51     1460          804.24        80.263       1.9378       3.284e+04    2.612e+05    1.649e+05    2.7694        
52     1351          921.09        79.678       1.3603       3.128e+04    0.000e+00    1.610e+05    2.7694        
53     1567.9        683.19        90.285       1.698        3.165e+04    1.577e+06    1.577e+05    2.7694        
54     1845          427.62        74.634       1.9905       3.000e+04    3.113e+07    1.563e+05    2.7694        
55     1765.8        778.57        79.195       0.96875      3.396e+04    5.140e+05    1.619e+05    2.7694        
56     1502          461.83        78.025       1.2822       3.170e+04    0.000e+00    1.650e+05    2.7694        
57     1755          209.14        77.925       1.3532       3.317e+04    0.000e+00    1.691e+05    2.7694        
58     1667.6        591.82        81.139       1.1536       3.062e+04    1.001e+05    1.588e+05    2.7694        
59     1466.8        799.96        77.818       1.0317       3.065e+04    5.444e+05    1.587e+05    2.7694        
60     1352.2        920.04        79.485       1.1279       3.259e+04    1.819e+06    1.658e+05    2.7694        
61     1572          678.84        90.626       0.97363      3.063e+04    1.957e+05    1.579e+05    2.7694        
62     1846.1        423.82        77.419       1.179        3.558e+04    5.088e+05    1.774e+05    2.7694        
