Performance Recorder: RTA_2D_Detailed_RandPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      119.54        542.38        208.37       5.1641       3.155e+04    4.641e+06    1.604e+05    0.91609       
1      155.25        476.47        231.33       6.4821       3.176e+04    4.396e+06    1.606e+05    0.91609       
2      206.24        442.55        208.55       6.3019       3.172e+04    4.381e+06    1.605e+05    0.91609       
3      37.558        514.43        319.4        6.4668       3.158e+04    4.395e+06    1.607e+05    0.91609       
4      220.21        429.14        201.88       6.6808       3.162e+04    4.391e+06    1.608e+05    0.91609       
5      148.92        503.42        206.17       6.6172       3.147e+04    4.399e+06    1.608e+05    0.91609       
6      226.44        425.69        200.19       6.3126       3.163e+04    4.397e+06    1.601e+05    0.91609       
7      145.8         511.43        218.22       5.8015       3.197e+04    4.387e+06    1.602e+05    0.91609       
8      33.369        622.5         214.77       5.1746       3.168e+04    4.397e+06    1.608e+05    0.91609       
9      96.731        556.62        209.52       6.5113       3.144e+04    4.664e+06    1.602e+05    0.91609       
10     126.79        522.68        208.91       6.4169       3.143e+04    4.392e+06    1.606e+05    0.91609       
11     53.542        594.55        218.43       6.3803       3.153e+04    4.386e+06    1.606e+05    0.91609       
12     136.22        509.23        203.79       6.7264       3.158e+04    4.390e+06    1.606e+05    0.91609       
13     62.803        583.49        212.86       6.6933       3.147e+04    4.384e+06    1.604e+05    0.91609       
14     141.41        505.79        205.72       6.3773       3.143e+04    4.391e+06    1.604e+05    0.91609       
15     60.825        591.55        223.31       5.7991       3.174e+04    4.380e+06    1.604e+05    0.91609       
16     100.85        562.1         208.44       5.4501       3.211e+04    4.381e+06    1.625e+05    0.91609       
17     54.657        629.06        211.93       5.2315       3.244e+04    4.390e+06    1.630e+05    0.91609       
18     191.12        495.11        202.08       5.2443       3.244e+04    4.646e+06    1.629e+05    0.91609       
19     132.63        533.73        201.92       6.154        3.244e+04    4.401e+06    1.632e+05    0.91609       
20     184.79        463.85        202.58       5.6535       3.223e+04    4.397e+06    1.631e+05    0.91609       
21     99.182        523.89        237          5.3614       3.230e+04    4.375e+06    1.627e+05    0.91609       
22     211.04        445.07        197.66       6.1635       3.242e+04    4.387e+06    1.631e+05    0.91609       
23     83.843        591.48        209.8        5.4772       3.210e+04    4.400e+06    1.629e+05    0.91609       
24     82.272        577.53        211.63       5.2272       3.034e+04    4.396e+06    1.565e+05    0.91609       
25     44.259        644.48        206.71       4.9653       3.034e+04    4.389e+06    1.559e+05    0.91609       
26     171.18        510.51        207.12       5.1054       3.036e+04    4.402e+06    1.571e+05    0.91609       
27     120.7         549.15        196.78       5.7979       3.049e+04    4.648e+06    1.564e+05    0.91609       
28     164.52        479.22        207.99       5.3377       3.050e+04    4.382e+06    1.558e+05    0.91609       
29     120.25        539.31        200.67       5.2535       3.053e+04    4.399e+06    1.562e+05    0.91609       
30     191.01        460.45        202.97       5.6209       3.044e+04    4.388e+06    1.565e+05    0.91609       
31     76.18         606.88        201.11       5.1249       3.024e+04    4.400e+06    1.563e+05    0.91609       
32     100.15        563.9         210.32       5.2959       3.146e+04    4.391e+06    1.602e+05    0.91609       
33     108.88        548.06        207.3        5.8701       3.143e+04    4.391e+06    1.606e+05    0.91609       
34     189.84        468.95        200.26       6.5638       3.130e+04    4.398e+06    1.606e+05    0.91609       
35     162.68        500.07        206.4        5.5197       3.138e+04    4.385e+06    1.595e+05    0.91609       
