Performance Recorder: AA_1D_Detailed_GPPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      155          466.51       127.68       2.051e+06    32.811           6.248e+06   99.961          2.051e+06   32.811      1.467e+07   234.65      0.88732       
1      155          466.48       105.89       1.589e+06    25.425           5.008e+06   80.129          1.589e+06   25.425      1.172e+07   187.58      0.88732       
2      155          466.48       122.18       2.053e+06    32.852           5.707e+06   91.32           2.053e+06   32.852      1.511e+07   241.72      0.88732       
3      155          466.49       133.43       1.328e+06    21.244           7.346e+06   117.54          1.328e+06   21.244      1.506e+07   241.01      0.88732       
4      155.01       466.47       130.16       1.131e+06    18.096           5.862e+06   93.787          1.131e+06   18.096      1.410e+07   225.64      0.88732       
5      155          466.49       125.05       1.909e+06    30.538           5.311e+06   84.971          1.909e+06   30.538      1.495e+07   239.2       0.88732       
6      155.01       466.48       123.92       1.944e+06    31.097           6.327e+06   101.23          1.944e+06   31.097      1.411e+07   225.71      0.88732       
7      155          466.5        118.43       8.898e+05    14.237           3.992e+06   63.868          8.898e+05   14.237      1.433e+07   229.29      0.88732       
8      155          466.52       136.82       1.911e+06    30.583           6.965e+06   111.43          1.911e+06   30.583      1.454e+07   232.57      0.88732       
9      155          466.53       128.98       1.374e+06    21.984           7.364e+06   117.82          1.374e+06   21.984      1.514e+07   242.22      0.88732       
10     155          466.5        139.85       1.288e+06    20.605           6.853e+06   109.65          1.288e+06   20.605      1.424e+07   227.9       0.88732       
11     155          466.52       127.44       2.004e+06    32.06            6.896e+06   110.33          2.004e+06   32.06       1.514e+07   242.18      0.88732       
12     154.99       466.53       119.39       1.743e+06    27.888           6.112e+06   97.797          1.743e+06   27.888      1.401e+07   224.11      0.88732       
13     154.99       466.53       128.5        1.958e+06    31.325           6.208e+06   99.328          1.958e+06   31.325      1.507e+07   241.09      0.88732       
14     155          466.52       154.16       1.843e+06    29.486           6.550e+06   104.81          1.843e+06   29.486      1.472e+07   235.46      0.88732       
15     154.99       466.54       119.65       1.863e+06    29.803           6.747e+06   107.96          1.863e+06   29.803      1.414e+07   226.3       0.88732       
16     155          466.49       131.74       2.015e+06    32.243           6.487e+06   103.8           2.015e+06   32.243      1.517e+07   242.67      0.88732       
17     155          466.49       140.85       1.697e+06    27.145           8.337e+06   133.39          1.697e+06   27.145      1.484e+07   237.47      0.88732       
18     155          466.48       121.18       1.980e+06    31.686           4.820e+06   77.122          1.980e+06   31.686      1.452e+07   232.35      0.88732       
19     155          466.51       113.6        1.550e+06    24.8             6.926e+06   110.82          1.550e+06   24.8        1.441e+07   230.6       0.88732       
20     155          466.48       103.97       1.312e+06    20.992           6.150e+06   98.407          1.312e+06   20.992      1.182e+07   189.13      0.88732       
21     155          466.5        136.62       1.871e+06    29.936           7.722e+06   123.56          1.871e+06   29.936      1.491e+07   238.58      0.88732       
22     155          466.5        138.16       1.926e+06    30.822           6.385e+06   102.16          1.926e+06   30.822      1.472e+07   235.47      0.88732       
23     155          466.5        105.46       1.701e+06    27.212           6.711e+06   107.37          1.701e+06   27.212      1.282e+07   205.12      0.88732       
24     155          466.51       118.5        1.591e+06    25.455           5.996e+06   95.935          1.591e+06   25.455      1.503e+07   240.56      0.88732       
25     155          466.52       115.4        1.631e+06    26.091           7.250e+06   116             1.631e+06   26.091      1.516e+07   242.5       0.88732       
26     155          466.51       132.95       1.669e+06    26.701           7.233e+06   115.72          1.669e+06   26.701      1.508e+07   241.31      0.88732       
27     155          466.53       124.2        1.408e+06    22.521           6.170e+06   98.72           1.408e+06   22.521      1.510e+07   241.57      0.88732       
28     155          466.52       122.22       1.613e+06    25.812           7.293e+06   116.68          1.613e+06   25.812      1.507e+07   241.08      0.88732       
29     155          466.56       124.46       1.423e+06    22.764           6.192e+06   99.064          1.423e+06   22.764      1.521e+07   243.3       0.88732       
30     155          466.53       132.95       1.524e+06    24.377           6.588e+06   105.41          1.524e+06   24.377      1.450e+07   232         0.88732       
31     155          466.51       132.23       1.592e+06    25.477           6.026e+06   96.422          1.592e+06   25.477      1.534e+07   245.52      0.88732       
32     155          466.5        127.74       1.564e+06    25.023           6.479e+06   103.66          1.564e+06   25.023      1.469e+07   235.11      0.88732       
