Performance Recorder: AA_1D_Detailed_NoPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      93.793       410.07       214.82       3.790e+06    60.632           8.391e+06   134.26          3.790e+06   60.632      2.236e+07   357.73      1.7948        
1      93.791       410.06       300          4.928e+06    78.856           1.294e+07   207.1           4.928e+06   78.856      3.602e+07   576.32      1.7948        
2      93.791       410.08       323.3        5.405e+06    86.477           1.702e+07   272.36          5.405e+06   86.477      4.234e+07   677.46      1.7948        
3      93.79        410.05       306.28       5.169e+06    82.7             1.790e+07   286.48          5.169e+06   82.7        4.017e+07   642.66      1.7948        
4      93.791       410.05       353.48       5.708e+06    91.33            1.766e+07   282.54          5.708e+06   91.33       4.813e+07   770.09      1.7948        
5      93.79        410.06       404.23       5.968e+06    95.491           2.290e+07   366.37          5.968e+06   95.491      5.211e+07   833.7       1.7948        
6      93.79        410.06       488.39       6.454e+06    103.26           2.554e+07   408.65          6.454e+06   103.26      6.000e+07   959.95      1.7948        
7      93.788       410.09       460.85       6.276e+06    100.41           2.514e+07   402.24          6.276e+06   100.41      5.779e+07   924.61      1.7948        
8      93.79        410.06       430.91       5.901e+06    94.409           2.114e+07   338.26          5.901e+06   94.409      5.209e+07   833.44      1.7948        
9      93.789       410.06       497.44       6.580e+06    105.28           3.006e+07   481             6.580e+06   105.28      6.385e+07   1021.6      1.7948        
10     93.79        410.06       596.97       6.737e+06    107.78           2.426e+07   388.22          6.737e+06   107.78      6.625e+07   1060        1.7948        
11     93.789       410.09       535.71       6.476e+06    103.61           2.626e+07   420.08          6.476e+06   103.61      6.235e+07   997.57      1.7948        
12     93.795       410.06       606.83       6.822e+06    109.15           3.243e+07   518.93          6.822e+06   109.15      6.803e+07   1088.5      1.7948        
13     93.793       410.04       743.1        7.294e+06    116.7            2.721e+07   435.43          7.294e+06   116.7       7.835e+07   1253.6      1.7948        
14     93.793       410.06       696          7.472e+06    119.55           3.142e+07   502.78          7.472e+06   119.55      8.113e+07   1298.1      1.7948        
15     93.794       410.09       844.48       8.221e+06    131.54           2.549e+07   407.76          8.221e+06   131.54      9.807e+07   1569.1      1.7948        
