Performance Recorder: AA_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      205.98       2095.7       210.73       1.551e+06    24.823           9.920e+07   1587.2          1.551e+06   24.823      1.454e+07   232.72      2.6176        
1      205.97       2095.7       211.45       1.550e+06    24.802           9.920e+07   1587.2          1.550e+06   24.802      1.452e+07   232.37      2.6176        
2      205.98       2095.7       209.67       1.549e+06    24.779           9.920e+07   1587.2          1.549e+06   24.779      1.450e+07   232         2.6176        
3      205.98       2095.7       212.72       1.553e+06    24.842           9.920e+07   1587.2          1.553e+06   24.842      1.456e+07   233.01      2.6176        
4      205.97       2095.7       210.13       1.550e+06    24.795           9.920e+07   1587.2          1.550e+06   24.795      1.452e+07   232.28      2.6176        
5      205.97       2095.7       209.8        1.549e+06    24.784           9.920e+07   1587.2          1.549e+06   24.784      1.450e+07   232.04      2.6176        
6      205.97       2095.7       210.82       1.550e+06    24.8             9.920e+07   1587.2          1.550e+06   24.8        1.451e+07   232.24      2.6176        
7      205.98       2095.8       210.52       1.548e+06    24.77            9.920e+07   1587.1          1.548e+06   24.77       1.449e+07   231.82      2.6176        
8      205.98       2095.8       210.22       1.551e+06    24.811           9.920e+07   1587.2          1.551e+06   24.811      1.453e+07   232.42      2.6176        
9      205.97       2095.8       212.29       1.550e+06    24.798           9.920e+07   1587.2          1.550e+06   24.798      1.451e+07   232.18      2.6176        
10     205.98       2095.7       210.75       1.549e+06    24.79            9.920e+07   1587.2          1.549e+06   24.79       1.450e+07   232.04      2.6176        
11     205.98       2095.7       211.52       1.549e+06    24.787           9.920e+07   1587.2          1.549e+06   24.787      1.450e+07   232.05      2.6176        
12     205.98       2095.7       212.04       1.550e+06    24.798           9.920e+07   1587.2          1.550e+06   24.798      1.451e+07   232.15      2.6176        
13     205.98       2095.8       211.59       1.550e+06    24.794           9.920e+07   1587.2          1.550e+06   24.794      1.451e+07   232.14      2.6176        
14     205.98       2095.7       212.41       1.550e+06    24.808           9.920e+07   1587.2          1.550e+06   24.808      1.453e+07   232.43      2.6176        
15     205.98       2095.8       213.25       1.549e+06    24.776           9.920e+07   1587.2          1.549e+06   24.776      1.449e+07   231.85      2.6176        
16     205.98       2095.8       208.27       1.549e+06    24.791           9.920e+07   1587.2          1.549e+06   24.791      1.451e+07   232.11      2.6176        
17     205.98       2095.7       206.97       1.548e+06    24.773           9.920e+07   1587.2          1.548e+06   24.773      1.448e+07   231.73      2.6176        
18     205.98       2095.7       207.47       1.549e+06    24.782           9.920e+07   1587.2          1.549e+06   24.782      1.450e+07   232.01      2.6176        
19     205.98       2095.7       208.18       1.552e+06    24.828           9.920e+07   1587.2          1.552e+06   24.828      1.455e+07   232.86      2.6176        
20     205.98       2095.7       207.2        1.550e+06    24.802           9.920e+07   1587.2          1.550e+06   24.802      1.452e+07   232.29      2.6176        
21     205.98       2095.7       207.42       1.551e+06    24.813           9.920e+07   1587.2          1.551e+06   24.813      1.453e+07   232.41      2.6176        
22     205.98       2095.7       208.3        1.550e+06    24.793           9.920e+07   1587.2          1.550e+06   24.793      1.451e+07   232.14      2.6176        
23     205.98       2095.7       208.82       1.551e+06    24.817           9.920e+07   1587.2          1.551e+06   24.817      1.454e+07   232.63      2.6176        
24     205.98       2095.8       207.43       1.551e+06    24.809           9.920e+07   1587.2          1.551e+06   24.809      1.452e+07   232.29      2.6176        
25     205.98       2095.8       208          1.550e+06    24.798           9.920e+07   1587.2          1.550e+06   24.798      1.452e+07   232.24      2.6176        
26     205.98       2095.7       207.49       1.551e+06    24.81            9.920e+07   1587.2          1.551e+06   24.81       1.453e+07   232.52      2.6176        
27     205.98       2095.8       208.93       1.551e+06    24.809           9.920e+07   1587.2          1.551e+06   24.809      1.452e+07   232.29      2.6176        
28     205.98       2095.7       207.1        1.549e+06    24.777           9.920e+07   1587.2          1.549e+06   24.777      1.449e+07   231.8       2.6176        
29     205.98       2095.7       207.99       1.550e+06    24.804           9.920e+07   1587.2          1.550e+06   24.804      1.452e+07   232.31      2.6176        
30     205.98       2095.7       206.57       1.549e+06    24.78            9.920e+07   1587.2          1.549e+06   24.78       1.450e+07   231.97      2.6176        
31     205.98       2095.8       208.75       1.553e+06    24.852           9.920e+07   1587.2          1.553e+06   24.852      1.457e+07   233.13      2.6176        
32     205.98       2095.8       208.44       1.549e+06    24.783           9.920e+07   1587.2          1.549e+06   24.783      1.450e+07   231.98      2.6176        
33     205.98       2095.7       207.55       1.550e+06    24.804           9.920e+07   1587.2          1.550e+06   24.804      1.452e+07   232.25      2.6176        
34     205.98       2095.7       206.91       1.548e+06    24.766           9.920e+07   1587.2          1.548e+06   24.766      1.449e+07   231.76      2.6176        
35     205.98       2095.7       207.34       1.552e+06    24.828           9.920e+07   1587.2          1.552e+06   24.828      1.455e+07   232.8       2.6176        
36     205.98       2095.7       208.22       1.551e+06    24.819           9.920e+07   1587.2          1.551e+06   24.819      1.455e+07   232.73      2.6176        
37     205.98       2095.7       207.57       1.550e+06    24.803           9.920e+07   1587.2          1.550e+06   24.803      1.451e+07   232.13      2.6176        
38     205.98       2095.8       208.36       1.548e+06    24.768           9.920e+07   1587.2          1.548e+06   24.768      1.449e+07   231.77      2.6176        
39     205.98       2095.8       207.23       1.547e+06    24.748           9.920e+07   1587.2          1.547e+06   24.748      1.445e+07   231.28      2.6176        
40     205.98       2095.7       206.58       1.549e+06    24.79            9.920e+07   1587.2          1.549e+06   24.79       1.450e+07   232.06      2.6176        
41     205.98       2095.7       206.7        1.549e+06    24.789           9.920e+07   1587.2          1.549e+06   24.789      1.450e+07   231.99      2.6176        
42     205.98       2095.7       207.78       1.549e+06    24.785           9.920e+07   1587.2          1.549e+06   24.785      1.450e+07   232.05      2.6176        
43     205.98       2095.7       208.32       1.552e+06    24.83            9.920e+07   1587.1          1.552e+06   24.83       1.454e+07   232.6       2.6176        
44     205.98       2095.7       206.21       1.548e+06    24.774           9.920e+07   1587.2          1.548e+06   24.774      1.449e+07   231.84      2.6176        
45     205.98       2095.8       206.63       1.549e+06    24.791           9.920e+07   1587.2          1.549e+06   24.791      1.450e+07   231.95      2.6176        
46     205.98       2095.7       207.38       1.550e+06    24.797           9.920e+07   1587.2          1.550e+06   24.797      1.452e+07   232.31      2.6176        
47     205.98       2095.7       209.29       1.551e+06    24.817           9.920e+07   1587.2          1.551e+06   24.817      1.454e+07   232.6       2.6176        
48     205.98       2095.7       208.9        1.553e+06    24.842           9.920e+07   1587.2          1.553e+06   24.842      1.456e+07   232.9       2.6176        
49     205.98       2095.7       208.51       1.552e+06    24.827           9.920e+07   1587.2          1.552e+06   24.827      1.454e+07   232.7       2.6176        
50     205.98       2095.7       208.29       1.549e+06    24.789           9.920e+07   1587.2          1.549e+06   24.789      1.452e+07   232.27      2.6176        
51     205.98       2095.7       208.07       1.551e+06    24.815           9.920e+07   1587.2          1.551e+06   24.815      1.452e+07   232.39      2.6176        
52     205.98       2095.7       207.98       1.551e+06    24.81            9.920e+07   1587.2          1.551e+06   24.81       1.452e+07   232.4       2.6176        
53     205.98       2095.7       208.25       1.550e+06    24.802           9.920e+07   1587.2          1.550e+06   24.802      1.452e+07   232.29      2.6176        
54     205.98       2095.8       209.29       1.551e+06    24.809           9.920e+07   1587.2          1.551e+06   24.809      1.452e+07   232.36      2.6176        
55     205.98       2095.7       208.73       1.550e+06    24.802           9.920e+07   1587.1          1.550e+06   24.802      1.452e+07   232.27      2.6176        
56     205.98       2095.8       207.25       1.549e+06    24.791           9.920e+07   1587.2          1.549e+06   24.791      1.451e+07   232.15      2.6176        
57     205.97       2095.8       208.15       1.551e+06    24.82            9.920e+07   1587.2          1.551e+06   24.82       1.453e+07   232.55      2.6176        
58     205.98       2095.7       207.17       1.549e+06    24.789           9.920e+07   1587.2          1.549e+06   24.789      1.449e+07   231.92      2.6176        
59     205.98       2095.7       208.9        1.553e+06    24.845           9.920e+07   1587.2          1.553e+06   24.845      1.456e+07   233.02      2.6176        
60     205.98       2095.7       207.92       1.550e+06    24.797           9.920e+07   1587.2          1.550e+06   24.797      1.452e+07   232.37      2.6176        
61     205.98       2095.8       207.02       1.548e+06    24.775           9.920e+07   1587.2          1.548e+06   24.775      1.448e+07   231.71      2.6176        
62     205.98       2095.7       207.1        1.550e+06    24.795           9.920e+07   1587.2          1.550e+06   24.795      1.452e+07   232.34      2.6176        
63     205.98       2095.7       207.17       1.550e+06    24.799           9.920e+07   1587.2          1.550e+06   24.799      1.451e+07   232.15      2.6176        
