Performance Recorder: AA_2D_Detailed_NoPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      537.42        1096.1        919.86       732.25       1.740e+07    1.740e+07    1.130e+08    9.7179        
1      1155.9        2701.3        291.01       216.35       1.715e+06    1.715e+06    2.482e+07    9.7179        
2      1462          2600.8        88.131       77.785       1.784e+05    1.784e+05    3.026e+06    9.7179        
3      1491          2708.3        6.8718       0.23633      0.000e+00    0.000e+00    6.498e+03    9.7179        
4      2048.6        500.8         271.13       289.34       1.715e+06    1.715e+06    2.482e+07    9.7179        
5      1030.7        1832.2        1290.5       1069.4       2.079e+07    2.079e+07    1.608e+08    9.7179        
6      1968          1846.4        349.68       298          1.726e+06    1.726e+06    2.875e+07    9.7179        
7      2600.2        1601.1        101.28       57.242       1.725e+05    1.725e+05    3.696e+06    9.7179        
8      2482.6        1585.2        80.568       44.829       1.784e+05    1.784e+05    3.026e+06    9.7179        
9      2247.7        1567.1        336.36       312.29       1.726e+06    1.726e+06    2.875e+07    9.7179        
10     1019.4        1599          1573.6       1195.6       2.235e+07    2.235e+07    1.858e+08    9.7179        
11     2812.3        1312.1        338.9        267.38       1.440e+06    1.440e+06    2.691e+07    9.7179        
12     1222.2        2348.1        11.39        0.57531      0.000e+00    0.000e+00    6.498e+03    9.7179        
13     1119.6        2926.6        115.15       67.512       1.725e+05    1.725e+05    3.696e+06    9.7179        
14     1035.3        2913.6        324.29       260.36       1.440e+06    1.440e+06    2.691e+07    9.7179        
15     1546.4        2651.9        2566         1642.5       2.820e+07    2.820e+07    2.950e+08    9.7179        
