Performance Recorder: AA_2D_Detailed_RandPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      638.07        362.99        1015         631.31       7.171e+06    7.171e+06    5.907e+07    2.9772        
1      644.62        369.2         978.02       617.52       5.875e+06    5.875e+06    5.773e+07    2.9772        
2      680.56        348           955.24       616.5        5.879e+06    5.879e+06    5.778e+07    2.9772        
3      745.75        342.74        943.69       616.71       5.876e+06    5.876e+06    5.773e+07    2.9772        
4      800.04        224.47        979.46       619.2        5.875e+06    5.875e+06    5.773e+07    2.9772        
5      726.7         270.05        1010.5       647.85       7.164e+06    7.164e+06    5.903e+07    2.9772        
6      807.1         209.22        976.5        642.99       5.883e+06    5.883e+06    5.777e+07    2.9772        
7      866.92        204.19        967.75       646.98       5.878e+06    5.878e+06    5.771e+07    2.9772        
8      753.3         283.9         965.3        631.14       5.879e+06    5.879e+06    5.778e+07    2.9772        
9      736.93        288.41        971.19       618.5        5.883e+06    5.883e+06    5.777e+07    2.9772        
10     746.51        267.51        988.64       655.3        7.167e+06    7.167e+06    5.905e+07    2.9772        
11     822.53        262.89        959.83       642.36       5.875e+06    5.875e+06    5.772e+07    2.9772        
12     817.25        234.91        972.95       620.34       5.876e+06    5.876e+06    5.773e+07    2.9772        
13     801.25        240.93        975.11       682.31       5.878e+06    5.878e+06    5.771e+07    2.9772        
14     814.81        219.44        974.77       615.8        5.875e+06    5.875e+06    5.772e+07    2.9772        
15     840.57        255.51        973.69       626.59       7.166e+06    7.166e+06    5.899e+07    2.9772        
