Performance Recorder: CBC_RTA_1D_Detailed_GPPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      96.989       236.76       62.191       4.567e+05    7.3069           1.211e+06   19.37           7.509e+06   120.14      3.504e+06   56.062      0.42581       
1      96.987       236.72       57.135       4.428e+05    7.0844           1.345e+06   21.517          7.422e+06   118.76      3.474e+06   55.588      0.42581       
2      96.988       236.73       49.608       2.302e+05    3.6828           8.843e+05   14.15           5.172e+06   82.754      2.485e+06   39.755      0.42581       
3      96.988       236.73       57.21        4.064e+05    6.5027           1.496e+06   23.94           7.114e+06   113.83      3.352e+06   53.629      0.42581       
4      96.992       236.75       57.661       4.420e+05    7.072            1.386e+06   22.184          7.473e+06   119.56      3.503e+06   56.046      0.42581       
5      96.989       236.73       65.513       4.428e+05    7.085            1.114e+06   17.822          7.456e+06   119.3       3.499e+06   55.988      0.42581       
6      96.989       236.74       51.068       3.389e+05    5.4217           1.617e+06   25.871          6.579e+06   105.27      3.114e+06   49.831      0.42581       
7      96.989       236.73       47.956       2.616e+05    4.1856           1.174e+06   18.789          5.810e+06   92.962      2.802e+06   44.827      0.42581       
8      96.989       236.73       51.769       3.782e+05    6.0507           1.530e+06   24.478          6.951e+06   111.21      3.302e+06   52.832      0.42581       
9      96.988       236.73       52.244       3.688e+05    5.9001           1.407e+06   22.516          6.301e+06   100.82      2.940e+06   47.037      0.42581       
10     96.986       236.73       50.873       2.774e+05    4.4379           1.139e+06   18.221          5.980e+06   95.686      2.870e+06   45.921      0.42581       
11     96.987       236.75       35.114       2.164e+05    3.4627           9.860e+05   15.777          4.279e+06   68.456      2.041e+06   32.658      0.42581       
12     96.989       236.73       47.154       2.298e+05    3.6771           1.129e+06   18.063          5.223e+06   83.576      2.491e+06   39.855      0.42581       
13     96.987       236.73       51.836       2.550e+05    4.0803           1.059e+06   16.945          5.725e+06   91.593      2.738e+06   43.815      0.42581       
14     96.987       236.73       51.051       2.463e+05    3.9404           1.009e+06   16.137          5.632e+06   90.112      2.696e+06   43.129      0.42581       
15     96.987       236.76       44.665       1.617e+05    2.5875           5.821e+05   9.3131          4.573e+06   73.164      2.175e+06   34.801      0.42581       
