Performance Recorder: CBC_RTA_1D_Detailed_NoPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      129.44       31.096       9.4766       8.054e+04    1.2887           1.477e+05   2.3633          7.043e+05   11.269      2.779e+05   4.4463      0.19443       
1      129.44       31.073       10.261       8.054e+04    1.2887           1.863e+05   2.981           9.190e+05   14.705      3.961e+05   6.3371      0.19443       
2      129.44       31.058       10.6         8.054e+04    1.2887           2.464e+05   3.9416          1.030e+06   16.473      4.603e+05   7.364       0.19443       
3      129.44       31.097       9.9619       8.054e+04    1.2887           3.245e+05   5.1926          1.137e+06   18.185      5.228e+05   8.3647      0.19443       
4      129.44       31.067       12.245       8.054e+04    1.2887           3.599e+05   5.7586          1.197e+06   19.151      5.572e+05   8.9157      0.19443       
5      129.43       31.089       12.75        8.054e+04    1.2887           3.944e+05   6.3105          1.283e+06   20.527      5.921e+05   9.4741      0.19443       
6      129.43       31.069       11.993       8.054e+04    1.2887           4.533e+05   7.2534          1.227e+06   19.638      5.863e+05   9.3813      0.19443       
7      129.43       31.102       11.589       8.054e+04    1.2887           3.776e+05   6.0413          1.221e+06   19.539      5.724e+05   9.1588      0.19443       
8      129.44       31.156       13.612       8.054e+04    1.2887           4.255e+05   6.8073          1.314e+06   21.027      6.224e+05   9.9584      0.19443       
9      129.43       31.089       11.885       8.054e+04    1.2887           3.309e+05   5.2938          1.363e+06   21.812      6.071e+05   9.7144      0.19443       
10     129.44       31.096       13.918       8.054e+04    1.2887           3.952e+05   6.3226          1.442e+06   23.066      6.665e+05   10.664      0.19443       
11     129.44       31.115       13.245       8.054e+04    1.2887           4.257e+05   6.8108          1.286e+06   20.571      5.923e+05   9.4764      0.19443       
12     129.43       31.078       14.003       8.054e+04    1.2887           3.708e+05   5.9332          1.372e+06   21.949      6.424e+05   10.279      0.19443       
13     129.43       31.092       10.996       8.054e+04    1.2887           3.343e+05   5.3489          1.209e+06   19.345      5.554e+05   8.8871      0.19443       
14     129.44       31.089       14.37        8.054e+04    1.2887           3.750e+05   5.9997          1.378e+06   22.04       6.571e+05   10.513      0.19443       
15     129.44       31.1         14.855       8.054e+04    1.2887           2.980e+05   4.7683          1.210e+06   19.366      5.539e+05   8.8624      0.19443       
16     129.43       31.067       16.615       8.054e+04    1.2887           4.001e+05   6.4009          1.414e+06   22.63       6.762e+05   10.819      0.19443       
17     129.43       31.082       16.056       8.054e+04    1.2887           2.576e+05   4.1219          1.307e+06   20.914      6.096e+05   9.7531      0.19443       
18     129.43       31.087       14.093       8.054e+04    1.2887           3.896e+05   6.2332          1.433e+06   22.921      6.844e+05   10.95       0.19443       
19     129.43       31.107       16.395       8.054e+04    1.2887           4.015e+05   6.4237          1.554e+06   24.865      7.459e+05   11.935      0.19443       
20     129.43       31.071       14.803       8.054e+04    1.2887           3.911e+05   6.2573          1.550e+06   24.806      7.435e+05   11.896      0.19443       
21     129.43       31.088       15.723       8.054e+04    1.2887           4.320e+05   6.9114          1.595e+06   25.528      7.564e+05   12.103      0.19443       
22     129.43       31.077       13.683       8.054e+04    1.2887           4.661e+05   7.4574          1.317e+06   21.077      6.143e+05   9.8288      0.19443       
23     129.43       31.087       15.615       8.054e+04    1.2887           4.099e+05   6.5582          1.505e+06   24.079      7.280e+05   11.648      0.19443       
24     129.43       31.085       17.778       8.054e+04    1.2887           4.689e+05   7.5027          1.599e+06   25.592      7.785e+05   12.455      0.19443       
25     129.43       31.1         14.803       8.054e+04    1.2887           4.641e+05   7.4263          1.463e+06   23.408      6.966e+05   11.146      0.19443       
26     129.43       31.087       16.334       8.054e+04    1.2887           3.371e+05   5.3929          1.619e+06   25.899      7.360e+05   11.777      0.19443       
27     129.43       31.101       19.012       8.054e+04    1.2887           4.313e+05   6.9011          1.773e+06   28.362      8.368e+05   13.388      0.19443       
28     129.43       31.106       17.933       8.054e+04    1.2887           4.923e+05   7.8764          1.627e+06   26.037      7.684e+05   12.294      0.19443       
29     129.43       31.111       15.155       8.054e+04    1.2887           4.563e+05   7.3012          1.410e+06   22.561      6.642e+05   10.628      0.19443       
30     129.43       31.09        16.488       8.054e+04    1.2887           3.778e+05   6.0444          1.620e+06   25.922      7.661e+05   12.258      0.19443       
31     129.43       31.128       16.8         8.054e+04    1.2887           4.355e+05   6.9686          1.618e+06   25.888      7.710e+05   12.336      0.19443       
32     129.43       31.078       12.685       8.054e+04    1.2887           3.395e+05   5.4317          1.267e+06   20.27       5.895e+05   9.4319      0.19443       
33     129.43       31.066       17.898       8.054e+04    1.2887           3.559e+05   5.6941          1.660e+06   26.566      7.979e+05   12.767      0.19443       
34     129.43       31.074       14.436       8.054e+04    1.2887           4.090e+05   6.5443          1.365e+06   21.833      6.458e+05   10.332      0.19443       
35     129.43       31.094       17.335       8.054e+04    1.2887           3.291e+05   5.2649          1.609e+06   25.739      7.657e+05   12.251      0.19443       
36     129.43       31.093       18.242       8.054e+04    1.2887           5.186e+05   8.2973          1.681e+06   26.896      8.197e+05   13.115      0.19443       
37     129.43       31.082       14.08        8.054e+04    1.2887           4.674e+05   7.4788          1.471e+06   23.533      6.892e+05   11.027      0.19443       
38     129.43       31.087       17.674       8.054e+04    1.2887           4.841e+05   7.745           1.639e+06   26.223      7.969e+05   12.75       0.19443       
39     129.43       31.098       18.521       8.054e+04    1.2887           5.370e+05   8.592           1.790e+06   28.635      8.875e+05   14.199      0.19443       
40     129.43       31.124       17.821       8.054e+04    1.2887           2.894e+05   4.6305          1.477e+06   23.624      6.916e+05   11.066      0.19443       
41     129.43       31.072       20.289       8.054e+04    1.2887           3.731e+05   5.9695          1.952e+06   31.232      9.160e+05   14.656      0.19443       
42     129.43       31.143       17.26        8.054e+04    1.2887           5.278e+05   8.4447          1.747e+06   27.957      8.350e+05   13.36       0.19443       
43     129.43       31.102       18.135       8.054e+04    1.2887           4.856e+05   7.7693          1.561e+06   24.97       7.404e+05   11.847      0.19443       
44     129.42       31.1         19.375       8.054e+04    1.2887           3.240e+05   5.1841          1.696e+06   27.13       8.029e+05   12.846      0.19443       
45     129.43       31.095       15.824       8.054e+04    1.2887           4.357e+05   6.9705          1.619e+06   25.898      7.662e+05   12.259      0.19443       
46     129.43       31.113       19.207       8.054e+04    1.2887           3.120e+05   4.9916          1.564e+06   25.018      7.471e+05   11.954      0.19443       
47     129.43       31.114       19.059       8.054e+04    1.2887           5.024e+05   8.039           1.598e+06   25.564      7.654e+05   12.246      0.19443       
48     129.44       31.071       17.44        8.054e+04    1.2887           4.721e+05   7.554           1.568e+06   25.085      7.449e+05   11.919      0.19443       
49     129.44       31.072       19.619       8.054e+04    1.2887           4.627e+05   7.4035          1.903e+06   30.448      9.393e+05   15.029      0.19443       
50     129.44       31.088       18.117       8.054e+04    1.2887           4.757e+05   7.6106          1.705e+06   27.287      8.241e+05   13.186      0.19443       
51     129.44       31.072       18.354       8.054e+04    1.2887           3.414e+05   5.4616          1.646e+06   26.332      7.710e+05   12.337      0.19443       
52     129.44       31.075       25.296       8.054e+04    1.2887           4.086e+05   6.5372          2.132e+06   34.116      1.022e+06   16.357      0.19443       
53     129.43       31.104       17.24        8.054e+04    1.2887           5.463e+05   8.7415          1.702e+06   27.23       8.124e+05   12.999      0.19443       
54     129.44       31.104       20.062       8.054e+04    1.2887           3.741e+05   5.9858          1.734e+06   27.752      8.201e+05   13.121      0.19443       
55     129.43       31.12        19.999       8.054e+04    1.2887           4.704e+05   7.5259          1.725e+06   27.603      8.248e+05   13.197      0.19443       
56     129.44       31.098       17.302       8.054e+04    1.2887           5.290e+05   8.4634          1.689e+06   27.022      8.021e+05   12.834      0.19443       
57     129.44       31.076       24.961       8.054e+04    1.2887           4.013e+05   6.4211          1.959e+06   31.352      9.678e+05   15.486      0.19443       
58     129.44       31.09        19.641       8.054e+04    1.2887           4.609e+05   7.3748          1.925e+06   30.801      9.327e+05   14.924      0.19443       
59     129.44       31.107       21.433       8.054e+04    1.2887           3.273e+05   5.2362          1.899e+06   30.376      8.865e+05   14.185      0.19443       
60     129.44       31.077       26.825       8.054e+04    1.2887           3.735e+05   5.9767          2.265e+06   36.236      1.072e+06   17.156      0.19443       
61     129.43       31.102       22.758       8.054e+04    1.2887           4.948e+05   7.9166          2.060e+06   32.962      9.876e+05   15.802      0.19443       
62     129.44       31.088       19.058       8.054e+04    1.2887           6.302e+05   10.083          1.796e+06   28.74       8.721e+05   13.953      0.19443       
63     129.43       31.153       22.654       8.059e+04    1.2894           5.041e+05   8.0651          2.101e+06   33.611      1.027e+06   16.435      0.19443       
