Performance Recorder: CBC_RTA_1D_Detailed_RandPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      131.96       40.706       169.73       3.222e+05    5.1548           5.155e+06   82.478          6.200e+06   99.198      2.941e+06   47.048      0.361         
1      131.96       40.722       169.8        3.222e+05    5.1548           5.155e+06   82.478          6.202e+06   99.232      2.937e+06   46.993      0.361         
2      131.96       40.681       169.53       3.222e+05    5.1548           5.155e+06   82.478          6.198e+06   99.161      2.936e+06   46.978      0.361         
3      131.95       40.692       170.36       3.222e+05    5.1548           5.155e+06   82.478          6.202e+06   99.235      2.939e+06   47.027      0.361         
4      131.96       40.701       170.4        3.222e+05    5.1548           5.155e+06   82.478          6.200e+06   99.204      2.942e+06   47.072      0.361         
5      131.96       40.688       171.19       3.222e+05    5.1548           5.155e+06   82.478          6.198e+06   99.173      2.935e+06   46.961      0.361         
6      131.96       40.695       169.99       3.222e+05    5.1548           5.155e+06   82.478          6.200e+06   99.204      2.937e+06   46.988      0.361         
7      131.96       40.721       169.95       3.222e+05    5.1548           5.155e+06   82.478          6.201e+06   99.221      2.938e+06   47.014      0.361         
8      131.96       40.707       170.51       3.222e+05    5.1548           5.155e+06   82.478          6.203e+06   99.241      2.940e+06   47.037      0.361         
9      131.96       40.725       171.1        3.222e+05    5.1548           5.155e+06   82.478          6.202e+06   99.225      2.938e+06   47.006      0.361         
10     131.96       40.698       170.32       3.222e+05    5.1548           5.155e+06   82.478          6.203e+06   99.244      2.939e+06   47.019      0.361         
11     131.96       40.684       171.2        3.222e+05    5.1548           5.155e+06   82.478          6.196e+06   99.132      2.937e+06   46.991      0.361         
12     131.96       40.696       168.97       3.222e+05    5.1548           5.155e+06   82.478          6.200e+06   99.198      2.938e+06   47.014      0.361         
13     131.96       40.691       170.33       3.222e+05    5.1548           5.155e+06   82.478          6.194e+06   99.108      2.934e+06   46.948      0.361         
14     131.96       40.676       168.92       3.222e+05    5.1548           5.155e+06   82.478          6.202e+06   99.224      2.938e+06   47.006      0.361         
15     131.96       40.726       169.44       3.222e+05    5.155            5.155e+06   82.478          6.200e+06   99.192      2.935e+06   46.955      0.361         
