Performance Recorder: RTAR_1DOP_Detailed_GPPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      8.0045       21.847       3.3114        4.5217       9.290e+05    14.864           1.385e+05   2.2154      1.892e+05   3.0266      0.039399      
1      7.7259       21.25        2.639         3.3118       7.374e+05    11.798           1.043e+05   1.6683      1.845e+05   2.9513      0.039399      
2      7.8544       20.929       2.9129        4.0493       9.432e+05    15.092           1.350e+05   2.1607      1.883e+05   3.0126      0.039399      
3      7.4471       23.61        3.229         2.4837       6.457e+05    10.331           5.345e+04   0.85515     1.918e+05   3.0695      0.039399      
4      7.2154       23.384       2.8642        2.2598       5.571e+05    8.9135           4.097e+04   0.65555     1.892e+05   3.0272      0.039399      
5      7.7243       21.15        2.8947        3.9475       8.918e+05    14.269           1.178e+05   1.8852      1.871e+05   2.9929      0.039399      
6      7.6123       21.411       3.1333        3.9355       8.869e+05    14.19            1.289e+05   2.0625      1.896e+05   3.0342      0.039399      
7      7.0326       24.391       2.9506        1.6307       4.316e+05    6.9055           2.345e+04   0.37526     1.901e+05   3.0419      0.039399      
8      7.8195       20.808       3.1285        3.7644       8.743e+05    13.988           1.209e+05   1.9339      1.913e+05   3.0611      0.039399      
9      7.3315       22.784       3.1248        2.5868       6.693e+05    10.708           5.771e+04   0.92339     1.880e+05   3.0087      0.039399      
10     7.298        22.506       2.6548        2.3871       6.090e+05    9.7445           5.379e+04   0.8607      1.829e+05   2.927       0.039399      
11     7.8289       21.059       3.0857        4.1567       9.334e+05    14.934           1.281e+05   2.0502      1.887e+05   3.0193      0.039399      
12     7.7887       22.176       3.1935        3.5741       8.141e+05    13.025           1.049e+05   1.6782      1.892e+05   3.0272      0.039399      
13     7.8147       20.708       2.962         4.1545       9.156e+05    14.65            1.225e+05   1.9599      1.954e+05   3.127       0.039399      
14     7.7397       21.689       3.2368        3.741        8.586e+05    13.737           1.106e+05   1.7691      1.900e+05   3.0403      0.039399      
15     7.8152       21.602       3.1168        3.8311       8.641e+05    13.825           1.186e+05   1.8978      1.889e+05   3.0218      0.039399      
16     7.8875       21.626       2.916         4.0971       9.377e+05    15.003           1.298e+05   2.0775      1.896e+05   3.0336      0.039399      
17     7.4652       23.49        3.5988        3.4853       8.073e+05    12.917           9.222e+04   1.4755      1.892e+05   3.0265      0.039399      
18     7.6716       21.153       2.8029        4.0942       9.123e+05    14.596           1.310e+05   2.096       1.885e+05   3.016       0.039399      
19     7.3799       22.501       2.7846        2.9825       7.314e+05    11.702           7.719e+04   1.235       1.885e+05   3.0152      0.039399      
20     7.2852       23.291       2.9338        2.6665       6.235e+05    9.9766           6.920e+04   1.1072      1.850e+05   2.9602      0.039399      
21     7.7605       21.112       2.9008        3.8048       8.682e+05    13.891           1.132e+05   1.8116      1.834e+05   2.9339      0.039399      
22     7.8174       22.53        3.4019        4.0892       8.932e+05    14.291           1.224e+05   1.9581      1.909e+05   3.0548      0.039399      
23     7.5386       22.255       2.819         3.4628       7.832e+05    12.532           1.083e+05   1.7325      1.923e+05   3.0774      0.039399      
24     7.3801       21.846       2.8586        3.1751       7.722e+05    12.355           7.911e+04   1.2658      1.918e+05   3.0689      0.039399      
25     7.3128       21.694       2.942         3.2793       7.821e+05    12.513           8.267e+04   1.3227      1.899e+05   3.0379      0.039399      
26     7.3466       22.674       2.6379        3.2191       7.796e+05    12.474           8.583e+04   1.3733      1.862e+05   2.9798      0.039399      
27     7.4429       23.104       3.5446        2.704        6.791e+05    10.866           6.001e+04   0.96011     1.864e+05   2.9827      0.039399      
28     7.2952       22.469       2.8887        3.0533       7.614e+05    12.183           7.977e+04   1.2763      1.869e+05   2.9901      0.039399      
29     7.2452       22.741       2.8062        2.8487       6.882e+05    11.012           6.153e+04   0.98442     1.831e+05   2.93        0.039399      
30     7.4025       23.565       3.1274        3.0934       7.384e+05    11.814           7.642e+04   1.2228      1.862e+05   2.9786      0.039399      
31     7.3026       22.704       3.4003        3.2604       7.764e+05    12.422           7.836e+04   1.2538      1.907e+05   3.0506      0.039399      
32     7.2822       22.397       2.7941        3.1931       7.571e+05    12.114           8.042e+04   1.2867      1.929e+05   3.0868      0.039399      
33     7.4305       21.791       2.9304        3.2311       7.848e+05    12.556           8.264e+04   1.3222      1.909e+05   3.0547      0.039399      
34     7.2685       22.976       2.6715        3.0025       7.318e+05    11.709           7.491e+04   1.1985      1.881e+05   3.0092      0.039399      
35     7.1835       23.178       2.6768        2.2687       5.497e+05    8.7949           6.210e+04   0.99366     1.915e+05   3.0644      0.039399      
36     7.203        23.299       3.185         2.7598       7.056e+05    11.289           6.467e+04   1.0348      1.955e+05   3.1273      0.039399      
37     7.3291       22.155       2.7291        3.2988       7.703e+05    12.325           7.964e+04   1.2743      1.905e+05   3.0476      0.039399      
38     7.4536       21.827       2.697         3.4803       8.055e+05    12.888           8.799e+04   1.4079      1.844e+05   2.9497      0.039399      
39     7.3063       23.29        3.0407        2.6714       6.592e+05    10.547           5.961e+04   0.9537      1.858e+05   2.9721      0.039399      
40     7.5394       21.842       3.3077        3.4348       7.978e+05    12.764           9.096e+04   1.4553      1.899e+05   3.0387      0.039399      
41     7.3058       22.788       2.8654        2.7627       6.655e+05    10.648           5.905e+04   0.94483     1.894e+05   3.0308      0.039399      
42     7.2791       23.09        3.1922        2.5489       6.266e+05    10.025           5.530e+04   0.88483     1.909e+05   3.055       0.039399      
43     7.4402       23.645       3.4669        3.2902       7.725e+05    12.36            8.208e+04   1.3132      1.875e+05   2.9993      0.039399      
44     7.3892       23.102       2.8983        2.4724       6.019e+05    9.6306           6.528e+04   1.0444      1.847e+05   2.9546      0.039399      
45     7.4075       23.205       3.2929        2.9219       7.034e+05    11.255           7.686e+04   1.2297      1.917e+05   3.0669      0.039399      
46     7.2932       23.807       3.2762        3.2738       7.761e+05    12.417           8.141e+04   1.3026      1.881e+05   3.0094      0.039399      
47     7.221        22.7         2.8492        2.8556       6.880e+05    11.008           7.422e+04   1.1876      1.918e+05   3.0692      0.039399      
48     7.3476       22.777       2.7874        3.2011       7.702e+05    12.324           8.247e+04   1.3195      1.875e+05   3.0007      0.039399      
49     7.3535       22.937       3.0814        3.2474       7.782e+05    12.45            8.329e+04   1.3327      1.901e+05   3.0416      0.039399      
50     7.258        24.115       3.1197        2.6165       6.426e+05    10.282           5.664e+04   0.90629     1.885e+05   3.0164      0.039399      
51     7.3261       22.641       2.5239        2.9948       7.351e+05    11.761           7.515e+04   1.2024      1.900e+05   3.0404      0.039399      
52     7.1053       24.252       2.685         2.1716       5.569e+05    8.9099           4.032e+04   0.64507     1.805e+05   2.8883      0.039399      
53     7.359        22.23        2.5412        3.2307       7.827e+05    12.523           8.205e+04   1.3127      1.837e+05   2.9398      0.039399      
54     7.1969       23.368       2.8082        2.6921       6.563e+05    10.501           5.847e+04   0.93554     1.873e+05   2.9965      0.039399      
55     7.1584       23.772       3.0219        2.2935       5.398e+05    8.6373           4.480e+04   0.71683     1.858e+05   2.9728      0.039399      
56     7.2296       23.245       3.0159        2.6991       6.208e+05    9.9323           6.276e+04   1.0041      1.933e+05   3.0926      0.039399      
57     7.2646       22.501       2.6308        3.1081       7.392e+05    11.828           7.864e+04   1.2583      1.854e+05   2.9671      0.039399      
58     7.1629       23.429       2.8741        2.3685       6.182e+05    9.8916           5.266e+04   0.84262     1.827e+05   2.9236      0.039399      
59     7.2107       22.838       3.0056        2.9161       7.057e+05    11.291           6.876e+04   1.1002      1.925e+05   3.0793      0.039399      
60     7.1187       25.081       3.2911        2.1663       5.713e+05    9.1407           4.560e+04   0.72966     1.918e+05   3.0687      0.039399      
61     7.143        23.628       2.8003        2.0499       5.436e+05    8.697            3.989e+04   0.63824     1.883e+05   3.0122      0.039399      
62     7.3013       22.859       2.5864        2.7135       6.604e+05    10.566           5.584e+04   0.89352     1.844e+05   2.9506      0.039399      
63     7.1417       22.602       2.5382        2.3975       5.861e+05    9.3783           4.387e+04   0.70192     1.927e+05   3.0839      0.039399      
