Performance Recorder: RTAR_1DOP_Detailed_NoPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      7.8672       25.598       4.1908        1.6616       2.779e+05    4.4463           8.054e+04   1.2887      1.861e+05   2.9782      0.042281      
1      7.6988       25.172       4.1118        2.0834       3.961e+05    6.3371           8.054e+04   1.2887      1.832e+05   2.9304      0.042281      
2      7.718        24.835       4.3087        2.2859       4.603e+05    7.364            8.054e+04   1.2887      1.878e+05   3.0055      0.042281      
3      8.0722       24.297       4.5911        2.6903       5.228e+05    8.3647           8.054e+04   1.2887      1.931e+05   3.0903      0.042281      
4      7.9164       23.587       3.5388        3.1471       5.572e+05    8.9157           8.054e+04   1.2887      1.874e+05   2.9981      0.042281      
5      7.4941       24.877       4.5698        3.0561       5.921e+05    9.4741           8.054e+04   1.2887      1.871e+05   2.9935      0.042281      
6      7.917        23.993       3.9933        3.407        5.863e+05    9.3813           8.054e+04   1.2887      1.883e+05   3.0132      0.042281      
7      7.8245       24.461       4.414         2.9287       5.724e+05    9.1588           8.054e+04   1.2887      1.928e+05   3.0847      0.042281      
8      7.782        24.728       4.7291        3.058        6.224e+05    9.9584           8.054e+04   1.2887      1.882e+05   3.0115      0.042281      
9      7.6287       25.089       4.7873        2.8644       6.071e+05    9.7144           8.054e+04   1.2887      1.854e+05   2.9656      0.042281      
10     7.7303       24.358       4.2206        3.1379       6.665e+05    10.664           8.054e+04   1.2887      1.900e+05   3.0404      0.042281      
11     7.8479       24.766       4.7008        2.958        5.923e+05    9.4764           8.054e+04   1.2887      1.884e+05   3.0139      0.042281      
12     8.077        24.119       4.2457        3.3777       6.424e+05    10.279           8.054e+04   1.2887      1.851e+05   2.9623      0.042281      
13     7.9172       24.359       4.4575        2.7945       5.554e+05    8.8871           8.054e+04   1.2887      1.896e+05   3.0337      0.042281      
14     7.7545       24.047       4.3322        3.1088       6.571e+05    10.513           8.054e+04   1.2887      1.898e+05   3.0363      0.042281      
