Performance Recorder: RTAR_1DOP_Detailed_RandPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      10.524       56.568       47.242        15.058       2.941e+06    47.048           3.222e+05   5.1548      7.494e+05   11.991      0.13519       
1      10.525       56.673       43.877        14.955       2.937e+06    46.993           3.222e+05   5.1548      7.473e+05   11.956      0.13519       
2      10.336       53.508       43.705        15.861       2.936e+06    46.978           3.222e+05   5.1548      7.554e+05   12.086      0.13519       
3      10.49        54.609       48.201        14.966       2.939e+06    47.027           3.222e+05   5.1548      7.532e+05   12.051      0.13519       
4      10.424       58.01        43.813        15.324       2.942e+06    47.072           3.222e+05   5.1548      7.482e+05   11.971      0.13519       
5      10.509       54.791       43.424        15.162       2.935e+06    46.961           3.222e+05   5.1548      7.546e+05   12.073      0.13519       
6      10.469       57.99        47.435        15.271       2.937e+06    46.988           3.222e+05   5.1548      7.601e+05   12.162      0.13519       
7      10.7         57.251       44.15         15.808       2.938e+06    47.014           3.222e+05   5.1548      7.430e+05   11.888      0.13519       
8      10.481       56.689       48.607        14.504       2.940e+06    47.037           3.222e+05   5.1548      7.578e+05   12.126      0.13519       
9      10.444       55.677       45.683        15.419       2.938e+06    47.006           3.222e+05   5.1548      7.511e+05   12.018      0.13519       
10     10.339       56.045       45.59         14.921       2.939e+06    47.019           3.222e+05   5.1548      7.665e+05   12.264      0.13519       
11     10.817       55.757       41.88         15.102       2.937e+06    46.991           3.222e+05   5.1548      7.655e+05   12.249      0.13519       
12     10.459       57.938       45.035        14.787       2.938e+06    47.014           3.222e+05   5.1548      7.586e+05   12.137      0.13519       
13     10.3         58.302       44.712        14.584       2.934e+06    46.948           3.222e+05   5.1548      7.597e+05   12.156      0.13519       
14     10.377       54.641       44.192        14.765       2.938e+06    47.006           3.222e+05   5.1548      7.449e+05   11.918      0.13519       
15     10.509       57.954       41.248        14.701       2.935e+06    46.955           3.222e+05   5.155       7.581e+05   12.129      0.13519       
