Performance Recorder: RTAR_1D_Detailed_GPPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      168.86       2784.9       7.3563       9.290e+05    14.864           1.571e+07   251.4           8.117e+04   1.2987      1.892e+05   3.0266      2.9631        
1      168.86       2784.8       7.3183       7.374e+05    11.798           1.504e+07   240.66          7.927e+04   1.2683      1.845e+05   2.9513      2.9631        
2      168.86       2784.8       7.7847       9.432e+05    15.092           1.531e+07   245.02          7.950e+04   1.272       1.883e+05   3.0126      2.9631        
3      168.86       2784.8       7.0156       6.457e+05    10.331           1.559e+07   249.38          8.116e+04   1.2986      1.918e+05   3.0695      2.9631        
4      168.86       2784.9       7.7248       5.571e+05    8.9135           1.567e+07   250.75          8.059e+04   1.2894      1.892e+05   3.0272      2.9631        
5      168.86       2784.8       6.9908       8.918e+05    14.269           1.552e+07   248.28          8.057e+04   1.2891      1.871e+05   2.9929      2.9631        
6      168.86       2784.9       7.3073       8.869e+05    14.19            1.544e+07   247.11          8.118e+04   1.2988      1.896e+05   3.0342      2.9631        
7      168.86       2784.9       6.9682       4.316e+05    6.9055           1.548e+07   247.71          8.100e+04   1.296       1.901e+05   3.0419      2.9631        
8      168.86       2784.9       7.4512       8.743e+05    13.988           1.561e+07   249.72          8.133e+04   1.3013      1.913e+05   3.0611      2.9631        
9      168.86       2784.9       6.6205       6.693e+05    10.708           1.574e+07   251.86          8.026e+04   1.2841      1.880e+05   3.0087      2.9631        
10     168.86       2784.8       7.0184       6.090e+05    9.7445           1.524e+07   243.89          7.932e+04   1.2691      1.829e+05   2.927       2.9631        
11     168.86       2784.9       6.9351       9.334e+05    14.934           1.560e+07   249.55          8.051e+04   1.2882      1.887e+05   3.0193      2.9631        
12     168.86       2784.9       7.1919       8.141e+05    13.025           1.559e+07   249.49          8.067e+04   1.2908      1.892e+05   3.0272      2.9631        
