Performance Recorder: RTAR_1D_Detailed_NoPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      159.87       3332.8       8.2971       2.779e+05    4.4463           1.753e+07   280.46          7.969e+04   1.275       1.861e+05   2.9782      3.5024        
1      159.87       3332.7       7.9102       3.961e+05    6.3371           1.732e+07   277.06          7.878e+04   1.2605      1.832e+05   2.9304      3.5024        
2      159.87       3332.7       7.5304       4.603e+05    7.364            1.783e+07   285.22          8.037e+04   1.2859      1.878e+05   3.0055      3.5024        
3      159.87       3332.8       7.9752       5.228e+05    8.3647           1.795e+07   287.22          8.137e+04   1.3019      1.931e+05   3.0903      3.5024        
4      159.87       3332.7       7.6403       5.572e+05    8.9157           1.746e+07   279.36          7.932e+04   1.2691      1.874e+05   2.9981      3.5024        
5      159.87       3332.8       6.9689       5.921e+05    9.4741           1.773e+07   283.7           7.995e+04   1.2792      1.871e+05   2.9935      3.5024        
6      159.87       3332.7       8.4313       5.863e+05    9.3813           1.785e+07   285.56          8.109e+04   1.2974      1.883e+05   3.0132      3.5024        
7      159.87       3332.8       7.0638       5.724e+05    9.1588           1.809e+07   289.37          8.195e+04   1.3112      1.928e+05   3.0847      3.5024        
8      159.87       3332.7       7.3621       6.224e+05    9.9584           1.778e+07   284.4           8.083e+04   1.2932      1.882e+05   3.0115      3.5024        
9      159.87       3332.7       7.0285       6.071e+05    9.7144           1.759e+07   281.42          7.987e+04   1.278       1.854e+05   2.9656      3.5024        
10     159.87       3332.7       7.1899       6.665e+05    10.664           1.782e+07   285.19          8.081e+04   1.2929      1.900e+05   3.0404      3.5024        
11     159.87       3332.7       6.9422       5.923e+05    9.4764           1.770e+07   283.13          8.069e+04   1.291       1.884e+05   3.0139      3.5024        
12     159.87       3332.7       8.0781       6.424e+05    10.279           1.739e+07   278.23          7.985e+04   1.2776      1.851e+05   2.9623      3.5024        
13     159.87       3332.8       7.0326       5.554e+05    8.8871           1.786e+07   285.8           8.101e+04   1.2961      1.896e+05   3.0337      3.5024        
14     159.87       3332.8       7.3178       6.571e+05    10.513           1.761e+07   281.72          8.042e+04   1.2866      1.898e+05   3.0363      3.5024        
15     159.87       3332.8       6.9303       5.539e+05    8.8624           1.760e+07   281.67          7.995e+04   1.2791      1.878e+05   3.0046      3.5024        
16     159.87       3332.7       7.7952       6.762e+05    10.819           1.759e+07   281.44          7.989e+04   1.2783      1.877e+05   3.0029      3.5024        
17     159.87       3332.7       6.8531       6.096e+05    9.7531           1.734e+07   277.43          7.959e+04   1.2735      1.868e+05   2.9883      3.5024        
18     159.87       3332.7       7.3795       6.844e+05    10.95            1.728e+07   276.46          7.894e+04   1.2631      1.832e+05   2.932       3.5024        
19     159.87       3332.8       6.8729       7.459e+05    11.935           1.756e+07   280.93          8.039e+04   1.2863      1.881e+05   3.0099      3.5024        
20     159.87       3332.7       7.5149       7.435e+05    11.896           1.739e+07   278.25          7.987e+04   1.2779      1.856e+05   2.9692      3.5024        
21     159.87       3332.7       7.7423       7.564e+05    12.103           1.758e+07   281.26          8.066e+04   1.2906      1.883e+05   3.0124      3.5024        
22     159.87       3332.7       7.7008       6.143e+05    9.8288           1.780e+07   284.76          8.020e+04   1.2832      1.896e+05   3.033       3.5024        
23     159.87       3332.7       7.2234       7.280e+05    11.648           1.775e+07   284.06          8.044e+04   1.287       1.900e+05   3.0399      3.5024        
