Performance Recorder: RTAR_1D_Detailed_RandPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      119.35       414.94       20.317       2.941e+06    47.048           4.700e+07   752.05          3.212e+05   5.14        7.494e+05   11.991      0.55948       
1      119.35       414.91       20.656       2.937e+06    46.993           4.700e+07   751.97          3.198e+05   5.1172      7.473e+05   11.956      0.55948       
2      119.35       414.95       20.637       2.936e+06    46.978           4.700e+07   752.02          3.213e+05   5.1403      7.554e+05   12.086      0.55948       
3      119.35       414.92       20.611       2.939e+06    47.027           4.700e+07   752.03          3.219e+05   5.1499      7.532e+05   12.051      0.55948       
4      119.35       414.93       20.441       2.942e+06    47.072           4.700e+07   752             3.215e+05   5.1439      7.482e+05   11.971      0.55948       
5      119.35       414.93       20.935       2.935e+06    46.961           4.700e+07   752.04          3.213e+05   5.1412      7.546e+05   12.073      0.55948       
6      119.35       414.9        20.781       2.937e+06    46.988           4.700e+07   751.98          3.242e+05   5.1864      7.601e+05   12.162      0.55948       
7      119.34       414.95       20.68        2.938e+06    47.014           4.700e+07   752.04          3.203e+05   5.1242      7.430e+05   11.888      0.55948       
8      119.35       414.96       20.56        2.940e+06    47.037           4.700e+07   752.02          3.224e+05   5.1587      7.578e+05   12.126      0.55948       
9      119.35       414.91       20.93        2.938e+06    47.006           4.700e+07   752.01          3.208e+05   5.1321      7.511e+05   12.018      0.55948       
10     119.35       414.93       21.005       2.939e+06    47.019           4.700e+07   752             3.242e+05   5.187       7.665e+05   12.264      0.55948       
11     119.35       414.94       20.608       2.937e+06    46.991           4.700e+07   751.98          3.249e+05   5.1978      7.655e+05   12.249      0.55948       
12     119.35       414.93       20.674       2.938e+06    47.014           4.700e+07   752.02          3.234e+05   5.1749      7.586e+05   12.137      0.55948       
13     119.35       414.95       21.15        2.934e+06    46.948           4.700e+07   752.04          3.240e+05   5.1839      7.597e+05   12.156      0.55948       
14     119.35       414.91       20.322       2.938e+06    47.006           4.700e+07   752.05          3.196e+05   5.1141      7.449e+05   11.918      0.55948       
15     119.35       414.93       20.824       2.935e+06    46.955           4.700e+07   752.02          3.241e+05   5.1862      7.581e+05   12.129      0.55948       
