Performance Recorder: RTAR_2D_Detailed_GPPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      327.2         92.426        25.717       3.6077       6.280e+05    8.027e+04    2.040e+05    0.45235       
1      323.51        95.321        24.557       1.8248       6.740e+05    8.046e+04    1.874e+05    0.45235       
2      324.31        87.558        24.322       1.733        6.111e+05    8.041e+04    1.868e+05    0.45235       
3      324.22        94.733        24.529       1.8544       6.597e+05    8.148e+04    1.861e+05    0.45235       
4      328.14        83.494        24.562       1.7309       7.925e+05    7.923e+04    1.877e+05    0.45235       
5      317.45        94.603        24.627       1.6592       7.973e+05    8.156e+04    1.873e+05    0.45235       
6      323.45        88.709        24.511       1.8108       7.906e+05    7.980e+04    1.844e+05    0.45235       
7      329.1         90.622        24.814       2.1161       9.223e+05    8.114e+04    1.868e+05    0.45235       
8      318.61        102.66        23.752       2.5034       6.306e+05    8.038e+04    1.874e+05    0.45235       
9      317.17        98.878        27.711       2.2099       6.943e+05    8.139e+04    2.055e+05    0.45235       
10     317.9         94.192        24.13        1.7836       6.153e+05    8.065e+04    1.875e+05    0.45235       
11     319.3         99.972        24.207       1.884        6.717e+05    8.058e+04    1.863e+05    0.45235       
12     316.48        95.114        24.634       1.7089       8.198e+05    7.986e+04    1.885e+05    0.45235       
13     318.88        93.182        24.367       1.6343       7.954e+05    8.194e+04    1.875e+05    0.45235       
14     318.27        94.154        24.309       1.8523       7.841e+05    7.961e+04    1.856e+05    0.45235       
15     318.43        101.59        24.362       2.0895       8.995e+05    7.994e+04    1.868e+05    0.45235       
16     373           48.849        23.174       2.6027       6.295e+05    8.039e+04    1.868e+05    0.45235       
17     372.36        46.7          24.43        1.8025       6.868e+05    8.100e+04    1.875e+05    0.45235       
18     367.79        41.822        26.967       2.0672       6.122e+05    8.025e+04    2.030e+05    0.45235       
19     371.36        47.964        24.191       1.8489       6.783e+05    8.035e+04    1.855e+05    0.45235       
20     370.04        41.667        24.584       1.7668       7.956e+05    8.042e+04    1.887e+05    0.45235       
21     370.87        41.166        24.659       1.6964       8.022e+05    8.057e+04    1.862e+05    0.45235       
22     369.47        42.815        24.437       1.8287       7.834e+05    7.997e+04    1.844e+05    0.45235       
23     370.45        49.622        24.367       2.1282       8.786e+05    8.141e+04    1.862e+05    0.45235       
24     367.64        53.852        23.702       2.9322       6.415e+05    7.946e+04    1.861e+05    0.45235       
25     367.19        51.948        24.375       1.815        6.815e+05    8.083e+04    1.863e+05    0.45235       
26     365.45        46.276        24.566       1.6876       6.117e+05    8.108e+04    1.855e+05    0.45235       
27     362.07        54.89         26.825       2.2924       6.639e+05    7.988e+04    2.023e+05    0.45235       
28     365.33        46.399        24.552       1.8099       7.830e+05    8.085e+04    1.867e+05    0.45235       
29     366.03        45.788        24.619       1.6615       7.929e+05    7.995e+04    1.860e+05    0.45235       
30     364.72        47.529        24.514       1.825        7.830e+05    8.102e+04    1.835e+05    0.45235       
31     364.92        55.025        24.513       2.1001       8.762e+05    8.127e+04    1.850e+05    0.45235       
32     351.2         70.464        23.497       3.1752       6.148e+05    8.070e+04    1.877e+05    0.45235       
33     350.87        68.077        24.535       1.8206       6.778e+05    8.197e+04    1.885e+05    0.45235       
34     350.01        61.74         24.523       1.7625       6.138e+05    8.048e+04    1.887e+05    0.45235       
35     347.88        71.49         24.113       1.8374       6.760e+05    7.987e+04    1.867e+05    0.45235       
36     347.03        62.794        27.214       2.1877       8.009e+05    8.121e+04    2.053e+05    0.45235       
37     350.22        61.936        24.502       1.6429       8.145e+05    8.106e+04    1.891e+05    0.45235       
38     349.06        63.257        24.397       1.8355       8.085e+05    7.963e+04    1.863e+05    0.45235       
39     348.49        71.718        24.431       2.2168       9.229e+05    7.944e+04    1.876e+05    0.45235       
40     381.44        40.223        23.598       3.1231       6.432e+05    8.031e+04    1.873e+05    0.45235       
41     381.31        37.575        24.656       1.8307       7.000e+05    8.000e+04    1.875e+05    0.45235       
42     363           48.869        24.011       1.5703       6.170e+05    8.073e+04    1.862e+05    0.45235       
43     380.21        39.092        24.21        1.8678       6.709e+05    8.005e+04    1.860e+05    0.45235       
44     363.74        48.492        24.522       1.8096       7.973e+05    8.159e+04    1.891e+05    0.45235       
45     355.79        53.738        27.154       1.9312       7.876e+05    8.048e+04    2.061e+05    0.45235       
46     363.7         48.711        24.37        1.8345       7.785e+05    8.104e+04    1.853e+05    0.45235       
47     380.16        39.991        24.431       2.2868       9.034e+05    8.016e+04    1.871e+05    0.45235       
48     371.53        50.575        23.487       3.0458       6.174e+05    8.105e+04    1.844e+05    0.45235       
49     370.82        48.52         24.658       1.948        6.719e+05    8.036e+04    1.856e+05    0.45235       
50     370.64        41.268        24.374       1.7725       6.071e+05    8.008e+04    1.844e+05    0.45235       
51     369.67        49.778        24.102       1.7282       6.722e+05    8.046e+04    1.835e+05    0.45235       
52     369.86        41.951        24.492       1.7769       7.790e+05    8.177e+04    1.863e+05    0.45235       
53     369.62        42.659        24.369       1.6053       8.059e+05    7.963e+04    1.853e+05    0.45235       
54     366.75        43.104        27.188       2.2017       7.855e+05    8.069e+04    2.002e+05    0.45235       
55     368.74        51.387        24.307       1.9311       8.886e+05    8.031e+04    1.849e+05    0.45235       
56     357.55        64.621        23.312       2.8179       6.322e+05    8.210e+04    1.868e+05    0.45235       
57     356.53        62.859        24.648       1.9897       6.781e+05    8.102e+04    1.868e+05    0.45235       
58     355.27        56.676        24.381       1.7655       6.238e+05    7.901e+04    1.862e+05    0.45235       
59     356.5         62.791        24.255       1.7577       6.825e+05    7.920e+04    1.850e+05    0.45235       
60     355.1         56.811        24.399       1.8061       7.776e+05    8.162e+04    1.876e+05    0.45235       
61     355.68        56.272        24.481       1.6299       7.987e+05    8.146e+04    1.871e+05    0.45235       
62     354.12        58.045        24.615       1.6867       7.794e+05    8.079e+04    1.849e+05    0.45235       
63     352.29        65.298        27.148       2.5781       8.843e+05    7.917e+04    2.031e+05    0.45235       
