Performance Recorder: RTAR_2D_Detailed_NoPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      421.4         5.7976        37.084       5.5325       2.215e+06    3.225e+05    7.813e+05    0.47368       
1      424.15        5.1145        33.41        5.1935       2.906e+06    3.220e+05    7.439e+05    0.47368       
2      424.33        5.1276        33.046       5.2934       3.094e+06    3.217e+05    7.437e+05    0.47368       
3      424.99        4.8611        33.311       5.205        3.550e+06    3.226e+05    7.482e+05    0.47368       
4      225.46        203.83        34.306       5.8535       2.214e+06    3.233e+05    7.439e+05    0.47368       
5      224.34        203.74        35.168       5.6146       2.888e+06    3.220e+05    7.751e+05    0.47368       
6      224.82        204.3         33.419       4.9667       3.063e+06    3.225e+05    7.414e+05    0.47368       
7      227.09        203.61        33.001       5.2134       3.559e+06    3.208e+05    7.455e+05    0.47368       
8      201.82        227.25        34.306       5.1624       2.211e+06    3.244e+05    7.437e+05    0.47368       
9      202.29        227.58        32.763       5.1512       2.895e+06    3.223e+05    7.414e+05    0.47368       
10     200.75        227.16        35.378       6.0645       3.037e+06    3.200e+05    7.772e+05    0.47368       
11     203.67        226.7         33.143       5.4537       3.578e+06    3.220e+05    7.466e+05    0.47368       
12     363.92        65.113        34.719       5.282        2.219e+06    3.214e+05    7.482e+05    0.47368       
13     365.12        64.686        32.725       5.2664       2.884e+06    3.206e+05    7.455e+05    0.47368       
14     364.83        64.736        32.908       5.4943       3.068e+06    3.224e+05    7.466e+05    0.47368       
15     363.76        64.681        35.872       5.5471       3.616e+06    3.244e+05    7.866e+05    0.47368       
