Performance Recorder: RTAR_2D_Detailed_RandPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      253.03        125.32        30.053       7.8246       7.341e+05    8.055e+04    2.041e+05    0.41777       
1      254.88        125.95        26.309       4.8616       7.332e+05    8.075e+04    1.868e+05    0.41777       
2      256.14        125.84        24.999       4.013        7.336e+05    8.084e+04    1.859e+05    0.41777       
3      256.33        124.65        26.285       4.5166       7.333e+05    8.071e+04    1.879e+05    0.41777       
4      253.94        126.34        26.497       3.82         7.325e+05    8.025e+04    1.857e+05    0.41777       
5      254.47        126.58        25.9         4.0489       7.329e+05    8.054e+04    1.862e+05    0.41777       
6      253.96        125.31        27.715       4.1608       7.320e+05    8.078e+04    1.860e+05    0.41777       
7      255.87        125.33        25.901       4.5705       7.340e+05    7.994e+04    1.849e+05    0.41777       
8      327.41        52.792        27.772       6.673        7.388e+05    8.055e+04    1.868e+05    0.41777       
9      324.85        53.819        28.839       5.3243       7.384e+05    8.048e+04    2.045e+05    0.41777       
10     325.82        54.721        26.487       4.1035       7.383e+05    8.086e+04    1.864e+05    0.41777       
11     327.97        52.188        27.075       4.4932       7.398e+05    8.104e+04    1.890e+05    0.41777       
12     326.42        54.719        25.502       3.7539       7.375e+05    8.030e+04    1.852e+05    0.41777       
13     326.6         53.916        26.547       4.2529       7.388e+05    8.059e+04    1.872e+05    0.41777       
14     326.36        52.793        27.838       4.3101       7.382e+05    8.046e+04    1.880e+05    0.41777       
15     328.78        52.776        25.123       4.2028       7.380e+05    8.008e+04    1.867e+05    0.41777       
16     286.54        92.544        29.303       7.1216       7.341e+05    8.072e+04    1.859e+05    0.41777       
17     288.54        92.631        26.029       4.178        7.337e+05    8.090e+04    1.864e+05    0.41777       
18     285.12        92.971        29.185       5.2009       7.333e+05    8.056e+04    2.022e+05    0.41777       
19     287.68        92.202        27.36        4.5462       7.330e+05    8.092e+04    1.873e+05    0.41777       
20     286.51        93.052        27.161       3.6659       7.325e+05    8.042e+04    1.854e+05    0.41777       
21     287.39        92.761        26.99        4.2743       7.332e+05    8.046e+04    1.872e+05    0.41777       
22     287.59        93.04         26.255       4.207        7.331e+05    8.036e+04    1.871e+05    0.41777       
23     289.6         92.181        25.308       4.2365       7.338e+05    8.001e+04    1.846e+05    0.41777       
24     255.45        124.37        28.326       6.5438       7.405e+05    8.027e+04    1.879e+05    0.41777       
25     257           124.46        25.741       4.3009       7.401e+05    8.067e+04    1.890e+05    0.41777       
26     254.7         125.15        27.167       4.1186       7.384e+05    8.057e+04    1.873e+05    0.41777       
27     254.89        123.78        28.811       5.4596       7.407e+05    8.074e+04    2.054e+05    0.41777       
28     254.98        125.3         26.437       3.7436       7.384e+05    8.004e+04    1.865e+05    0.41777       
29     255.67        124.42        27.06        4.2757       7.381e+05    8.088e+04    1.879e+05    0.41777       
30     256.39        124.88        25.645       4.1273       7.399e+05    8.081e+04    1.890e+05    0.41777       
31     257.77        123.83        25.375       4.3154       7.404e+05    8.038e+04    1.864e+05    0.41777       
32     283.39        96.441        28.437       7.2867       7.294e+05    8.069e+04    1.857e+05    0.41777       
33     282.34        96.839        28.086       4.1799       7.291e+05    8.072e+04    1.852e+05    0.41777       
34     282.98        97.738        26.234       4.0546       7.281e+05    8.064e+04    1.854e+05    0.41777       
35     284.01        95.927        27.351       4.4157       7.288e+05    8.048e+04    1.865e+05    0.41777       
36     281.86        96.777        28.393       4.6479       7.262e+05    7.991e+04    2.012e+05    0.41777       
37     283.73        97.002        26.411       3.9991       7.282e+05    8.045e+04    1.856e+05    0.41777       
38     285.28        95.633        26.03        4.1846       7.295e+05    8.118e+04    1.862e+05    0.41777       
39     285.33        96.043        25.729       4.2662       7.271e+05    8.029e+04    1.833e+05    0.41777       
40     258.46        120.73        29.057       6.975        7.331e+05    8.054e+04    1.862e+05    0.41777       
41     258.5         120.61        28.177       4.1757       7.351e+05    8.092e+04    1.872e+05    0.41777       
42     257.24        122.54        27.203       4.2171       7.342e+05    8.047e+04    1.872e+05    0.41777       
43     260.2         119.76        27.306       4.3197       7.359e+05    8.078e+04    1.879e+05    0.41777       
44     256.73        122.49        27.322       3.5721       7.346e+05    8.014e+04    1.856e+05    0.41777       
45     257.08        121.15        29.278       5.3717       7.354e+05    8.115e+04    2.043e+05    0.41777       
46     259.51        121.52        25.914       4.1518       7.357e+05    8.036e+04    1.868e+05    0.41777       
47     260.96        120.03        25.832       4.1168       7.359e+05    7.999e+04    1.851e+05    0.41777       
48     252.28        127.4         28.367       6.5018       7.379e+05    8.055e+04    1.860e+05    0.41777       
49     252.06        128.63        27.13        4.7226       7.374e+05    8.060e+04    1.880e+05    0.41777       
50     252.98        128.34        25.78        4.1797       7.360e+05    8.014e+04    1.871e+05    0.41777       
51     255.71        126.68        24.622       4.1268       7.383e+05    8.124e+04    1.890e+05    0.41777       
52     250.84        128.18        27.824       3.9056       7.370e+05    8.028e+04    1.862e+05    0.41777       
53     253.79        127.17        26.12        4.1691       7.363e+05    8.046e+04    1.868e+05    0.41777       
54     250           128.26        28.998       5.078        7.371e+05    8.090e+04    2.044e+05    0.41777       
55     254.37        126.85        25.57        4.4784       7.390e+05    8.020e+04    1.855e+05    0.41777       
56     217.28        162.2         28.609       5.9843       7.306e+05    8.065e+04    1.849e+05    0.41777       
57     218.04        163.54        26.194       4.7702       7.295e+05    8.073e+04    1.867e+05    0.41777       
58     217.06        163.94        25.931       4.206        7.281e+05    8.063e+04    1.846e+05    0.41777       
59     219.9         161.62        25.541       4.11         7.295e+05    8.048e+04    1.864e+05    0.41777       
60     215.67        164.84        26.339       3.9392       7.293e+05    8.006e+04    1.833e+05    0.41777       
61     219.92        162.42        24.54        4.0394       7.284e+05    8.126e+04    1.851e+05    0.41777       
62     214.4         164.64        28.011       4.1994       7.297e+05    8.097e+04    1.855e+05    0.41777       
63     218.38        161.59        26.955       4.7647       7.280e+05    7.959e+04    2.010e+05    0.41777       
