Performance Recorder: RTA_2D_Detailed_GPPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      754.39        283.81        67.986       5.4206       8.027e+04    1.004e+07    6.280e+05    1.2368        
1      742.54        294.08        69.961       5.5695       8.038e+04    1.288e+05    6.740e+05    1.2368        
2      760.42        284.66        56.655       4.9707       8.039e+04    8.323e+04    6.111e+05    1.2368        
3      635.9         402.91        63.5         4.9708       7.946e+04    9.057e+04    6.597e+05    1.2368        
4      740.79        288.36        76.171       7.1429       8.070e+04    1.248e+05    7.925e+05    1.2368        
5      724.69        307.35        73.507       5.8889       8.031e+04    1.102e+05    7.973e+05    1.2368        
6      611.7         421.25        74.409       7.4615       8.105e+04    6.406e+04    7.906e+05    1.2368        
7      827.18        306.81        81.484       6.2701       8.210e+04    1.481e+05    9.223e+05    1.2368        
8      754.08        284.43        67.827       6.0996       8.046e+04    1.288e+05    6.306e+05    1.2368        
9      741.87        294.74        69.957       5.7267       8.139e+04    1.069e+07    6.943e+05    1.2368        
10     759.66        285.59        56.505       4.8474       8.100e+04    1.892e+05    6.153e+05    1.2368        
11     635.54        403.53        63.208       5.2944       8.083e+04    9.873e+04    6.717e+05    1.2368        
12     742.63        288.84        74.109       7.863        8.197e+04    1.038e+05    8.198e+05    1.2368        
13     725.37        308.03        72.151       6.0601       8.000e+04    1.485e+05    7.954e+05    1.2368        
14     608.92        421.84        76.659       8.2011       8.036e+04    8.946e+04    7.841e+05    1.2368        
15     826.09        307.46        82.293       6.5191       8.102e+04    2.137e+05    8.995e+05    1.2368        
16     510.8         527.84        66.468       5.1996       8.041e+04    8.323e+04    6.295e+05    1.2368        
17     496.02        542.33        67.501       5.4473       8.065e+04    1.892e+05    6.868e+05    1.2368        
18     514.9         528.96        57.867       4.7019       8.025e+04    9.732e+06    6.122e+05    1.2368        
19     496.28        543.39        62.06        5.0309       8.108e+04    2.295e+05    6.783e+05    1.2368        
20     495.97        534.81        74.556       6.7131       8.048e+04    1.123e+05    7.956e+05    1.2368        
21     480.95        553.1         71.973       6.0467       8.073e+04    1.099e+05    8.022e+05    1.2368        
22     490.82        543.65        78.629       7.1991       8.008e+04    5.099e+04    7.834e+05    1.2368        
23     578.56        559.94        80.96        5.7763       7.901e+04    1.046e+04    8.786e+05    1.2368        
24     510.07        527.27        67.63        5.2982       8.148e+04    9.057e+04    6.415e+05    1.2368        
25     494.44        541.8         69.678       5.3771       8.058e+04    9.873e+04    6.815e+05    1.2368        
26     516.65        528.52        56.567       4.6202       8.035e+04    2.295e+05    6.117e+05    1.2368        
27     497.34        542.88        61.482       4.8688       7.988e+04    1.048e+07    6.639e+05    1.2368        
28     498.31        534.22        72.803       6.5426       7.987e+04    2.090e+05    7.830e+05    1.2368        
29     481.37        552.49        72.138       6.2353       8.005e+04    2.058e+05    7.929e+05    1.2368        
30     492.38        543.07        78.338       7.1632       8.046e+04    9.961e+04    7.830e+05    1.2368        
31     579.26        559.35        81.323       5.81         7.920e+04    1.049e+04    8.762e+05    1.2368        
32     572.9         464.82        67.018       5.1934       7.923e+04    1.248e+05    6.148e+05    1.2368        
33     626.85        409.47        69.231       5.2516       7.986e+04    1.038e+05    6.778e+05    1.2368        
34     655.22        389.15        57.368       4.8389       8.042e+04    1.123e+05    6.138e+05    1.2368        
35     631.64        407.71        62.772       5.2444       8.085e+04    2.090e+05    6.760e+05    1.2368        
36     568.05        464.33        72.952       6.9501       8.121e+04    1.185e+07    8.009e+05    1.2368        
37     618.95        413.89        72.978       5.9029       8.159e+04    3.233e+05    8.145e+05    1.2368        
38     623.2         408.71        79.824       8.1641       8.177e+04    2.961e+05    8.085e+05    1.2368        
39     708.13        429.79        86.165       6.3408       8.162e+04    1.999e+05    9.229e+05    1.2368        
40     570.98        467.2         66.651       4.9938       8.156e+04    1.102e+05    6.432e+05    1.2368        
41     622.98        411.82        70.803       5.6425       8.194e+04    1.485e+05    7.000e+05    1.2368        
42     654.53        391.75        55.494       4.8176       8.057e+04    1.099e+05    6.170e+05    1.2368        
43     628.92        410.01        63.155       5.2766       7.995e+04    2.058e+05    6.709e+05    1.2368        
44     564.88        466.82        73.456       6.6795       8.106e+04    3.233e+05    7.973e+05    1.2368        
45     617.88        416.25        72.244       6.395        8.048e+04    1.206e+07    7.876e+05    1.2368        
46     621.7         411.01        78.797       7.5121       7.963e+04    2.049e+05    7.785e+05    1.2368        
47     705.85        432.27        82.466       6.5681       8.146e+04    2.095e+05    9.034e+05    1.2368        
48     750.25        286.93        68.083       5.3207       7.980e+04    6.406e+04    6.174e+05    1.2368        
49     855.22        182.31        67.96        5.4879       7.961e+04    8.946e+04    6.719e+05    1.2368        
50     874.22        171.17        56.346       4.7918       7.997e+04    5.099e+04    6.071e+05    1.2368        
51     807.36        233.17        61.581       5.2875       8.102e+04    9.961e+04    6.722e+05    1.2368        
52     736.52        295.75        72.947       6.1966       7.963e+04    2.961e+05    7.790e+05    1.2368        
53     843.34        190.18        72.545       6.7266       8.104e+04    2.049e+05    8.059e+05    1.2368        
54     785.3         250.46        75.53        7.224        8.069e+04    1.207e+07    7.855e+05    1.2368        
55     941.66        192.61        80.683       6.0099       8.079e+04    3.519e+05    8.886e+05    1.2368        
56     755.11        283.09        67.034       5.2263       8.114e+04    1.481e+05    6.322e+05    1.2368        
57     858.5         178.57        68.446       5.6171       7.994e+04    2.137e+05    6.781e+05    1.2368        
58     878.6         167.33        55.815       4.6761       8.141e+04    1.046e+04    6.238e+05    1.2368        
59     806.47        229.37        66.245       5.3812       8.127e+04    1.049e+04    6.825e+05    1.2368        
60     741.87        292.03        71.351       6.9256       7.944e+04    1.999e+05    7.776e+05    1.2368        
61     847.15        186.33        72.45        6.3475       8.016e+04    2.095e+05    7.987e+05    1.2368        
62     785.6         246.66        79.075       7.5782       8.031e+04    3.519e+05    7.794e+05    1.2368        
63     945.66        188.74        82.332       6.3755       7.917e+04    1.385e+07    8.843e+05    1.2368        
