Performance Recorder: RTA_2D_Detailed_NoPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      297.73        103.31        121.25       14.744       3.225e+05    1.740e+07    2.215e+06    0.79818       
1      261.25        110.36        155.88       22.816       3.233e+05    1.715e+06    2.906e+06    0.79818       
2      264.74        108.27        170.37       21.837       3.244e+05    1.784e+05    3.094e+06    0.79818       
3      491.83        54.842        188.24       18.912       3.214e+05    0.000e+00    3.550e+06    0.79818       
4      290.72        102.84        126.36       15.464       3.220e+05    1.715e+06    2.214e+06    0.79818       
5      247.75        122.88        156.35       21.401       3.220e+05    2.079e+07    2.888e+06    0.79818       
6      254.47        150.26        165.23       21.547       3.223e+05    1.726e+06    3.063e+06    0.79818       
7      471.64        89.733        197.69       18.349       3.206e+05    1.725e+05    3.559e+06    0.79818       
8      262.09        127.75        123.03       15.221       3.217e+05    1.784e+05    2.211e+06    0.79818       
9      257.15        114.91        155.21       21.197       3.225e+05    1.726e+06    2.895e+06    0.79818       
10     261.77        140.93        167.56       22.158       3.200e+05    2.235e+07    3.037e+06    0.79818       
11     458.75        102.42        185.72       18.732       3.224e+05    1.440e+06    3.578e+06    0.79818       
12     282.96        107.09        121.92       14.718       3.226e+05    0.000e+00    2.219e+06    0.79818       
13     254.2         114.99        158.53       21.215       3.208e+05    1.725e+05    2.884e+06    0.79818       
14     275.81        112.46        173.01       22.113       3.220e+05    1.440e+06    3.068e+06    0.79818       
15     484.37        67.42         190.49       18.902       3.244e+05    2.820e+07    3.616e+06    0.79818       
