Performance Recorder: RTA_2D_Detailed_RandPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      19.963        147.32        213.72       28.644       3.201e+05    7.171e+06    2.920e+06    0.44948       
1      36.66         138.84        210.05       28.742       3.215e+05    5.875e+06    2.924e+06    0.44948       
2      32.129        138.86        204          29.871       3.218e+05    5.879e+06    2.923e+06    0.44948       
3      42.521        146.77        207.58       28.82        3.209e+05    5.876e+06    2.921e+06    0.44948       
4      26.824        146.49        210.27       28.98        3.214e+05    5.875e+06    2.929e+06    0.44948       
5      39.73         138.37        210.62       29.407       3.221e+05    7.164e+06    2.929e+06    0.44948       
6      31.784        138.53        209.08       29.567       3.222e+05    5.883e+06    2.927e+06    0.44948       
7      40.116        146.8         214.46       29.698       3.217e+05    5.878e+06    2.928e+06    0.44948       
8      26.917        147.66        208.52       29.85        3.236e+05    5.879e+06    2.960e+06    0.44948       
9      37.225        138.92        213.41       29.084       3.230e+05    5.883e+06    2.958e+06    0.44948       
10     32.033        139.01        207.61       29.161       3.223e+05    7.167e+06    2.961e+06    0.44948       
11     43.407        147.25        210.7        28.841       3.234e+05    5.875e+06    2.958e+06    0.44948       
12     26.738        147.91        206.18       28.883       3.236e+05    5.876e+06    2.944e+06    0.44948       
13     40.105        139.4         205.55       31.546       3.221e+05    5.878e+06    2.941e+06    0.44948       
14     26.712        139.37        212.18       28.897       3.225e+05    5.875e+06    2.941e+06    0.44948       
15     39.511        146.65        212.77       28.699       3.228e+05    7.166e+06    2.938e+06    0.44948       
