Performance Recorder: AA_1D_Detailed_GPPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      97.767       654.83       450.6        7.509e+06    120.14           2.111e+07   337.71          7.509e+06   120.14      5.980e+07   956.86      1.6157        
1      97.765       654.79       454.86       7.422e+06    118.76           2.379e+07   380.56          7.422e+06   118.76      6.034e+07   965.38      1.6157        
2      97.764       654.8        500.19       5.172e+06    82.754           1.980e+07   316.79          5.172e+06   82.754      5.512e+07   881.93      1.6157        
3      97.765       654.8        477.23       7.114e+06    113.83           2.759e+07   441.36          7.114e+06   113.83      6.031e+07   964.9       1.6157        
4      97.768       654.8        461.56       7.473e+06    119.56           2.483e+07   397.36          7.473e+06   119.56      6.130e+07   980.77      1.6157        
5      97.767       654.79       488.97       7.456e+06    119.3            1.993e+07   318.91          7.456e+06   119.3       6.092e+07   974.65      1.6157        
6      97.767       654.8        468.64       6.579e+06    105.27           3.117e+07   498.79          6.579e+06   105.27      6.072e+07   971.52      1.6157        
7      97.767       654.83       425.72       5.810e+06    92.962           2.517e+07   402.66          5.810e+06   92.962      6.069e+07   971.07      1.6157        
8      97.769       654.81       444.67       6.951e+06    111.21           2.929e+07   468.59          6.951e+06   111.21      6.164e+07   986.26      1.6157        
9      97.767       654.78       437.43       6.301e+06    100.82           2.571e+07   411.34          6.301e+06   100.82      5.198e+07   831.71      1.6157        
10     97.767       654.81       454.23       5.980e+06    95.686           2.426e+07   388.11          5.980e+06   95.686      6.079e+07   972.69      1.6157        
11     97.766       654.83       277.48       4.279e+06    68.456           2.096e+07   335.31          4.279e+06   68.456      4.020e+07   643.17      1.6157        
12     97.767       654.8        499.14       5.223e+06    83.576           2.479e+07   396.6           5.223e+06   83.576      5.561e+07   889.76      1.6157        
13     97.765       654.8        515.99       5.725e+06    91.593           2.374e+07   379.77          5.725e+06   91.593      6.043e+07   966.84      1.6157        
14     97.766       654.79       502.48       5.632e+06    90.112           2.319e+07   371.08          5.632e+06   90.112      6.049e+07   967.78      1.6157        
15     97.765       654.83       508.71       4.573e+06    73.164           1.462e+07   233.98          4.573e+06   73.164      5.869e+07   939.1       1.6157        
