Performance Recorder: AA_1D_Detailed_NoPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      42.206       222.42       287.66       2.578e+06    41.244           2.430e+07   388.86          2.578e+06   41.244      1.539e+07   246.17      0.67234       
1      42.186       222.4        294.39       2.598e+06    41.576           2.547e+07   407.58          2.598e+06   41.576      1.570e+07   251.16      0.67234       
2      42.206       222.4        297.5        2.599e+06    41.581           2.596e+07   415.42          2.599e+06   41.581      1.568e+07   250.95      0.67234       
3      42.196       222.4        281.75       2.406e+06    38.492           2.252e+07   360.33          2.406e+06   38.492      1.464e+07   234.28      0.67234       
4      42.204       222.36       148.95       1.501e+06    24.017           6.990e+06   111.85          1.501e+06   24.017      1.097e+07   175.55      0.67234       
5      42.19        222.37       159.06       1.541e+06    24.66            8.005e+06   128.08          1.541e+06   24.66       1.151e+07   184.19      0.67234       
6      42.205       222.39       156.87       1.538e+06    24.601           7.212e+06   115.4           1.538e+06   24.601      1.149e+07   183.78      0.67234       
7      42.19        222.38       157.11       1.518e+06    24.289           6.922e+06   110.76          1.518e+06   24.289      1.129e+07   180.71      0.67234       
8      42.206       222.38       155.73       1.505e+06    24.077           7.220e+06   115.52          1.505e+06   24.077      1.105e+07   176.74      0.67234       
9      42.188       222.37       153.49       1.529e+06    24.457           7.155e+06   114.48          1.529e+06   24.457      1.137e+07   181.87      0.67234       
10     42.205       222.38       161.54       1.533e+06    24.524           7.655e+06   122.49          1.533e+06   24.524      1.158e+07   185.36      0.67234       
11     42.193       222.39       157.59       1.554e+06    24.862           7.769e+06   124.3           1.554e+06   24.862      1.173e+07   187.74      0.67234       
12     42.195       222.4        152.96       1.523e+06    24.376           7.626e+06   122.02          1.523e+06   24.376      1.134e+07   181.47      0.67234       
13     42.192       222.4        158.18       1.554e+06    24.868           7.174e+06   114.78          1.554e+06   24.868      1.177e+07   188.38      0.67234       
14     42.199       222.39       160.95       1.520e+06    24.313           7.369e+06   117.91          1.520e+06   24.313      1.133e+07   181.35      0.67234       
15     42.188       222.44       153.96       1.536e+06    24.575           7.631e+06   122.1           1.536e+06   24.575      1.140e+07   182.48      0.67234       
16     42.2         222.37       155.32       1.525e+06    24.394           7.314e+06   117.03          1.525e+06   24.394      1.134e+07   181.42      0.67234       
17     42.201       222.38       158.31       1.505e+06    24.082           7.528e+06   120.45          1.505e+06   24.082      1.111e+07   177.7       0.67234       
18     42.2         222.38       151.03       1.539e+06    24.619           8.397e+06   134.34          1.539e+06   24.619      1.156e+07   185.01      0.67234       
19     42.199       222.39       160.04       1.550e+06    24.798           8.123e+06   129.97          1.550e+06   24.798      1.162e+07   185.97      0.67234       
20     42.2         222.36       156.07       1.555e+06    24.886           7.381e+06   118.09          1.555e+06   24.886      1.168e+07   186.86      0.67234       
21     42.199       222.38       144.34       1.333e+06    21.335           5.574e+06   89.184          1.333e+06   21.335      9.785e+06   156.56      0.67234       
22     42.2         222.37       105.83       1.182e+06    18.906           3.957e+06   63.304          1.182e+06   18.906      9.314e+06   149.03      0.67234       
23     42.199       222.38       116.17       1.230e+06    19.675           5.053e+06   80.852          1.230e+06   19.675      1.000e+07   160.02      0.67234       
24     42.2         222.38       120.22       1.250e+06    20.005           5.279e+06   84.459          1.250e+06   20.005      1.026e+07   164.14      0.67234       
25     42.2         222.41       126.12       1.239e+06    19.826           5.142e+06   82.265          1.239e+06   19.826      1.012e+07   161.9       0.67234       
26     42.202       222.39       126.55       1.243e+06    19.884           4.760e+06   76.153          1.243e+06   19.884      1.019e+07   163.01      0.67234       
27     42.201       222.41       121.38       1.239e+06    19.827           4.275e+06   68.398          1.239e+06   19.827      1.011e+07   161.78      0.67234       
28     42.196       222.4        120.7        1.225e+06    19.604           3.706e+06   59.295          1.225e+06   19.604      1.000e+07   160.06      0.67234       
29     42.194       222.39       124.75       1.249e+06    19.981           3.636e+06   58.174          1.249e+06   19.981      1.037e+07   165.89      0.67234       
30     42.197       222.42       125.56       1.202e+06    19.236           3.900e+06   62.396          1.202e+06   19.236      9.746e+06   155.93      0.67234       
31     42.195       222.4        122.53       1.215e+06    19.445           4.053e+06   64.843          1.215e+06   19.445      9.767e+06   156.27      0.67234       
32     42.2         222.42       121.88       1.203e+06    19.24            4.407e+06   70.509          1.203e+06   19.24       9.724e+06   155.58      0.67234       
33     42.202       222.4        119.18       1.202e+06    19.229           4.342e+06   69.467          1.202e+06   19.229      9.578e+06   153.25      0.67234       
34     42.199       222.37       124.81       1.214e+06    19.431           4.378e+06   70.051          1.214e+06   19.431      9.728e+06   155.64      0.67234       
35     42.2         222.36       123.38       1.240e+06    19.845           4.396e+06   70.33           1.240e+06   19.845      1.016e+07   162.61      0.67234       
36     42.199       222.39       124.43       1.249e+06    19.99            4.246e+06   67.929          1.249e+06   19.99       1.050e+07   167.98      0.67234       
37     42.2         222.41       131.19       1.229e+06    19.668           4.405e+06   70.484          1.229e+06   19.668      1.018e+07   162.84      0.67234       
38     42.199       222.37       125.83       1.228e+06    19.651           4.781e+06   76.492          1.228e+06   19.651      1.010e+07   161.58      0.67234       
39     42.199       222.4        125.84       1.248e+06    19.973           5.133e+06   82.122          1.248e+06   19.973      1.031e+07   165.04      0.67234       
40     42.201       222.39       125.54       1.257e+06    20.113           5.090e+06   81.432          1.257e+06   20.113      1.044e+07   167.08      0.67234       
41     42.2         222.37       122.95       1.251e+06    20.02            4.673e+06   74.76           1.251e+06   20.02       1.032e+07   165.13      0.67234       
42     42.201       222.37       126.58       1.201e+06    19.21            4.333e+06   69.321          1.201e+06   19.21       9.646e+06   154.34      0.67234       
43     42.201       222.39       124.55       1.223e+06    19.564           4.304e+06   68.862          1.223e+06   19.564      9.974e+06   159.59      0.67234       
44     42.189       222.38       133.96       1.264e+06    20.219           4.482e+06   71.719          1.264e+06   20.219      1.055e+07   168.8       0.67234       
45     42.19        222.44       125.04       1.249e+06    19.976           4.166e+06   66.657          1.249e+06   19.976      1.038e+07   166.15      0.67234       
46     42.19        222.38       127.15       1.212e+06    19.399           4.296e+06   68.73           1.212e+06   19.399      9.897e+06   158.36      0.67234       
47     42.191       222.38       122.47       1.223e+06    19.572           4.614e+06   73.828          1.223e+06   19.572      9.978e+06   159.65      0.67234       
48     42.202       222.38       125.04       1.256e+06    20.097           4.905e+06   78.474          1.256e+06   20.097      1.037e+07   165.91      0.67234       
49     42.201       222.38       126.01       1.228e+06    19.655           4.687e+06   74.998          1.228e+06   19.655      9.964e+06   159.42      0.67234       
50     42.2         222.36       123.75       1.230e+06    19.672           4.546e+06   72.731          1.230e+06   19.672      9.968e+06   159.49      0.67234       
51     42.2         222.4        128.08       1.223e+06    19.566           4.141e+06   66.25           1.223e+06   19.566      9.938e+06   159.01      0.67234       
52     42.199       222.38       131.43       1.246e+06    19.935           4.015e+06   64.233          1.246e+06   19.935      1.024e+07   163.87      0.67234       
53     42.201       222.39       127.67       1.216e+06    19.464           4.030e+06   64.474          1.216e+06   19.464      9.962e+06   159.39      0.67234       
54     42.2         222.39       114.87       1.186e+06    18.979           4.481e+06   71.704          1.186e+06   18.979      9.431e+06   150.89      0.67234       
55     42.203       222.41       123.19       1.217e+06    19.479           5.230e+06   83.684          1.217e+06   19.479      9.907e+06   158.51      0.67234       
56     42.203       222.38       123.32       1.230e+06    19.676           5.554e+06   88.859          1.230e+06   19.676      1.009e+07   161.4       0.67234       
57     42.2         222.39       126.2        1.247e+06    19.951           5.587e+06   89.389          1.247e+06   19.951      1.027e+07   164.37      0.67234       
58     42.202       222.38       120.76       1.254e+06    20.058           5.510e+06   88.164          1.254e+06   20.058      1.034e+07   165.38      0.67234       
59     42.202       222.38       127.89       1.241e+06    19.851           5.083e+06   81.334          1.241e+06   19.851      1.012e+07   161.97      0.67234       
60     42.199       222.4        128.29       1.261e+06    20.184           4.886e+06   78.18           1.261e+06   20.184      1.050e+07   168.02      0.67234       
61     42.196       222.39       126.22       1.257e+06    20.115           4.351e+06   69.622          1.257e+06   20.115      1.038e+07   166.07      0.67234       
62     42.199       222.4        127.93       1.251e+06    20.022           4.054e+06   64.865          1.251e+06   20.022      1.029e+07   164.64      0.67234       
63     42.198       222.44       116.29       1.255e+06    20.075           3.131e+06   50.091          1.255e+06   20.075      1.017e+07   162.75      0.67234       
