Performance Recorder: AA_1D_Detailed_RandPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      47.141       723.22       978.61       5.584e+06    89.346           8.931e+07   1428.9          5.584e+06   89.346      4.307e+07   689.15      1.9891        
1      47.139       723.21       982.15       5.590e+06    89.442           8.931e+07   1428.9          5.590e+06   89.442      4.311e+07   689.82      1.9891        
2      47.139       723.2        979.08       5.584e+06    89.35            8.931e+07   1428.9          5.584e+06   89.35       4.306e+07   688.9       1.9891        
3      47.138       723.25       980.69       5.582e+06    89.319           8.931e+07   1428.9          5.582e+06   89.319      4.304e+07   688.6       1.9891        
4      47.142       723.22       978.85       5.580e+06    89.287           8.931e+07   1428.9          5.580e+06   89.287      4.304e+07   688.59      1.9891        
5      47.142       723.24       972.04       5.572e+06    89.15            8.931e+07   1428.9          5.572e+06   89.15       4.303e+07   688.41      1.9891        
6      47.142       723.22       973.73       5.564e+06    89.02            8.931e+07   1428.9          5.564e+06   89.02       4.292e+07   686.74      1.9891        
7      47.141       723.2        973.13       5.578e+06    89.253           8.931e+07   1428.9          5.578e+06   89.253      4.303e+07   688.41      1.9891        
8      47.141       723.22       975.55       5.589e+06    89.417           8.931e+07   1428.9          5.589e+06   89.417      4.304e+07   688.58      1.9891        
9      47.139       723.22       976.28       5.576e+06    89.214           8.931e+07   1428.9          5.576e+06   89.214      4.301e+07   688.2       1.9891        
10     47.14        723.21       979.35       5.590e+06    89.444           8.931e+07   1428.9          5.590e+06   89.444      4.307e+07   689.05      1.9891        
11     47.14        723.25       982.85       5.578e+06    89.252           8.931e+07   1428.9          5.578e+06   89.252      4.304e+07   688.7       1.9891        
12     47.141       723.22       975.93       5.580e+06    89.282           8.931e+07   1428.9          5.580e+06   89.282      4.303e+07   688.51      1.9891        
13     47.141       723.22       979.74       5.594e+06    89.51            8.931e+07   1428.9          5.594e+06   89.51       4.314e+07   690.21      1.9891        
14     47.14        723.25       979.72       5.575e+06    89.206           8.931e+07   1428.9          5.575e+06   89.206      4.302e+07   688.24      1.9891        
15     47.141       723.21       976.64       5.588e+06    89.404           8.931e+07   1428.9          5.588e+06   89.404      4.302e+07   688.3       1.9891        
