Performance Recorder: AA_2D_Detailed_NoPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      722.92        318.48        1609.3       639.75       1.070e+07    1.070e+07    6.940e+07    4.829         
1      1535.4        283.21        793.6        478.58       6.289e+06    6.289e+06    4.506e+07    4.829         
2      1459.7        278.43        795.67       570.99       8.267e+06    8.267e+06    6.166e+07    4.829         
3      1890.5        291.89        630.3        265.79       3.278e+06    3.278e+06    2.214e+07    4.829         
4      560.44        666.12        1416.8       486.19       6.289e+06    6.289e+06    4.506e+07    4.829         
5      909.22        616.4         1152.2       784.28       9.898e+06    9.898e+06    8.110e+07    4.829         
6      1770.8        629.76        129.09       84.849       5.748e+04    5.748e+04    1.075e+06    4.829         
7      1528          646           650.23       564.7        5.038e+06    5.038e+06    3.973e+07    4.829         
8      459.15        552.39        1560.7       573.71       8.267e+06    8.267e+06    6.166e+07    4.829         
9      1938.6        502.32        114.43       59.843       5.748e+04    5.748e+04    1.075e+06    4.829         
10     872.79        511.77        1148.3       811.2        1.129e+07    1.129e+07    9.733e+07    4.829         
11     1941.7        529           157.16       62.145       7.532e+04    7.532e+04    1.407e+06    4.829         
12     660.6         918.22        1164.7       428.47       3.278e+06    3.278e+06    2.214e+07    4.829         
13     765.68        886.54        1146.6       648.73       5.038e+06    5.038e+06    3.973e+07    4.829         
14     1529          876.11        128.14       58.603       7.532e+04    7.532e+04    1.407e+06    4.829         
15     756.8         907.62        1437.7       1279.6       1.141e+07    1.141e+07    9.866e+07    4.829         
