Performance Recorder: AA_2D_Detailed_RandPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      460.7         463.41        467.73       334.54       1.522e+06    1.522e+06    1.087e+07    1.8182        
1      465.59        482.72        446.5        318.7        1.379e+06    1.379e+06    1.073e+07    1.8182        
2      476.22        464.01        436.4        316.87       1.376e+06    1.376e+06    1.074e+07    1.8182        
3      482.19        458.51        437.28       316.34       1.380e+06    1.380e+06    1.073e+07    1.8182        
4      464.92        472.48        454.86       322.52       1.383e+06    1.383e+06    1.075e+07    1.8182        
5      442.82        493.88        457.6        315.9        1.375e+06    1.375e+06    1.074e+07    1.8182        
6      477.06        464.59        452.67       320.25       1.373e+06    1.373e+06    1.073e+07    1.8182        
7      508.75        455.43        440.91       317.14       1.377e+06    1.377e+06    1.072e+07    1.8182        
8      499.25        428.14        462.84       324.63       1.379e+06    1.379e+06    1.073e+07    1.8182        
9      494.16        447.07        456.2        323.96       1.512e+06    1.512e+06    1.085e+07    1.8182        
10     500.74        428.61        448.79       320.93       1.374e+06    1.374e+06    1.074e+07    1.8182        
11     515.34        423.28        440.04       318.23       1.373e+06    1.373e+06    1.073e+07    1.8182        
12     502.9         437.22        453.69       323.32       1.379e+06    1.379e+06    1.075e+07    1.8182        
13     480.1         457.48        457.6        341.71       1.376e+06    1.376e+06    1.073e+07    1.8182        
14     517.21        429.05        448.23       325.37       1.373e+06    1.373e+06    1.073e+07    1.8182        
15     536.85        420.87        447.05       321.59       1.380e+06    1.380e+06    1.074e+07    1.8182        
16     453.95        477.16        448.62       318.59       1.376e+06    1.376e+06    1.074e+07    1.8182        
17     417.28        528.15        450.31       324.05       1.374e+06    1.374e+06    1.074e+07    1.8182        
18     397.77        539.33        455.58       339.03       1.519e+06    1.519e+06    1.090e+07    1.8182        
19     414.83        517.33        447.48       318.02       1.380e+06    1.380e+06    1.075e+07    1.8182        
20     436.25        506.67        451.29       327.41       1.383e+06    1.383e+06    1.077e+07    1.8182        
21     390.46        551.41        453.21       319.99       1.382e+06    1.382e+06    1.076e+07    1.8182        
22     424.38        518.8         451.97       322.02       1.382e+06    1.382e+06    1.076e+07    1.8182        
