Performance Recorder: CBC_RTA_1D_Detailed_GPPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      33.68        7.9141       13.544       1.684e+04    0.26952          2.830e+04   0.45272         1.366e+06   21.863      6.778e+04   1.0845      0.057819      
1      33.681       7.8919       15.162       1.838e+04    0.294            2.544e+04   0.40701         1.477e+06   23.63       7.287e+04   1.166       0.057819      
2      33.679       7.8941       15.503       1.845e+04    0.2952           2.638e+04   0.42211         1.479e+06   23.657      7.412e+04   1.186       0.057819      
3      33.677       7.9105       14.296       1.767e+04    0.28275          2.891e+04   0.4625          1.435e+06   22.964      7.116e+04   1.1386      0.057819      
4      33.679       7.902        15.245       1.834e+04    0.29352          2.744e+04   0.43896         1.474e+06   23.589      7.163e+04   1.1461      0.057819      
5      33.678       7.8988       15.334       1.790e+04    0.28646          2.561e+04   0.40978         1.457e+06   23.306      7.085e+04   1.1336      0.057819      
6      33.68        7.8819       13.99        1.747e+04    0.2795           2.991e+04   0.47854         1.409e+06   22.551      6.945e+04   1.1112      0.057819      
7      33.68        7.8998       12.25        1.546e+04    0.24734          3.391e+04   0.54253         1.274e+06   20.38       6.154e+04   0.98467     0.057819      
8      33.678       7.9359       13.033       1.570e+04    0.25123          2.316e+04   0.37061         1.240e+06   19.845      6.084e+04   0.97339     0.057819      
9      33.677       7.9204       14.716       1.836e+04    0.2937           2.718e+04   0.4348          1.468e+06   23.485      7.289e+04   1.1662      0.057819      
10     33.679       7.9068       12.207       1.550e+04    0.24806          3.367e+04   0.53874         1.300e+06   20.805      6.476e+04   1.0362      0.057819      
11     33.677       7.917        15.389       1.816e+04    0.29059          2.551e+04   0.40822         1.468e+06   23.481      7.086e+04   1.1338      0.057819      
12     33.679       7.9269       14.741       1.818e+04    0.29088          2.747e+04   0.43957         1.454e+06   23.267      7.249e+04   1.1598      0.057819      
13     33.679       7.9194       14.504       1.805e+04    0.28878          2.915e+04   0.46646         1.462e+06   23.388      7.114e+04   1.1383      0.057819      
14     33.68        7.9197       12.918       1.562e+04    0.24994          2.905e+04   0.46482         1.301e+06   20.818      6.382e+04   1.0212      0.057819      
15     33.68        7.9503       13.414       1.570e+04    0.25114          2.852e+04   0.45638         1.305e+06   20.884      6.386e+04   1.0217      0.057819      
16     33.677       7.8992       15.359       1.856e+04    0.29694          2.692e+04   0.4308          1.478e+06   23.654      7.216e+04   1.1545      0.057819      
17     33.678       7.8742       13.071       1.536e+04    0.24584          2.779e+04   0.44469         1.258e+06   20.13       6.402e+04   1.0244      0.057819      
18     33.677       7.8917       14.272       1.637e+04    0.26189          2.338e+04   0.37406         1.329e+06   21.264      6.564e+04   1.0502      0.057819      
19     33.676       7.8988       11.422       1.361e+04    0.21776          2.290e+04   0.36648         1.083e+06   17.336      5.360e+04   0.85754     0.057819      
20     33.678       7.8702       14.576       1.825e+04    0.29197          3.008e+04   0.4812          1.469e+06   23.512      7.145e+04   1.1432      0.057819      
21     33.676       7.8637       15.332       1.779e+04    0.28464          2.472e+04   0.39554         1.452e+06   23.233      7.110e+04   1.1376      0.057819      
22     33.679       7.8793       13.734       1.705e+04    0.27283          2.643e+04   0.42288         1.366e+06   21.852      6.517e+04   1.0427      0.057819      
23     33.676       7.8819       15.412       1.769e+04    0.28306          2.501e+04   0.40013         1.421e+06   22.741      6.894e+04   1.103       0.057819      
24     33.677       7.9225       14.291       1.838e+04    0.29406          3.135e+04   0.50162         1.477e+06   23.629      7.230e+04   1.1569      0.057819      
25     33.676       7.8838       14.625       1.792e+04    0.28666          2.726e+04   0.43618         1.448e+06   23.161      7.036e+04   1.1258      0.057819      
26     33.677       7.895        13.489       1.713e+04    0.2741           2.634e+04   0.42149         1.363e+06   21.815      6.566e+04   1.0506      0.057819      
27     33.676       7.9338       13.913       1.701e+04    0.27216          2.508e+04   0.4013          1.357e+06   21.717      6.542e+04   1.0467      0.057819      
28     33.678       7.9029       13.654       1.778e+04    0.28446          3.043e+04   0.48693         1.422e+06   22.75       6.951e+04   1.1122      0.057819      
29     33.676       7.9046       13.686       1.621e+04    0.25934          2.591e+04   0.41459         1.326e+06   21.211      6.522e+04   1.0435      0.057819      
30     33.679       7.8992       14.763       1.753e+04    0.28051          2.908e+04   0.46525         1.441e+06   23.063      7.054e+04   1.1287      0.057819      
31     33.678       7.905        14.295       1.728e+04    0.27648          2.535e+04   0.40566         1.372e+06   21.958      6.543e+04   1.0469      0.057819      
32     33.679       7.8917       14.427       1.844e+04    0.29506          2.784e+04   0.44536         1.474e+06   23.581      7.145e+04   1.1433      0.057819      
33     33.667       7.9061       15.215       1.891e+04    0.30253          2.656e+04   0.42501         1.463e+06   23.414      7.126e+04   1.1402      0.057819      
34     33.67        7.8809       12.404       1.557e+04    0.24918          2.489e+04   0.39827         1.250e+06   19.998      5.985e+04   0.95762     0.057819      
35     33.667       7.8918       14.567       1.755e+04    0.2808           2.509e+04   0.40149         1.393e+06   22.29       6.740e+04   1.0784      0.057819      
