Performance Recorder: CBC_RTA_1D_Detailed_NoPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      40.216       6.9662       11.271       1.723e+04    0.2757           3.024e+05   4.8391          2.578e+06   41.244      9.544e+04   1.527       0.059463      
1      40.192       6.9571       11.441       1.723e+04    0.2757           3.139e+05   5.0226          2.598e+06   41.576      9.652e+04   1.5444      0.059463      
2      40.215       6.9508       11.47        1.723e+04    0.2757           3.197e+05   5.1147          2.599e+06   41.581      9.656e+04   1.5449      0.059463      
3      40.207       6.9767       11.485       1.723e+04    0.2757           2.776e+05   4.4414          2.406e+06   38.492      9.114e+04   1.4582      0.059463      
4      40.217       6.9507       7.8253       1.723e+04    0.2757           8.767e+04   1.4027          1.501e+06   24.017      6.893e+04   1.1029      0.059463      
5      40.204       6.9409       7.9204       1.723e+04    0.2757           9.716e+04   1.5545          1.541e+06   24.66       7.205e+04   1.1528      0.059463      
6      40.218       6.9567       8.1419       1.723e+04    0.2757           8.810e+04   1.4096          1.538e+06   24.601      7.223e+04   1.1557      0.059463      
7      40.204       6.9619       8.0781       1.723e+04    0.2757           8.548e+04   1.3678          1.518e+06   24.289      7.066e+04   1.1305      0.059463      
8      40.217       6.9843       8.2172       1.723e+04    0.2757           9.026e+04   1.4442          1.505e+06   24.077      7.039e+04   1.1263      0.059463      
9      40.195       6.9717       8.1484       1.723e+04    0.2757           8.813e+04   1.41            1.529e+06   24.457      7.155e+04   1.1448      0.059463      
10     40.217       6.9633       6.9293       1.723e+04    0.2757           9.321e+04   1.4913          1.533e+06   24.524      7.160e+04   1.1456      0.059463      
11     40.207       6.9697       8.0969       1.723e+04    0.2757           9.408e+04   1.5052          1.554e+06   24.862      7.215e+04   1.1544      0.059463      
12     40.217       6.9867       8.5003       1.723e+04    0.2757           9.316e+04   1.4906          1.523e+06   24.376      7.160e+04   1.1457      0.059463      
13     40.203       6.9869       7.738        1.723e+04    0.2757           8.705e+04   1.3928          1.554e+06   24.868      7.294e+04   1.167       0.059463      
14     40.217       6.9795       8.417        1.723e+04    0.2757           9.021e+04   1.4434          1.520e+06   24.313      7.037e+04   1.126       0.059463      
15     40.205       7.0141       7.9349       1.723e+04    0.2757           9.307e+04   1.4891          1.536e+06   24.575      7.186e+04   1.1497      0.059463      
16     40.213       6.9801       7.8542       1.723e+04    0.2757           8.982e+04   1.4371          1.525e+06   24.394      7.120e+04   1.1392      0.059463      
17     40.213       6.9565       8.2619       1.723e+04    0.2757           9.325e+04   1.492           1.505e+06   24.082      7.046e+04   1.1273      0.059463      
18     40.213       6.9823       8.73         1.723e+04    0.2757           1.021e+05   1.6344          1.539e+06   24.619      7.146e+04   1.1434      0.059463      
19     40.211       6.9728       8.2187       1.723e+04    0.2757           9.791e+04   1.5666          1.550e+06   24.798      7.153e+04   1.1444      0.059463      
20     40.213       6.9394       8.3919       1.723e+04    0.2757           8.835e+04   1.4136          1.555e+06   24.886      7.255e+04   1.1607      0.059463      
21     40.21        6.9502       8.5195       1.723e+04    0.2757           6.976e+04   1.1161          1.333e+06   21.335      6.440e+04   1.0303      0.059463      
22     40.213       6.9505       6.1168       1.723e+04    0.2757           5.055e+04   0.8088          1.182e+06   18.906      6.031e+04   0.96498     0.059463      
23     40.21        6.952        6.6667       1.723e+04    0.2757           6.209e+04   0.99341         1.230e+06   19.675      6.259e+04   1.0014      0.059463      
24     40.212       6.9687       6.5137       1.723e+04    0.2757           6.384e+04   1.0215          1.250e+06   20.005      6.226e+04   0.99614     0.059463      
25     40.212       7.0034       6.8488       1.723e+04    0.2757           6.202e+04   0.9924          1.239e+06   19.826      6.428e+04   1.0285      0.059463      
26     40.211       6.9578       6.603        1.723e+04    0.2757           5.763e+04   0.92213         1.243e+06   19.884      6.485e+04   1.0376      0.059463      
27     40.212       6.9719       7.3836       1.723e+04    0.2757           5.209e+04   0.83342         1.239e+06   19.827      6.363e+04   1.0181      0.059463      
28     40.216       6.9728       7.2295       1.723e+04    0.2757           4.540e+04   0.72643         1.225e+06   19.604      6.416e+04   1.0266      0.059463      
29     40.211       6.9535       7.733        1.723e+04    0.2757           4.400e+04   0.70397         1.249e+06   19.981      6.418e+04   1.0268      0.059463      
30     40.214       6.9802       7.1538       1.723e+04    0.2757           4.829e+04   0.77258         1.202e+06   19.236      6.140e+04   0.98243     0.059463      
31     40.212       6.9805       7.1868       1.723e+04    0.2757           5.034e+04   0.80549         1.215e+06   19.445      6.261e+04   1.0018      0.059463      
32     40.215       6.9842       6.5476       1.723e+04    0.2757           5.470e+04   0.87526         1.203e+06   19.24       6.255e+04   1.0009      0.059463      
33     40.215       6.9604       6.967        1.723e+04    0.2757           5.428e+04   0.8685          1.202e+06   19.229      6.176e+04   0.98819     0.059463      
34     40.215       6.9574       6.378        1.723e+04    0.2757           5.432e+04   0.86914         1.214e+06   19.431      6.235e+04   0.99762     0.059463      
35     40.214       6.9733       6.8875       1.723e+04    0.2757           5.337e+04   0.85387         1.240e+06   19.845      6.398e+04   1.0237      0.059463      
36     40.215       6.9571       6.8023       1.723e+04    0.2757           5.104e+04   0.81672         1.249e+06   19.99       6.507e+04   1.0412      0.059463      
37     40.216       6.9528       7.2144       1.723e+04    0.2757           5.356e+04   0.85696         1.229e+06   19.668      6.342e+04   1.0147      0.059463      
38     40.217       6.9385       6.2948       1.723e+04    0.2757           5.822e+04   0.93149         1.228e+06   19.651      6.308e+04   1.0092      0.059463      
39     40.216       6.9652       6.8646       1.723e+04    0.2757           6.198e+04   0.99168         1.248e+06   19.973      6.370e+04   1.0192      0.059463      
40     40.214       6.9742       6.7185       1.723e+04    0.2757           6.104e+04   0.97656         1.257e+06   20.113      6.410e+04   1.0256      0.059463      
41     40.214       6.9829       7.0547       1.723e+04    0.2757           5.619e+04   0.89909         1.251e+06   20.02       6.456e+04   1.0329      0.059463      
42     40.215       7.0028       6.7814       1.723e+04    0.2757           5.343e+04   0.85488         1.201e+06   19.21       6.259e+04   1.0015      0.059463      
43     40.214       6.9829       6.9925       1.723e+04    0.2757           5.296e+04   0.84733         1.223e+06   19.564      6.244e+04   0.99896     0.059463      
44     40.208       6.9532       7.0448       1.723e+04    0.2757           5.394e+04   0.86309         1.264e+06   20.219      6.650e+04   1.064       0.059463      
45     40.207       6.9634       7.2994       1.723e+04    0.2757           5.019e+04   0.80304         1.249e+06   19.976      6.393e+04   1.0229      0.059463      
46     40.207       6.9693       6.7155       1.723e+04    0.2757           5.266e+04   0.8425          1.212e+06   19.399      6.183e+04   0.98934     0.059463      
47     40.207       6.9846       6.7775       1.723e+04    0.2757           5.659e+04   0.90542         1.223e+06   19.572      6.317e+04   1.0107      0.059463      
48     40.211       6.9818       6.7105       1.723e+04    0.2757           5.923e+04   0.94762         1.256e+06   20.097      6.416e+04   1.0265      0.059463      
