Performance Recorder: CBC_RTA_1D_Detailed_RandPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      44.882       8.2224       51.084       6.893e+04    1.1028           1.103e+06   17.645          5.584e+06   89.346      2.703e+05   4.3242      0.10737       
1      44.882       8.2489       50.038       6.893e+04    1.1028           1.103e+06   17.645          5.590e+06   89.442      2.705e+05   4.3277      0.10737       
2      44.879       8.2076       52.237       6.893e+04    1.1028           1.103e+06   17.645          5.584e+06   89.35       2.699e+05   4.3185      0.10737       
3      44.88        8.2157       51.692       6.893e+04    1.1028           1.103e+06   17.645          5.582e+06   89.319      2.697e+05   4.3149      0.10737       
4      44.883       8.2228       50.893       6.893e+04    1.1028           1.103e+06   17.645          5.580e+06   89.287      2.704e+05   4.327       0.10737       
5      44.884       8.206        50.149       6.893e+04    1.1028           1.103e+06   17.645          5.572e+06   89.15       2.698e+05   4.3175      0.10737       
6      44.882       8.2164       51.712       6.893e+04    1.1028           1.103e+06   17.645          5.564e+06   89.02       2.698e+05   4.3168      0.10737       
7      44.882       8.2548       49.329       6.893e+04    1.1028           1.103e+06   17.645          5.578e+06   89.253      2.700e+05   4.3196      0.10737       
8      44.884       8.2256       51.211       6.893e+04    1.1028           1.103e+06   17.645          5.589e+06   89.417      2.698e+05   4.3162      0.10737       
9      44.884       8.222        50.726       6.893e+04    1.1028           1.103e+06   17.645          5.576e+06   89.214      2.701e+05   4.3209      0.10737       
10     44.882       8.213        50.428       6.893e+04    1.1028           1.103e+06   17.645          5.590e+06   89.444      2.700e+05   4.3194      0.10737       
11     44.883       8.2567       49.502       6.893e+04    1.1028           1.103e+06   17.645          5.578e+06   89.252      2.697e+05   4.3151      0.10737       
12     44.885       8.2313       51.813       6.893e+04    1.1028           1.103e+06   17.645          5.580e+06   89.282      2.698e+05   4.3171      0.10737       
13     44.884       8.2554       50.124       6.893e+04    1.1028           1.103e+06   17.645          5.594e+06   89.51       2.706e+05   4.3298      0.10737       
14     44.884       8.2197       50.232       6.893e+04    1.1028           1.103e+06   17.645          5.575e+06   89.206      2.695e+05   4.312       0.10737       
15     44.884       8.2119       49.329       6.893e+04    1.1029           1.103e+06   17.645          5.588e+06   89.404      2.698e+05   4.316       0.10737       
