Performance Recorder: RTAR_1DOP_Detailed_GPPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      2.4393       0.98732      0.05263       0.24755      6.778e+04    1.0845           1.684e+04   0.26952     1.648e+03   0.026368    0.0041016     
1      2.3955       0.99841      0.047691      0.25846      7.287e+04    1.166            1.838e+04   0.294       1.610e+03   0.02576     0.0041016     
2      2.3162       1.0761       0.051889      0.26652      7.412e+04    1.186            1.845e+04   0.2952      1.746e+03   0.027936    0.0041016     
3      2.3602       1.0282       0.052511      0.25117      7.116e+04    1.1386           1.767e+04   0.28275     1.726e+03   0.027616    0.0041016     
4      2.4166       0.99049      0.047181      0.25587      7.163e+04    1.1461           1.834e+04   0.29352     1.548e+03   0.024768    0.0041016     
5      2.3436       1.047        0.050436      0.25699      7.085e+04    1.1336           1.790e+04   0.28646     1.613e+03   0.025808    0.0041016     
6      2.2787       1.1256       0.048513      0.25705      6.945e+04    1.1112           1.747e+04   0.2795      1.619e+03   0.025904    0.0041016     
7      2.3285       1.094        0.048573      0.22602      6.154e+04    0.98467          1.546e+04   0.24734     1.501e+03   0.024016    0.0041016     
8      2.3497       1.0951       0.048313      0.23066      6.084e+04    0.97339          1.570e+04   0.25123     1.594e+03   0.025504    0.0041016     
9      2.5146       0.94984      0.049635      0.26894      7.289e+04    1.1662           1.836e+04   0.2937      1.619e+03   0.025904    0.0041016     
10     2.4849       0.99722      0.048923      0.22806      6.476e+04    1.0362           1.550e+04   0.24806     1.636e+03   0.026176    0.0041016     
11     2.3102       1.124        0.047851      0.2651       7.086e+04    1.1338           1.816e+04   0.29059     1.647e+03   0.026352    0.0041016     
12     2.3373       1.0501       0.05248       0.25147      7.249e+04    1.1598           1.818e+04   0.29088     1.651e+03   0.026416    0.0041016     
13     2.4302       0.94945      0.049485      0.27893      7.114e+04    1.1383           1.805e+04   0.28878     1.622e+03   0.025952    0.0041016     
14     2.362        1.0611       0.048413      0.22727      6.382e+04    1.0212           1.562e+04   0.24994     1.653e+03   0.026448    0.0041016     
15     2.2964       1.1285       0.048213      0.22965      6.386e+04    1.0217           1.570e+04   0.25114     1.529e+03   0.024464    0.0041016     
16     2.2613       1.1335       0.047311      0.25753      7.216e+04    1.1545           1.856e+04   0.29694     1.558e+03   0.024928    0.0041016     
17     2.2353       1.2313       0.049234      0.2321       6.402e+04    1.0244           1.536e+04   0.24584     1.648e+03   0.026368    0.0041016     
18     2.3316       1.1041       0.051018      0.22534      6.564e+04    1.0502           1.637e+04   0.26189     1.639e+03   0.026224    0.0041016     
19     2.2753       1.2016       0.048764      0.18087      5.360e+04    0.85754          1.361e+04   0.21776     1.627e+03   0.026032    0.0041016     
20     2.3395       1.0896       0.047932      0.25496      7.145e+04    1.1432           1.825e+04   0.29197     1.577e+03   0.025232    0.0041016     
21     2.2851       1.1323       0.048262      0.26069      7.110e+04    1.1376           1.779e+04   0.28464     1.570e+03   0.02512     0.0041016     
22     2.4103       1.0396       0.050638      0.24361      6.517e+04    1.0427           1.705e+04   0.27283     1.597e+03   0.025552    0.0041016     
23     2.3546       1.0681       0.048824      0.25646      6.894e+04    1.103            1.769e+04   0.28306     1.581e+03   0.025296    0.0041016     
24     2.3236       1.0773       0.047381      0.28334      7.230e+04    1.1569           1.838e+04   0.29406     1.573e+03   0.025168    0.0041016     
25     2.3399       1.0701       0.048734      0.24857      7.036e+04    1.1258           1.792e+04   0.28666     1.591e+03   0.025456    0.0041016     
26     2.4424       1.0034       0.047802      0.25112      6.566e+04    1.0506           1.713e+04   0.2741      1.610e+03   0.02576     0.0041016     
27     2.2247       1.1883       0.050948      0.25843      6.542e+04    1.0467           1.701e+04   0.27216     1.639e+03   0.026224    0.0041016     
28     2.3115       1.0967       0.047912      0.25413      6.951e+04    1.1122           1.778e+04   0.28446     1.619e+03   0.025904    0.0041016     
