Performance Recorder: RTAR_1DOP_Detailed_NoPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      2.3777       1.787        0.19349       1.6935       3.789e+05    6.0627           6.893e+04   1.1028      6.279e+03   0.10046     0.0067642     
1      2.0355       2.5443       0.1968        1.2585       2.842e+05    4.5476           6.893e+04   1.1028      6.177e+03   0.098832    0.0067642     
2      2.2213       2.2552       0.19433       1.2867       2.858e+05    4.5735           6.893e+04   1.1028      6.370e+03   0.10192     0.0067642     
3      2.1559       2.3698       0.18971       1.3081       2.855e+05    4.5679           6.893e+04   1.1028      6.154e+03   0.098464    0.0067642     
4      2.1761       2.3912       0.18585       1.279        2.854e+05    4.5665           6.893e+04   1.1028      6.186e+03   0.098976    0.0067642     
5      2.149        2.5566       0.18672       1.1473       2.600e+05    4.1593           6.893e+04   1.1028      6.196e+03   0.099136    0.0067642     
6      2.2271       2.497        0.18854       1.1077       2.537e+05    4.0589           6.893e+04   1.1028      6.239e+03   0.099824    0.0067642     
7      2.0589       2.6367       0.17866       1.1209       2.531e+05    4.0493           6.893e+04   1.1028      6.229e+03   0.099664    0.0067642     
8      2.136        2.5935       0.19272       1.1064       2.488e+05    3.9814           6.893e+04   1.1028      6.350e+03   0.1016      0.0067642     
9      2.1476       2.5992       0.19531       1.1036       2.565e+05    4.1036           6.893e+04   1.1028      6.426e+03   0.10282     0.0067642     
10     2.1338       2.5672       0.19273       1.1078       2.542e+05    4.0676           6.893e+04   1.1028      6.323e+03   0.10117     0.0067642     
11     2.2654       2.4464       0.18738       1.1004       2.546e+05    4.073            6.893e+04   1.1028      6.200e+03   0.0992      0.0067642     
12     2.0275       2.6579       0.20588       1.0851       2.536e+05    4.0568           6.893e+04   1.1028      6.203e+03   0.099248    0.0067642     
13     2.0409       2.6919       0.19516       1.0799       2.498e+05    3.996            6.893e+04   1.1028      6.280e+03   0.10048     0.0067642     
14     2.0391       2.6811       0.19267       1.0857       2.562e+05    4.0984           6.893e+04   1.1028      6.161e+03   0.098576    0.0067642     
15     2.1356       2.5362       0.19635       1.1346       2.562e+05    4.0996           6.893e+04   1.1029      6.215e+03   0.09944     0.0067642     
