Performance Recorder: RTAR_1DOP_Detailed_RandPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      2.6055       4.3695       0.30921       0.49777      6.726e+04    1.0761           1.723e+04   0.2757      1.582e+03   0.025312    0.0084421     
1      2.6853       4.3918       0.29578       0.40991      6.712e+04    1.074            1.723e+04   0.2757      1.535e+03   0.02456     0.0084421     
2      2.5866       4.4049       0.28394       0.41645      6.769e+04    1.083            1.723e+04   0.2757      1.464e+03   0.023424    0.0084421     
3      2.5405       4.497        0.29348       0.40288      6.690e+04    1.0704           1.723e+04   0.2757      1.498e+03   0.023968    0.0084421     
4      2.6529       4.4111       0.29759       0.40016      6.717e+04    1.0747           1.723e+04   0.2757      1.534e+03   0.024544    0.0084421     
5      2.5852       4.6039       0.32968       0.43541      6.767e+04    1.0827           1.723e+04   0.2757      1.540e+03   0.02464     0.0084421     
6      2.5479       4.6086       0.34828       0.43449      6.724e+04    1.0758           1.723e+04   0.2757      1.626e+03   0.026016    0.0084421     
7      2.5516       4.4749       0.3006        0.40558      6.731e+04    1.0769           1.723e+04   0.2757      1.542e+03   0.024672    0.0084421     
8      2.5696       4.6297       0.33004       0.43089      6.680e+04    1.0688           1.723e+04   0.2757      1.531e+03   0.024496    0.0084421     
9      2.581        4.489        0.3201        0.43578      6.761e+04    1.0817           1.723e+04   0.2757      1.467e+03   0.023472    0.0084421     
10     2.6048       4.4786       0.34018       0.4357       6.752e+04    1.0804           1.723e+04   0.2757      1.595e+03   0.02552     0.0084421     
11     2.5502       4.437        0.29977       0.41362      6.743e+04    1.0789           1.723e+04   0.2757      1.518e+03   0.024288    0.0084421     
12     2.5387       4.524        0.30082       0.40499      6.734e+04    1.0775           1.723e+04   0.2757      1.570e+03   0.02512     0.0084421     
13     2.5809       4.5223       0.33948       0.43818      6.718e+04    1.0748           1.723e+04   0.2757      1.569e+03   0.025104    0.0084421     
14     2.6903       4.3591       0.31527       0.43664      6.720e+04    1.0752           1.723e+04   0.2757      1.466e+03   0.023456    0.0084421     
15     2.6282       4.5967       0.3175        0.41964      6.735e+04    1.0776           1.723e+04   0.2757      1.650e+03   0.0264      0.0084421     
16     2.5699       4.4419       0.32116       0.49794      6.718e+04    1.0749           1.723e+04   0.2757      1.622e+03   0.025952    0.0084421     
17     2.5953       4.3647       0.31047       0.44764      6.738e+04    1.0781           1.723e+04   0.2757      1.446e+03   0.023136    0.0084421     
18     2.6348       4.4157       0.30694       0.413        6.726e+04    1.0761           1.723e+04   0.2757      1.570e+03   0.02512     0.0084421     
19     2.6108       4.3997       0.31625       0.44133      6.769e+04    1.083            1.723e+04   0.2757      1.608e+03   0.025728    0.0084421     
20     2.5262       4.6044       0.30498       0.40362      6.731e+04    1.077            1.723e+04   0.2757      1.536e+03   0.024576    0.0084421     
21     2.5798       4.4529       0.33386       0.43407      6.739e+04    1.0782           1.723e+04   0.2757      1.575e+03   0.0252      0.0084421     
22     2.6006       4.4588       0.31032       0.40986      6.738e+04    1.0781           1.723e+04   0.2757      1.593e+03   0.025488    0.0084421     
23     2.5799       4.5865       0.3134        0.40797      6.764e+04    1.0823           1.723e+04   0.2757      1.556e+03   0.024896    0.0084421     
24     2.627        4.5746       0.30242       0.42158      6.733e+04    1.0772           1.723e+04   0.2757      1.603e+03   0.025648    0.0084421     
25     2.6903       4.2541       0.32037       0.43807      6.718e+04    1.0749           1.723e+04   0.2757      1.508e+03   0.024128    0.0084421     
26     2.6894       4.4286       0.3205        0.41933      6.767e+04    1.0827           1.723e+04   0.2757      1.633e+03   0.026128    0.0084421     
27     2.5045       4.4569       0.29419       0.40138      6.755e+04    1.0809           1.723e+04   0.2757      1.510e+03   0.02416     0.0084421     
28     2.5666       4.4629       0.31056       0.40631      6.686e+04    1.0698           1.723e+04   0.2757      1.578e+03   0.025248    0.0084421     
29     2.6684       4.3503       0.32944       0.44399      6.729e+04    1.0767           1.723e+04   0.2757      1.576e+03   0.025216    0.0084421     
30     2.6014       4.509        0.3018        0.41437      6.721e+04    1.0753           1.723e+04   0.2757      1.542e+03   0.024672    0.0084421     
31     2.6707       4.2757       0.33785       0.43213      6.749e+04    1.0799           1.723e+04   0.2757      1.561e+03   0.024976    0.0084421     
32     2.5382       4.2662       0.30761       0.50191      6.698e+04    1.0716           1.723e+04   0.2757      1.558e+03   0.024928    0.0084421     
33     2.6025       4.5179       0.33842       0.43655      6.753e+04    1.0804           1.723e+04   0.2757      1.588e+03   0.025408    0.0084421     
34     2.6105       4.5233       0.32443       0.42         6.773e+04    1.0837           1.723e+04   0.2757      1.631e+03   0.026096    0.0084421     
35     2.6039       4.4112       0.30875       0.41158      6.757e+04    1.0811           1.723e+04   0.2757      1.608e+03   0.025728    0.0084421     
36     2.4942       4.4661       0.28575       0.40149      6.738e+04    1.0781           1.723e+04   0.2757      1.498e+03   0.023968    0.0084421     
37     2.572        4.3693       0.31611       0.40666      6.752e+04    1.0803           1.723e+04   0.2757      1.578e+03   0.025248    0.0084421     
38     2.5602       4.5477       0.32848       0.40296      6.747e+04    1.0795           1.723e+04   0.2757      1.621e+03   0.025936    0.0084421     
39     2.7154       4.2439       0.29168       0.41517      6.734e+04    1.0775           1.723e+04   0.2757      1.477e+03   0.023632    0.0084421     
40     2.5888       4.3234       0.28517       0.49084      6.740e+04    1.0784           1.723e+04   0.2757      1.457e+03   0.023312    0.0084421     
41     2.6928       4.1946       0.33647       0.43536      6.753e+04    1.0805           1.723e+04   0.2757      1.574e+03   0.025184    0.0084421     
42     2.6183       4.405        0.27216       0.41216      6.717e+04    1.0748           1.723e+04   0.2757      1.436e+03   0.022976    0.0084421     
43     2.598        4.4121       0.30867       0.43863      6.697e+04    1.0715           1.723e+04   0.2757      1.626e+03   0.026016    0.0084421     
44     2.5406       4.4219       0.30773       0.40638      6.732e+04    1.0771           1.723e+04   0.2757      1.581e+03   0.025296    0.0084421     
45     2.656        4.5397       0.32964       0.44557      6.724e+04    1.0759           1.723e+04   0.2757      1.562e+03   0.024992    0.0084421     
46     2.5741       4.4601       0.29374       0.41051      6.722e+04    1.0755           1.723e+04   0.2757      1.464e+03   0.023424    0.0084421     
47     2.5103       4.4232       0.28894       0.41301      6.758e+04    1.0812           1.723e+04   0.2757      1.504e+03   0.024064    0.0084421     
48     2.531        4.3952       0.3163        0.50601      6.718e+04    1.0748           1.723e+04   0.2757      1.495e+03   0.02392     0.0084421     
49     2.5386       4.4914       0.28832       0.40533      6.754e+04    1.0806           1.723e+04   0.2757      1.494e+03   0.023904    0.0084421     
50     2.5958       4.4147       0.33056       0.45679      6.720e+04    1.0751           1.723e+04   0.2757      1.544e+03   0.024704    0.0084421     
51     2.5684       4.4551       0.29194       0.41243      6.744e+04    1.079            1.723e+04   0.2757      1.536e+03   0.024576    0.0084421     
52     2.6513       4.5185       0.30028       0.44018      6.732e+04    1.077            1.723e+04   0.2757      1.526e+03   0.024416    0.0084421     
53     2.6108       4.511        0.30471       0.41081      6.705e+04    1.0728           1.723e+04   0.2757      1.522e+03   0.024352    0.0084421     
54     2.6066       4.4684       0.33385       0.4397       6.706e+04    1.0729           1.723e+04   0.2757      1.502e+03   0.024032    0.0084421     
55     2.5471       4.4447       0.29869       0.41076      6.746e+04    1.0794           1.723e+04   0.2757      1.552e+03   0.024832    0.0084421     
56     2.7446       4.3352       0.31501       0.52514      6.711e+04    1.0737           1.723e+04   0.2757      1.519e+03   0.024304    0.0084421     
57     2.5405       4.4859       0.31866       0.40562      6.692e+04    1.0708           1.723e+04   0.2757      1.630e+03   0.02608     0.0084421     
58     2.5618       4.4703       0.32091       0.44194      6.741e+04    1.0786           1.723e+04   0.2757      1.526e+03   0.024416    0.0084421     
59     2.544        4.4242       0.3063        0.40498      6.698e+04    1.0717           1.723e+04   0.2757      1.569e+03   0.025104    0.0084421     
60     2.5993       4.4564       0.30027       0.41171      6.720e+04    1.0751           1.723e+04   0.2757      1.523e+03   0.024368    0.0084421     
