Performance Recorder: RTAR_1D_Detailed_GPPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      130.28       431.09       19.716       3.504e+06    56.062           4.633e+07   741.33          3.202e+05   5.1227      7.430e+05   11.888      0.587         
1      130.28       430.83       20.226       3.474e+06    55.588           4.639e+07   742.24          3.261e+05   5.2178      7.664e+05   12.262      0.587         
2      130.28       430.85       20.093       2.485e+06    39.755           4.641e+07   742.57          3.214e+05   5.1427      7.517e+05   12.027      0.587         
3      130.28       430.85       20.5         3.352e+06    53.629           4.634e+07   741.46          3.204e+05   5.1268      7.499e+05   11.998      0.587         
4      130.28       430.99       20.152       3.503e+06    56.046           4.632e+07   741.08          3.219e+05   5.1507      7.573e+05   12.116      0.587         
5      130.28       431          19.982       3.499e+06    55.988           4.636e+07   741.69          3.200e+05   5.1205      7.455e+05   11.928      0.587         
6      130.28       430.96       20.085       3.114e+06    49.831           4.625e+07   740.01          3.206e+05   5.1289      7.444e+05   11.91       0.587         
7      130.28       430.84       20.58        2.802e+06    44.827           4.625e+07   740.04          3.232e+05   5.1717      7.544e+05   12.071      0.587         
8      130.28       430.91       19.962       3.302e+06    52.832           4.643e+07   742.84          3.226e+05   5.1618      7.539e+05   12.062      0.587         
9      130.28       430.83       20.302       2.940e+06    47.037           4.626e+07   740.18          3.217e+05   5.1468      7.567e+05   12.107      0.587         
10     130.28       431.17       19.491       2.870e+06    45.921           4.623e+07   739.6           3.196e+05   5.1139      7.443e+05   11.909      0.587         
11     130.28       430.84       20.285       2.041e+06    32.658           4.636e+07   741.73          3.239e+05   5.1826      7.609e+05   12.174      0.587         
12     130.28       430.85       20.231       2.491e+06    39.855           4.641e+07   742.61          3.226e+05   5.1614      7.581e+05   12.13       0.587         
13     130.28       430.84       20.078       2.738e+06    43.815           4.633e+07   741.25          3.211e+05   5.1374      7.465e+05   11.944      0.587         
14     130.28       430.84       20.123       2.696e+06    43.129           4.636e+07   741.81          3.252e+05   5.2037      7.622e+05   12.195      0.587         
15     130.28       430.88       20.084       2.175e+06    34.801           4.633e+07   741.25          3.243e+05   5.1883      7.594e+05   12.151      0.587         
