Performance Recorder: RTAR_1D_Detailed_NoPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      21.308       116.48       1.6116       3.789e+05    6.0627           1.385e+06   22.154          6.925e+04   1.108       6.279e+03   0.10046     0.13953       
1      21.308       116.48       1.5917       2.842e+05    4.5476           1.385e+06   22.156          6.762e+04   1.082       6.177e+03   0.098832    0.13953       
2      21.308       116.51       1.6128       2.858e+05    4.5735           1.378e+06   22.052          7.023e+04   1.1237      6.370e+03   0.10192     0.13953       
3      21.308       116.48       1.5962       2.855e+05    4.5679           1.366e+06   21.852          6.751e+04   1.0801      6.154e+03   0.098464    0.13953       
4      21.308       116.48       1.5903       2.854e+05    4.5665           1.373e+06   21.962          6.844e+04   1.095       6.186e+03   0.098976    0.13953       
5      21.308       116.48       1.6239       2.600e+05    4.1593           1.381e+06   22.093          6.979e+04   1.1167      6.196e+03   0.099136    0.13953       
6      21.308       116.46       1.5925       2.537e+05    4.0589           1.401e+06   22.418          6.943e+04   1.1109      6.239e+03   0.099824    0.13953       
7      21.308       116.5        1.6326       2.531e+05    4.0493           1.389e+06   22.225          6.904e+04   1.1047      6.229e+03   0.099664    0.13953       
8      21.309       116.47       1.6271       2.488e+05    3.9814           1.420e+06   22.714          7.068e+04   1.1308      6.350e+03   0.1016      0.13953       
9      21.309       116.5        1.6401       2.565e+05    4.1036           1.410e+06   22.566          7.160e+04   1.1456      6.426e+03   0.10282     0.13953       
10     21.309       116.48       1.5076       2.542e+05    4.0676           1.372e+06   21.945          6.914e+04   1.1062      6.323e+03   0.10117     0.13953       
11     21.309       116.47       1.4967       2.546e+05    4.073            1.349e+06   21.578          6.906e+04   1.105       6.200e+03   0.0992      0.13953       
12     21.31        116.48       1.5501       2.536e+05    4.0568           1.364e+06   21.824          6.676e+04   1.0682      6.203e+03   0.099248    0.13953       
13     21.31        116.48       1.6511       2.498e+05    3.996            1.389e+06   22.218          6.931e+04   1.1089      6.280e+03   0.10048     0.13953       
14     21.31        116.5        1.6055       2.562e+05    4.0984           1.339e+06   21.417          6.651e+04   1.0642      6.161e+03   0.098576    0.13953       
15     21.311       116.48       1.6101       2.562e+05    4.0996           1.372e+06   21.952          6.845e+04   1.0952      6.215e+03   0.09944     0.13953       
