Performance Recorder: RTAR_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      40.681       180.77       1.2664       6.726e+04    1.0761           5.881e+05   9.4097          1.779e+04   0.28458     1.582e+03   0.025312    0.22288       
1      40.68        180.72       1.1611       6.712e+04    1.074            5.422e+05   8.6751          1.636e+04   0.26179     1.535e+03   0.02456     0.22288       
2      40.681       180.73       1.1857       6.769e+04    1.083            5.240e+05   8.3838          1.575e+04   0.25194     1.464e+03   0.023424    0.22288       
3      40.68        180.74       1.1257       6.690e+04    1.0704           5.543e+05   8.8682          1.676e+04   0.26808     1.498e+03   0.023968    0.22288       
4      40.681       180.71       1.2896       6.717e+04    1.0747           5.465e+05   8.7432          1.641e+04   0.26256     1.534e+03   0.024544    0.22288       
5      40.68        180.72       1.1802       6.767e+04    1.0827           5.524e+05   8.8376          1.664e+04   0.26626     1.540e+03   0.02464     0.22288       
6      40.681       180.71       1.2715       6.724e+04    1.0758           5.861e+05   9.3779          1.774e+04   0.28392     1.626e+03   0.026016    0.22288       
7      40.68        180.73       1.1905       6.731e+04    1.0769           5.737e+05   9.1795          1.743e+04   0.27883     1.542e+03   0.024672    0.22288       
8      40.68        180.78       1.2014       6.680e+04    1.0688           5.627e+05   9.0027          1.703e+04   0.2725      1.531e+03   0.024496    0.22288       
9      40.682       180.76       1.1966       6.761e+04    1.0817           5.559e+05   8.8948          1.684e+04   0.26947     1.467e+03   0.023472    0.22288       
10     40.682       180.73       1.2842       6.752e+04    1.0804           5.883e+05   9.4135          1.783e+04   0.28531     1.595e+03   0.02552     0.22288       
11     40.682       180.73       1.3007       6.743e+04    1.0789           5.449e+05   8.7177          1.639e+04   0.26221     1.518e+03   0.024288    0.22288       
12     40.683       180.76       1.0691       6.734e+04    1.0775           5.427e+05   8.6836          1.629e+04   0.26069     1.570e+03   0.02512     0.22288       
13     40.682       180.76       1.1885       6.718e+04    1.0748           5.703e+05   9.1243          1.727e+04   0.27629     1.569e+03   0.025104    0.22288       
14     40.682       180.75       1.2153       6.720e+04    1.0752           5.443e+05   8.7093          1.643e+04   0.26293     1.466e+03   0.023456    0.22288       
15     40.682       180.8        1.1122       6.735e+04    1.0776           5.870e+05   9.3913          1.772e+04   0.28358     1.650e+03   0.0264      0.22288       
16     40.68        180.77       0.96113      6.718e+04    1.0749           6.180e+05   9.8876          1.882e+04   0.3011      1.622e+03   0.025952    0.22288       
17     40.681       180.73       1.1198       6.738e+04    1.0781           5.260e+05   8.4153          1.583e+04   0.2533      1.446e+03   0.023136    0.22288       
18     40.682       180.78       0.95642      6.726e+04    1.0761           5.729e+05   9.1667          1.731e+04   0.27693     1.570e+03   0.02512     0.22288       
19     40.682       180.77       1.1277       6.769e+04    1.083            5.814e+05   9.3016          1.760e+04   0.28152     1.608e+03   0.025728    0.22288       
20     40.681       180.72       0.92909      6.731e+04    1.077            5.804e+05   9.2862          1.770e+04   0.28325     1.536e+03   0.024576    0.22288       
21     40.68        180.73       1.1857       6.739e+04    1.0782           5.720e+05   9.1512          1.729e+04   0.27667     1.575e+03   0.0252      0.22288       
22     40.681       180.77       0.88527      6.738e+04    1.0781           5.776e+05   9.2415          1.748e+04   0.27971     1.593e+03   0.025488    0.22288       
23     40.682       180.8        1.1098       6.764e+04    1.0823           5.914e+05   9.462           1.797e+04   0.28747     1.556e+03   0.024896    0.22288       
24     40.68        180.76       0.8979       6.733e+04    1.0772           5.793e+05   9.268           1.758e+04   0.28128     1.603e+03   0.025648    0.22288       
25     40.681       180.78       1.1372       6.718e+04    1.0749           5.661e+05   9.0581          1.713e+04   0.27403     1.508e+03   0.024128    0.22288       
26     40.682       180.73       0.94758      6.767e+04    1.0827           5.967e+05   9.5472          1.811e+04   0.28973     1.633e+03   0.026128    0.22288       
27     40.682       180.79       1.0243       6.755e+04    1.0809           5.550e+05   8.8799          1.678e+04   0.26848     1.510e+03   0.02416     0.22288       
28     40.681       180.73       0.89509      6.686e+04    1.0698           5.732e+05   9.1713          1.735e+04   0.27763     1.578e+03   0.025248    0.22288       
29     40.681       180.78       1.1073       6.729e+04    1.0767           5.739e+05   9.182           1.741e+04   0.27854     1.576e+03   0.025216    0.22288       
30     40.683       180.73       0.92393      6.721e+04    1.0753           5.615e+05   8.9847          1.705e+04   0.27278     1.542e+03   0.024672    0.22288       
31     40.682       180.78       1.0951       6.749e+04    1.0799           5.815e+05   9.3041          1.761e+04   0.28176     1.561e+03   0.024976    0.22288       
32     40.682       180.76       0.96128      6.698e+04    1.0716           5.917e+05   9.4678          1.798e+04   0.28776     1.558e+03   0.024928    0.22288       
33     40.68        180.74       1.2461       6.753e+04    1.0804           5.696e+05   9.1141          1.720e+04   0.27514     1.588e+03   0.025408    0.22288       
34     40.682       180.74       0.91061      6.773e+04    1.0837           6.194e+05   9.9111          1.886e+04   0.30182     1.631e+03   0.026096    0.22288       
35     40.681       180.75       1.2596       6.757e+04    1.0811           5.966e+05   9.5457          1.809e+04   0.28939     1.608e+03   0.025728    0.22288       
36     40.68        180.73       0.86381      6.738e+04    1.0781           5.383e+05   8.6134          1.624e+04   0.25987     1.498e+03   0.023968    0.22288       
37     40.682       180.71       1.2999       6.752e+04    1.0803           6.028e+05   9.6451          1.830e+04   0.29285     1.578e+03   0.025248    0.22288       
38     40.68        180.73       0.95549      6.747e+04    1.0795           6.326e+05   10.122          1.930e+04   0.30882     1.621e+03   0.025936    0.22288       
39     40.682       180.72       1.2261       6.734e+04    1.0775           5.461e+05   8.7382          1.652e+04   0.26429     1.477e+03   0.023632    0.22288       
40     40.681       180.81       0.81848      6.740e+04    1.0784           5.384e+05   8.6147          1.620e+04   0.25917     1.457e+03   0.023312    0.22288       
41     40.683       180.74       1.2444       6.753e+04    1.0805           5.696e+05   9.1139          1.719e+04   0.27499     1.574e+03   0.025184    0.22288       
42     40.682       180.74       0.81833      6.717e+04    1.0748           4.900e+05   7.8408          1.465e+04   0.23442     1.436e+03   0.022976    0.22288       
43     40.682       180.77       1.2472       6.697e+04    1.0715           5.903e+05   9.4441          1.796e+04   0.28728     1.626e+03   0.026016    0.22288       
44     40.682       180.76       0.93719      6.732e+04    1.0771           6.044e+05   9.67            1.838e+04   0.29402     1.581e+03   0.025296    0.22288       
45     40.682       180.76       1.1927       6.724e+04    1.0759           5.728e+05   9.1653          1.732e+04   0.27706     1.562e+03   0.024992    0.22288       
46     40.681       180.73       0.85486      6.722e+04    1.0755           5.428e+05   8.6849          1.642e+04   0.26278     1.464e+03   0.023424    0.22288       
47     40.682       180.76       1.15         6.758e+04    1.0812           5.239e+05   8.3817          1.576e+04   0.25219     1.504e+03   0.024064    0.22288       
48     40.682       180.74       1.1945       6.718e+04    1.0748           5.513e+05   8.8215          1.663e+04   0.26606     1.495e+03   0.02392     0.22288       
49     40.68        180.74       1.1778       6.754e+04    1.0806           5.656e+05   9.0491          1.710e+04   0.27352     1.494e+03   0.023904    0.22288       
50     40.681       180.73       1.1823       6.720e+04    1.0751           5.678e+05   9.0844          1.726e+04   0.2761      1.544e+03   0.024704    0.22288       
51     40.682       180.76       1.0966       6.744e+04    1.079            5.244e+05   8.3911          1.584e+04   0.25339     1.536e+03   0.024576    0.22288       
52     40.68        180.73       1.1098       6.732e+04    1.077            5.285e+05   8.4568          1.596e+04   0.25536     1.526e+03   0.024416    0.22288       
53     40.682       180.71       1.2151       6.705e+04    1.0728           5.792e+05   9.2675          1.758e+04   0.28133     1.522e+03   0.024352    0.22288       
54     40.68        180.73       1.1803       6.706e+04    1.0729           5.890e+05   9.4236          1.793e+04   0.28683     1.502e+03   0.024032    0.22288       
55     40.682       180.76       1.1471       6.746e+04    1.0794           5.768e+05   9.2295          1.748e+04   0.27963     1.552e+03   0.024832    0.22288       
56     40.68        180.76       1.1157       6.711e+04    1.0737           5.677e+05   9.0825          1.717e+04   0.2747      1.519e+03   0.024304    0.22288       
57     40.681       180.75       1.1501       6.692e+04    1.0708           5.997e+05   9.5954          1.815e+04   0.29045     1.630e+03   0.02608     0.22288       
58     40.683       180.73       1.1543       6.741e+04    1.0786           5.409e+05   8.6541          1.631e+04   0.26093     1.526e+03   0.024416    0.22288       
59     40.681       180.77       1.1485       6.698e+04    1.0717           5.890e+05   9.4239          1.791e+04   0.28661     1.569e+03   0.025104    0.22288       
60     40.684       180.76       1.0502       6.720e+04    1.0751           5.549e+05   8.8782          1.678e+04   0.26842     1.523e+03   0.024368    0.22288       
61     40.684       180.74       1.1507       6.692e+04    1.0707           5.482e+05   8.7717          1.655e+04   0.26486     1.533e+03   0.024528    0.22288       
62     40.686       180.76       1.135        6.750e+04    1.08             5.551e+05   8.8821          1.675e+04   0.26798     1.566e+03   0.025056    0.22288       
63     40.686       180.79       1.2063       6.767e+04    1.0827           6.979e+05   11.167          2.138e+04   0.34205     1.962e+03   0.031392    0.22288       
