Performance Recorder: RTAR_2D_Detailed_GPPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      25.172        6.8706        3.1188       0.073822     7.461e+04    1.879e+04    2.256e+03    0.035796      
1      26.298        6.202         2.4293       0.058001     6.761e+04    1.837e+04    1.537e+03    0.035796      
2      26.1          6.5425        2.3454       0.056458     7.243e+04    1.686e+04    1.506e+03    0.035796      
3      25.28         7.405         2.3699       0.064493     6.726e+04    1.673e+04    1.586e+03    0.035796      
4      25.717        6.7857        2.3002       0.057951     7.024e+04    1.586e+04    1.458e+03    0.035796      
5      25.444        7.2384        2.4094       0.060747     6.808e+04    1.739e+04    1.548e+03    0.035796      
6      26.017        6.4595        2.4045       0.059374     6.868e+04    1.656e+04    1.568e+03    0.035796      
7      25.925        6.8348        2.3902       0.060826     6.451e+04    1.729e+04    1.592e+03    0.035796      
8      23.149        9.3055        2.6904       0.059153     7.201e+04    1.673e+04    1.537e+03    0.035796      
9      23.521        8.6764        2.7881       0.068201     6.686e+04    1.625e+04    2.218e+03    0.035796      
10     23.507        9.1631        2.3123       0.055496     6.842e+04    1.658e+04    1.515e+03    0.035796      
11     23.036        9.6633        2.3842       0.059113     6.506e+04    1.921e+04    1.581e+03    0.035796      
12     23.104        9.3673        2.3354       0.055697     7.054e+04    1.700e+04    1.483e+03    0.035796      
13     23.004        9.7185        2.3841       0.057731     6.883e+04    1.612e+04    1.537e+03    0.035796      
14     23.503        9.0099        2.3948       0.060677     7.122e+04    1.780e+04    1.571e+03    0.035796      
15     23.245        9.542         2.3851       0.058191     6.326e+04    1.816e+04    1.540e+03    0.035796      
16     23.236        9.2967        2.6728       0.061048     6.429e+04    1.890e+04    1.506e+03    0.035796      
17     23.606        9.0881        2.4029       0.058974     6.548e+04    1.713e+04    1.515e+03    0.035796      
18     22.704        9.6631        2.7785       0.085515     7.052e+04    1.743e+04    2.240e+03    0.035796      
19     22.838        9.9177        2.392        0.062541     6.838e+04    1.566e+04    1.596e+03    0.035796      
20     23.3          9.3395        2.3114       0.06238      6.629e+04    1.792e+04    1.447e+03    0.035796      
21     22.848        9.8534        2.4131       0.055497     6.349e+04    1.583e+04    1.452e+03    0.035796      
22     23.267        9.353         2.3705       0.058452     6.931e+04    1.840e+04    1.523e+03    0.035796      
23     23.437        9.3499        2.3144       0.060356     7.257e+04    1.658e+04    1.564e+03    0.035796      
24     24.643        7.8753        2.6632       0.058542     6.641e+04    1.764e+04    1.586e+03    0.035796      
25     24.913        7.7876        2.4172       0.058052     7.629e+04    1.644e+04    1.581e+03    0.035796      
26     24.537        8.2123        2.3172       0.059094     6.281e+04    1.711e+04    1.596e+03    0.035796      
27     23.909        8.5271        2.7797       0.071677     6.515e+04    1.693e+04    2.346e+03    0.035796      
28     24.645        7.9914        2.3088       0.058483     6.805e+04    1.790e+04    1.353e+03    0.035796      
29     24.269        8.4596        2.4045       0.059153     7.120e+04    1.690e+04    1.627e+03    0.035796      
30     24.903        7.7198        2.3693       0.0572       6.731e+04    1.650e+04    1.560e+03    0.035796      
31     24.843        7.9375        2.3501       0.061659     7.140e+04    1.843e+04    1.600e+03    0.035796      
32     26.24         6.3346        2.5773       0.058924     6.436e+04    1.783e+04    1.458e+03    0.035796      
33     26.875        5.8207        2.3615       0.060807     6.622e+04    1.816e+04    1.483e+03    0.035796      
34     26.29         6.4982        2.2642       0.055687     7.073e+04    1.683e+04    1.447e+03    0.035796      
35     26.117        6.6308        2.316        0.056219     7.163e+04    1.670e+04    1.353e+03    0.035796      
36     25.582        6.6863        2.7127       0.080736     7.018e+04    1.775e+04    2.500e+03    0.035796      
37     25.698        7.1274        2.3092       0.064895     6.761e+04    1.603e+04    1.467e+03    0.035796      
38     26.475        6.1884        2.3184       0.060076     6.404e+04    1.596e+04    1.542e+03    0.035796      
39     26.332        6.4677        2.2976       0.059194     6.519e+04    1.860e+04    1.523e+03    0.035796      
40     27.254        5.2269        2.6986       0.059665     7.025e+04    1.723e+04    1.548e+03    0.035796      
41     27.835        4.834         2.43         0.056459     6.299e+04    1.732e+04    1.537e+03    0.035796      
42     27.365        5.3464        2.3613       0.055477     6.456e+04    1.599e+04    1.452e+03    0.035796      
43     27.204        5.4592        2.4512       0.058904     6.611e+04    1.788e+04    1.627e+03    0.035796      
44     27.174        5.4052        2.3771       0.058804     6.545e+04    1.664e+04    1.467e+03    0.035796      
45     26.089        6.2828        2.8667       0.069444     6.831e+04    1.760e+04    2.112e+03    0.035796      
46     27.482        5.1077        2.4213       0.058122     6.990e+04    1.910e+04    1.520e+03    0.035796      
47     27.432        5.3197        2.3786       0.058873     7.116e+04    1.610e+04    1.539e+03    0.035796      
48     23.774        8.623         2.6957       0.062741     6.828e+04    1.735e+04    1.568e+03    0.035796      
49     24.286        8.2523        2.4285       0.059274     7.350e+04    1.770e+04    1.571e+03    0.035796      
50     24.221        8.4084        2.4002       0.057682     6.975e+04    1.701e+04    1.523e+03    0.035796      
51     23.496        9.0616        2.5329       0.061459     6.440e+04    1.702e+04    1.560e+03    0.035796      
52     23.813        8.6024        2.426        0.058373     6.547e+04    1.612e+04    1.542e+03    0.035796      
53     23.446        9.1964        2.4557       0.057371     7.515e+04    1.775e+04    1.520e+03    0.035796      
54     23.938        8.1392        2.8972       0.071508     6.484e+04    1.708e+04    2.250e+03    0.035796      
55     24.104        8.5846        2.3889       0.060897     6.940e+04    1.783e+04    1.501e+03    0.035796      
56     23.707        8.5875        2.8295       0.059615     6.909e+04    1.607e+04    1.592e+03    0.035796      
57     24.25         8.277         2.4432       0.058302     7.144e+04    1.572e+04    1.540e+03    0.035796      
58     24.005        8.6141        2.3869       0.059143     6.681e+04    1.861e+04    1.564e+03    0.035796      
59     23.589        9.1011        2.4097       0.060316     7.116e+04    1.735e+04    1.600e+03    0.035796      
60     23.886        8.578         2.3615       0.05697      7.163e+04    1.646e+04    1.523e+03    0.035796      
61     23.655        8.9919        2.4498       0.05723      6.507e+04    1.874e+04    1.539e+03    0.035796      
62     24.165        8.2561        2.4979       0.058222     7.282e+04    1.804e+04    1.501e+03    0.035796      
63     23.733        8.5379        2.8819       0.073492     6.433e+04    1.688e+04    2.253e+03    0.035796      
