Performance Recorder: RTAR_2D_Detailed_NoPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      20.101        41.059        5.3519       0.12382      3.074e+05    6.877e+04    7.465e+03    0.068587      
1      20.913        40.959        4.1576       0.12479      2.613e+05    6.865e+04    5.818e+03    0.068587      
2      20.783        41.077        4.1477       0.11964      2.530e+05    7.064e+04    5.917e+03    0.068587      
3      21.115        40.972        4.0918       0.11544      2.538e+05    6.764e+04    5.802e+03    0.068587      
4      35.424        28.115        4.1618       0.11177      3.051e+05    6.878e+04    5.818e+03    0.068587      
5      34.339        28.185        5.441        0.13071      2.623e+05    6.911e+04    7.401e+03    0.068587      
6      35.297        28.221        4.17         0.12124      2.511e+05    7.018e+04    5.881e+03    0.068587      
7      35.637        26.517        4.0864       0.11425      2.567e+05    6.764e+04    5.763e+03    0.068587      
8      39.785        23.796        4.1195       0.11849      3.165e+05    6.872e+04    5.917e+03    0.068587      
9      39.764        23.707        4.1784       0.12167      2.693e+05    6.892e+04    5.881e+03    0.068587      
10     38.941        23.6          5.4347       0.14154      2.607e+05    7.121e+04    7.601e+03    0.068587      
11     38.125        23.959        4.1604       0.11941      2.531e+05    6.686e+04    5.913e+03    0.068587      
12     46.474        16.846        4.343        0.10124      3.055e+05    6.852e+04    5.802e+03    0.068587      
13     46.537        16.939        4.1303       0.10252      2.593e+05    7.013e+04    5.763e+03    0.068587      
14     21.57         16.728        29.354       0.10838      2.493e+05    6.865e+04    5.913e+03    0.068587      
15     45.811        15.323        5.3756       0.13402      2.521e+05    6.840e+04    7.333e+03    0.068587      
