Performance Recorder: RTAR_2D_Detailed_RandPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      18.876        19.291        6.4251       0.18258      2.690e+05    6.854e+04    7.636e+03    0.045961      
1      18.268        19.638        6.7388       0.1384       2.677e+05    6.950e+04    5.928e+03    0.045961      
2      18.326        19.433        6.7237       0.14539      2.691e+05    6.862e+04    5.722e+03    0.045961      
3      19.132        19.32         6.3577       0.15525      2.684e+05    6.904e+04    5.713e+03    0.045961      
4      25.663        13.102        6.1806       0.14487      2.725e+05    6.822e+04    5.928e+03    0.045961      
5      24.12         13.219        7.5168       0.1839       2.729e+05    6.962e+04    7.452e+03    0.045961      
6      24.488        13.303        7.0582       0.15389      2.717e+05    6.869e+04    5.785e+03    0.045961      
7      25.343        13.039        6.6792       0.1418       2.721e+05    6.918e+04    5.938e+03    0.045961      
8      26.135        12.359        6.5322       0.12801      2.684e+05    6.881e+04    5.722e+03    0.045961      
9      25.222        12.529        7.1714       0.14241      2.693e+05    6.936e+04    5.785e+03    0.045961      
10     24.474        12.335        8.26         0.16911      2.693e+05    6.856e+04    7.500e+03    0.045961      
11     25.925        12.35         6.7824       0.13929      2.690e+05    6.897e+04    5.864e+03    0.045961      
12     38.075        0.92163       6.2368       0.13743      2.704e+05    6.896e+04    5.713e+03    0.045961      
13     37.511        0.99466       6.2402       0.15542      2.701e+05    6.885e+04    5.938e+03    0.045961      
14     37.137        0.90617       7.0363       0.16544      2.695e+05    6.869e+04    5.864e+03    0.045961      
15     37.413        0.83629       7.1182       0.16566      2.702e+05    6.921e+04    7.612e+03    0.045961      
