Performance Recorder: RTA_2D_Detailed_GPPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      368.5         110.62        31.757       0.90909      1.879e+04    1.065e+07    7.461e+04    0.57524       
1      361.09        108.49        31.982       0.95639      1.673e+04    1.006e+05    6.761e+04    0.57524       
2      371.01        107.89        32.833       0.80029      1.890e+04    4.356e+04    7.243e+04    0.57524       
3      397.51        74.917        29.273       0.97712      1.764e+04    2.082e+05    6.726e+04    0.57524       
4      323.52        145.31        32.869       0.70617      1.783e+04    3.156e+04    7.024e+04    0.57524       
5      358.59        113.51        29.569       1.0681       1.723e+04    2.731e+04    6.808e+04    0.57524       
6      390.29        94.159        30.526       0.7404       1.735e+04    3.990e+04    6.868e+04    0.57524       
7      463.49        75.874        29.675       0.41878      1.607e+04    7.009e+04    6.451e+04    0.57524       
8      363.5         116.13        31.23        0.60014      1.837e+04    1.006e+05    7.201e+04    0.57524       
9      357.45        114.21        30.114       0.5179       1.625e+04    1.061e+07    6.686e+04    0.57524       
10     367.53        113.41        30.858       0.5832       1.713e+04    5.670e+03    6.842e+04    0.57524       
11     393.85        79.678        28.39        0.52353      1.644e+04    8.969e+04    6.506e+04    0.57524       
12     319.46        151.14        31.304       0.60691      1.816e+04    1.447e+05    7.054e+04    0.57524       
13     355.21        116.94        29.756       0.56964      1.732e+04    2.021e+05    6.883e+04    0.57524       
14     387.4         96.898        30.582       0.5452       1.770e+04    3.583e+04    7.122e+04    0.57524       
15     461.87        77.506        29.661       0.39986      1.572e+04    0.000e+00    6.326e+04    0.57524       
16     424.44        55.352        30.874       0.9727       1.686e+04    4.356e+04    6.429e+04    0.57524       
17     407.5         70.213        31.351       0.81886      1.658e+04    5.670e+03    6.548e+04    0.57524       
18     421.79        61.228        30.221       0.97889      1.743e+04    1.046e+07    7.052e+04    0.57524       
19     396.11        84.177        28.918       0.92811      1.711e+04    3.012e+05    6.838e+04    0.57524       
20     317.79        159.47        31.953       0.84494      1.683e+04    3.000e+00    6.629e+04    0.57524       
21     399.09        79.362        30.729       0.76722      1.599e+04    1.131e+04    6.349e+04    0.57524       
22     438.99        44.37         30.99        0.7215       1.701e+04    1.318e+05    6.931e+04    0.57524       
23     469.7         73.352        29.791       0.44586      1.861e+04    2.390e+05    7.257e+04    0.57524       
24     425.73        54.017        30.901       0.65336      1.673e+04    2.082e+05    6.641e+04    0.57524       
25     408.4         68.605        31.81        0.60588      1.921e+04    8.969e+04    7.629e+04    0.57524       
26     422.97        59.92         30.281       0.49633      1.566e+04    3.012e+05    6.281e+04    0.57524       
27     397.3         82.343        29.309       0.65793      1.693e+04    1.031e+07    6.515e+04    0.57524       
28     319.35        158.04        31.552       0.64161      1.670e+04    1.859e+05    6.805e+04    0.57524       
29     400.35        77.951        30.638       0.60934      1.788e+04    0.000e+00    7.120e+04    0.57524       
30     439.7         43.814        30.761       0.44635      1.702e+04    0.000e+00    6.731e+04    0.57524       
31     469.97        73.109        28.897       0.42855      1.735e+04    0.000e+00    7.140e+04    0.57524       
32     311.48        169.09        30.48        0.73346      1.586e+04    3.156e+04    6.436e+04    0.57524       
33     301.09        174.94        31.774       0.67403      1.700e+04    1.447e+05    6.622e+04    0.57524       
34     314.98        166.44        30.54        0.9676       1.792e+04    3.000e+00    7.073e+04    0.57524       
35     403.18        75.778        28.979       0.56552      1.790e+04    1.859e+05    7.163e+04    0.57524       
36     320.31        155.72        31.911       0.98203      1.775e+04    1.050e+07    7.018e+04    0.57524       
37     302.03        176.01        29.874       0.82677      1.664e+04    2.930e+05    6.761e+04    0.57524       
38     335.24        151.26        29.603       0.46101      1.612e+04    0.000e+00    6.404e+04    0.57524       
39     474.66        68.66         30.301       0.40901      1.646e+04    0.000e+00    6.519e+04    0.57524       
40     312.23        168.6         30.279       0.54877      1.739e+04    2.731e+04    7.025e+04    0.57524       
41     303.52        175.27        29.846       0.48909      1.612e+04    2.021e+05    6.299e+04    0.57524       
42     314.52        165.97        31.436       0.48579      1.583e+04    1.131e+04    6.456e+04    0.57524       
43     403.46        75.883        29.437       0.55077      1.690e+04    0.000e+00    6.611e+04    0.57524       
44     321.12        156.38        31.267       0.55876      1.603e+04    2.930e+05    6.545e+04    0.57524       
45     302.08        176.86        29.825       0.63817      1.760e+04    1.044e+07    6.831e+04    0.57524       
46     332.87        152.32        30.875       0.49707      1.775e+04    2.354e+05    6.990e+04    0.57524       
47     473.77        69.565        30.607       0.435        1.874e+04    0.000e+00    7.116e+04    0.57524       
48     364.2         115.89        30.596       0.77022      1.656e+04    3.990e+04    6.828e+04    0.57524       
49     313.87        160.47        30.825       0.97321      1.780e+04    3.583e+04    7.350e+04    0.57524       
50     364.36        116.17        31.604       0.63168      1.840e+04    1.318e+05    6.975e+04    0.57524       
51     409.94        67.208        28.168       1.0096       1.650e+04    0.000e+00    6.440e+04    0.57524       
52     328.42        144.26        32.63        0.89019      1.596e+04    0.000e+00    6.547e+04    0.57524       
53     301.81        172.01        31.459       0.61899      1.910e+04    2.354e+05    7.515e+04    0.57524       
54     332.49        152.08        30.739       0.72274      1.708e+04    1.044e+07    6.484e+04    0.57524       
55     469.69        70.421        30.172       0.45052      1.804e+04    2.929e+05    6.940e+04    0.57524       
56     364.12        115.97        30.646       0.59829      1.729e+04    7.009e+04    6.909e+04    0.57524       
57     313.12        161.2         31.465       0.60805      1.816e+04    0.000e+00    7.144e+04    0.57524       
58     365.31        116.25        30.598       0.52942      1.658e+04    2.390e+05    6.681e+04    0.57524       
59     410.35        67.042        28.539       0.59336      1.843e+04    0.000e+00    7.116e+04    0.57524       
60     329.01        143.66        33.265       0.67286      1.860e+04    0.000e+00    7.163e+04    0.57524       
61     304.21        171.29        30.417       0.56507      1.610e+04    0.000e+00    6.507e+04    0.57524       
62     331.59        151.51        32.084       0.52892      1.783e+04    2.929e+05    7.282e+04    0.57524       
63     469.81        70.573        28.924       0.39719      1.688e+04    1.052e+07    6.433e+04    0.57524       
