Performance Recorder: RTA_2D_Detailed_NoPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      159.09        269.59        67.7         1.0243       1.749e+04    4.279e+06    8.368e+04    0.51943       
1      176.87        264.3         37.432       1.2455       1.668e+04    1.371e+06    7.049e+04    0.51943       
2      288.6         176.17        39.784       0.97695      1.798e+04    2.130e+06    6.984e+04    0.51943       
3      265.71        186.03        26.764       0.87136      1.764e+04    3.956e+06    6.366e+04    0.51943       
4      246.9         204.38        27.348       1.4605       1.613e+04    1.130e+06    6.049e+04    0.51943       
5      245.73        205.46        27.359       1.4374       1.729e+04    1.136e+06    6.436e+04    0.51943       
6      302.51        153.81        28.14        1.3052       1.741e+04    1.122e+06    6.264e+04    0.51943       
7      369.6         118.86        27.386       0.93274      1.827e+04    1.154e+06    6.654e+04    0.51943       
8      157.76        272.33        66.228       1.1168       1.778e+04    1.371e+06    8.613e+04    0.51943       
9      174.46        266.78        37.119       1.3638       1.780e+04    3.677e+06    7.373e+04    0.51943       
10     286.49        179.37        38.114       0.89961      1.635e+04    1.923e+04    6.543e+04    0.51943       
11     263.15        187.46        27.637       0.98273      1.841e+04    1.837e+05    6.890e+04    0.51943       
12     245.33        205.63        27.397       1.5843       1.830e+04    2.988e+06    6.657e+04    0.51943       
13     245.22        206.82        26.257       1.2639       1.776e+04    3.013e+06    6.594e+04    0.51943       
14     300.2         156.32        27.86        0.983        1.676e+04    1.001e+06    6.231e+04    0.51943       
15     367.17        120.36        28.279       0.93064      1.657e+04    0.000e+00    6.038e+04    0.51943       
16     235.04        196.55        66.854       1.5197       1.728e+04    2.130e+06    8.227e+04    0.51943       
17     265.95        179.13        38.134       1.4686       1.761e+04    1.923e+04    7.301e+04    0.51943       
18     313.78        153.19        38.462       0.92153      1.667e+04    4.147e+06    6.705e+04    0.51943       
19     282.6         173.77        26.718       0.90737      1.788e+04    8.464e+04    6.318e+04    0.51943       
20     251.78        204.74        26.694       1.7419       1.858e+04    0.000e+00    6.685e+04    0.51943       
21     250.23        205.13        27.784       1.4564       1.678e+04    0.000e+00    6.254e+04    0.51943       
22     356.87        98.868        28.759       1.1531       1.661e+04    1.988e+06    6.325e+04    0.51943       
23     401.76        89.466        26.465       0.94455      1.756e+04    3.050e+06    6.567e+04    0.51943       
24     233.62        197.67        66.91        1.0409       1.779e+04    3.956e+06    8.358e+04    0.51943       
