Performance Recorder: RTA_2D_Detailed_RandPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      22.565        199.1         72.693       2.1929       1.702e+04    1.522e+06    6.700e+04    0.30707       
1      35.04         177.13        72.915       2.5472       1.691e+04    1.379e+06    6.656e+04    0.30707       
2      72.057        140.68        68.685       2.3348       1.675e+04    1.376e+06    6.656e+04    0.30707       
3      64.411        148.29        70.573       2.4601       1.691e+04    1.380e+06    6.678e+04    0.30707       
4      69.116        152.34        68.752       2.548        1.685e+04    1.383e+06    6.646e+04    0.30707       
5      59.315        154.82        71.111       2.2745       1.689e+04    1.375e+06    6.638e+04    0.30707       
6      91.821        122.16        68.297       2.1403       1.694e+04    1.373e+06    6.649e+04    0.30707       
7      57.554        174.74        69.993       2.1735       1.709e+04    1.377e+06    6.663e+04    0.30707       
8      23.051        199.6         72.027       2.174        1.700e+04    1.379e+06    6.707e+04    0.30707       
9      38.215        177.64        68.406       2.3369       1.724e+04    1.512e+06    6.725e+04    0.30707       
10     73.534        141.18        66.47        2.2296       1.712e+04    1.374e+06    6.741e+04    0.30707       
11     63.919        148.78        70.557       2.473        1.700e+04    1.373e+06    6.688e+04    0.30707       
12     68.061        152.84        69.539       2.3588       1.714e+04    1.379e+06    6.700e+04    0.30707       
13     59.259        155.3         70.445       2.2961       1.705e+04    1.376e+06    6.723e+04    0.30707       
14     94.356        122.66        64.817       2.1153       1.680e+04    1.373e+06    6.669e+04    0.30707       
15     57.609        175.24        69.408       2.1416       1.696e+04    1.380e+06    6.708e+04    0.30707       
16     25.529        200.29        71.126       2.2161       1.766e+04    1.376e+06    6.846e+04    0.30707       
17     49.328        173.45        71.56        2.5168       1.757e+04    1.374e+06    6.842e+04    0.30707       
18     68.185        155.65        68.538       2.6273       1.750e+04    1.519e+06    6.853e+04    0.30707       
19     58.518        164.84        71.257       3.6597       1.756e+04    1.380e+06    6.869e+04    0.30707       
20     75.848        134.35        70.997       2.2243       1.749e+04    1.383e+06    6.847e+04    0.30707       
21     47.1          170.02        68.142       2.2901       1.766e+04    1.382e+06    6.873e+04    0.30707       
22     72.564        143.68        66.308       2.2093       1.771e+04    1.382e+06    6.863e+04    0.30707       
23     76.77         151.02        68.143       2.8512       1.754e+04    1.381e+06    6.832e+04    0.30707       
24     27.716        200.02        69.033       2.2007       1.744e+04    1.380e+06    6.797e+04    0.30707       
25     49.855        173.22        71.212       2.4495       1.741e+04    1.373e+06    6.806e+04    0.30707       
26     68.458        155.39        68.061       2.5123       1.749e+04    1.380e+06    6.803e+04    0.30707       
27     58.692        164.57        71.338       3.1738       1.743e+04    1.511e+06    6.799e+04    0.30707       
28     77.254        134.08        69.773       2.157        1.716e+04    1.378e+06    6.759e+04    0.30707       
29     47.145        169.77        68.398       2.1787       1.763e+04    1.375e+06    6.859e+04    0.30707       
30     72.771        143.41        66.384       2.1757       1.743e+04    1.377e+06    6.810e+04    0.30707       
31     74.746        150.75        71.018       2.8064       1.763e+04    1.375e+06    6.821e+04    0.30707       
32     60.079        159.63        70.351       2.6742       1.792e+04    1.383e+06    6.837e+04    0.30707       
33     68.079        159.55        66.697       2.216        1.766e+04    1.379e+06    6.826e+04    0.30707       
34     59.911        158.19        73.754       2.5322       1.790e+04    1.383e+06    6.901e+04    0.30707       
35     63.291        152.83        67.517       2.5204       1.790e+04    1.378e+06    6.868e+04    0.30707       
36     77.279        133.77        69.618       2.4829       1.785e+04    1.523e+06    6.893e+04    0.30707       
37     33.54         180.66        71.341       2.1638       1.765e+04    1.387e+06    6.822e+04    0.30707       
38     78.408        136.48        67.65        2.3165       1.796e+04    1.378e+06    6.836e+04    0.30707       
39     58.021        174.86        70.229       2.1732       1.755e+04    1.385e+06    6.803e+04    0.30707       
40     58.724        160.17        71.403       2.5508       1.680e+04    1.375e+06    6.613e+04    0.30707       
41     66.303        160.09        68.122       2.1721       1.675e+04    1.376e+06    6.594e+04    0.30707       
42     60.339        158.73        72.787       2.4498       1.692e+04    1.382e+06    6.626e+04    0.30707       
43     62.621        153.37        67.622       2.111        1.680e+04    1.375e+06    6.603e+04    0.30707       
44     75.184        134.3         71.363       2.247        1.691e+04    1.387e+06    6.662e+04    0.30707       
45     34.534        181.2         69.556       2.2          1.684e+04    1.521e+06    6.594e+04    0.30707       
46     78.384        137.02        67.168       2.2915       1.677e+04    1.378e+06    6.639e+04    0.30707       
47     59.088        175.42        68.653       2.0805       1.677e+04    1.376e+06    6.615e+04    0.30707       
48     67.188        151.52        69.685       2.4154       1.684e+04    1.373e+06    6.590e+04    0.30707       
49     60.207        167.22        67.176       2.2866       1.700e+04    1.373e+06    6.606e+04    0.30707       
50     57.789        164.43        71.281       2.6135       1.706e+04    1.382e+06    6.592e+04    0.30707       
51     79.905        145.49        68.691       2.5068       1.698e+04    1.377e+06    6.577e+04    0.30707       
52     68.229        151.93        72.408       2.6378       1.720e+04    1.378e+06    6.650e+04    0.30707       
53     52.723        162.16        71.088       2.0877       1.703e+04    1.378e+06    6.609e+04    0.30707       
54     104.98        111.6         66.167       2.2199       1.704e+04    1.511e+06    6.599e+04    0.30707       
55     38.465        195.62        69.598       2.2045       1.706e+04    1.373e+06    6.590e+04    0.30707       
56     67.158        151.49        69.805       2.4134       1.718e+04    1.377e+06    6.746e+04    0.30707       
57     59.778        167.24        67.517       2.3478       1.731e+04    1.380e+06    6.790e+04    0.30707       
58     58.461        164.41        70.313       2.6661       1.712e+04    1.381e+06    6.754e+04    0.30707       
59     78.578        145.47        70.279       2.5763       1.727e+04    1.375e+06    6.779e+04    0.30707       
60     71.02         151.92        69.062       2.7149       1.724e+04    1.385e+06    6.796e+04    0.30707       
61     53.502        162.13        70.294       2.1559       1.710e+04    1.376e+06    6.728e+04    0.30707       
62     104.77        111.58        66.271       2.2539       1.720e+04    1.373e+06    6.758e+04    0.30707       
63     38.103        195.61        70.212       2.3101       1.726e+04    1.516e+06    6.724e+04    0.30707       
