Performance Recorder: AA_1D_Detailed_GPPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      33.379       19.58        29.588       7.660e+05    12.256           8.413e+05   13.461          7.660e+05   12.256      2.384e+06   38.146      0.11076       
1      33.379       19.595       30.013       7.655e+05    12.249           8.633e+05   13.812          7.655e+05   12.249      2.381e+06   38.098      0.11076       
2      33.379       19.573       28.61        7.397e+05    11.836           8.171e+05   13.073          7.397e+05   11.836      2.306e+06   36.893      0.11076       
3      33.378       19.599       35.148       7.281e+05    11.649           7.927e+05   12.684          7.281e+05   11.649      2.296e+06   36.736      0.11076       
4      33.379       19.563       35.981       7.225e+05    11.56            7.987e+05   12.779          7.225e+05   11.56       2.266e+06   36.249      0.11076       
5      33.376       19.556       35.377       7.479e+05    11.967           8.296e+05   13.273          7.479e+05   11.967      2.333e+06   37.325      0.11076       
6      33.38        19.566       37.12        7.579e+05    12.126           8.199e+05   13.119          7.579e+05   12.126      2.368e+06   37.884      0.11076       
7      33.373       19.568       35.921       7.482e+05    11.971           8.285e+05   13.256          7.482e+05   11.971      2.341e+06   37.449      0.11076       
8      33.379       19.574       30.241       7.356e+05    11.769           8.208e+05   13.133          7.356e+05   11.769      2.294e+06   36.708      0.11076       
9      33.38        19.59        27.479       6.512e+05    10.419           7.333e+05   11.732          6.512e+05   10.419      2.032e+06   32.516      0.11076       
10     33.378       19.591       30.797       7.237e+05    11.579           8.267e+05   13.227          7.237e+05   11.579      2.270e+06   36.322      0.11076       
11     33.379       19.579       32.064       6.601e+05    10.562           7.394e+05   11.83           6.601e+05   10.562      2.078e+06   33.256      0.11076       
12     33.371       19.598       35.007       7.323e+05    11.717           8.163e+05   13.06           7.323e+05   11.717      2.308e+06   36.933      0.11076       
13     33.37        19.592       34.8         7.528e+05    12.045           8.265e+05   13.225          7.528e+05   12.045      2.346e+06   37.532      0.11076       
14     33.373       19.578       37.15        7.442e+05    11.907           8.365e+05   13.384          7.442e+05   11.907      2.337e+06   37.395      0.11076       
15     33.372       19.624       35.098       7.359e+05    11.774           8.170e+05   13.072          7.359e+05   11.774      2.294e+06   36.706      0.11076       
16     33.38        19.581       29.688       6.866e+05    10.985           7.672e+05   12.275          6.866e+05   10.985      2.151e+06   34.423      0.11076       
17     33.379       19.574       33.409       7.380e+05    11.809           8.250e+05   13.2            7.380e+05   11.809      2.315e+06   37.046      0.11076       
18     33.38        19.587       28.623       7.080e+05    11.329           8.431e+05   13.49           7.080e+05   11.329      2.233e+06   35.733      0.11076       
19     33.379       19.583       34.073       7.598e+05    12.156           8.526e+05   13.642          7.598e+05   12.156      2.370e+06   37.918      0.11076       
20     33.378       19.568       31.642       7.514e+05    12.022           8.381e+05   13.409          7.514e+05   12.022      2.345e+06   37.515      0.11076       
21     33.376       19.562       33.892       7.637e+05    12.22            8.629e+05   13.806          7.637e+05   12.22       2.388e+06   38.209      0.11076       
22     33.378       19.568       36.235       7.588e+05    12.14            8.424e+05   13.479          7.588e+05   12.14       2.380e+06   38.085      0.11076       
23     33.377       19.59        35.411       7.474e+05    11.959           8.307e+05   13.29           7.474e+05   11.959      2.335e+06   37.359      0.11076       
24     33.38        19.606       35.19        7.534e+05    12.054           8.283e+05   13.253          7.534e+05   12.054      2.357e+06   37.706      0.11076       
25     33.377       19.586       32.437       6.947e+05    11.115           7.747e+05   12.395          6.947e+05   11.115      2.178e+06   34.845      0.11076       
26     33.38        19.577       32.532       7.194e+05    11.51            7.974e+05   12.758          7.194e+05   11.51       2.269e+06   36.312      0.11076       
27     33.378       19.609       33.859       7.551e+05    12.082           8.454e+05   13.527          7.551e+05   12.082      2.358e+06   37.731      0.11076       
28     33.372       19.599       33.246       7.464e+05    11.943           8.255e+05   13.207          7.464e+05   11.943      2.327e+06   37.224      0.11076       
29     33.374       19.594       32.03        7.630e+05    12.207           8.475e+05   13.56           7.630e+05   12.207      2.378e+06   38.046      0.11076       
30     33.374       19.604       31.132       7.259e+05    11.614           8.096e+05   12.954          7.259e+05   11.614      2.269e+06   36.307      0.11076       
31     33.373       19.635       28.038       6.843e+05    10.948           7.491e+05   11.986          6.843e+05   10.948      2.129e+06   34.057      0.11076       
32     33.375       19.622       34.045       7.468e+05    11.949           8.501e+05   13.601          7.468e+05   11.949      2.341e+06   37.462      0.11076       
33     33.377       19.581       28.713       6.197e+05    9.9152           7.176e+05   11.482          6.197e+05   9.9152      1.927e+06   30.836      0.11076       
34     33.375       19.593       27.972       6.405e+05    10.248           7.152e+05   11.443          6.405e+05   10.248      1.995e+06   31.925      0.11076       
35     33.375       19.608       31.202       7.235e+05    11.577           7.965e+05   12.745          7.235e+05   11.577      2.260e+06   36.167      0.11076       
36     33.38        19.576       31.1         7.422e+05    11.874           8.333e+05   13.333          7.422e+05   11.874      2.313e+06   37.009      0.11076       
37     33.375       19.588       32.722       7.298e+05    11.676           8.259e+05   13.214          7.298e+05   11.676      2.273e+06   36.363      0.11076       
38     33.38        19.587       34.747       7.602e+05    12.164           8.345e+05   13.352          7.602e+05   12.164      2.375e+06   37.993      0.11076       
39     33.376       19.59        31.299       7.035e+05    11.257           7.870e+05   12.592          7.035e+05   11.257      2.209e+06   35.339      0.11076       
40     33.376       19.594       35.272       7.285e+05    11.657           7.988e+05   12.78           7.285e+05   11.657      2.289e+06   36.626      0.11076       
41     33.376       19.639       34.602       7.359e+05    11.775           8.285e+05   13.256          7.359e+05   11.775      2.313e+06   37.002      0.11076       
