Performance Recorder: AA_1D_Detailed_NoPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      22.883       478.09       80.942       3.091e+06    49.451           1.077e+07   172.32          3.091e+06   49.451      9.330e+06   149.27      0.6376        
1      22.881       478.08       75.746       3.006e+06    48.098           7.270e+06   116.32          3.006e+06   48.098      9.327e+06   149.23      0.6376        
2      22.881       478.09       73.605       2.887e+06    46.192           8.255e+06   132.08          2.887e+06   46.192      9.096e+06   145.54      0.6376        
3      22.88        478.11       69.952       2.717e+06    43.466           7.420e+06   118.72          2.717e+06   43.466      8.750e+06   139.99      0.6376        
4      22.883       478.1        82.431       3.069e+06    49.101           2.210e+07   353.53          3.069e+06   49.101      9.375e+06   150         0.6376        
5      22.881       478.13       80.225       3.136e+06    50.173           1.327e+07   212.39          3.136e+06   50.173      9.416e+06   150.66      0.6376        
6      22.881       478.08       77.933       3.109e+06    49.74            1.121e+07   179.41          3.109e+06   49.74       9.468e+06   151.48      0.6376        
7      22.881       478.1        74.57        2.968e+06    47.49            1.219e+07   195.09          2.968e+06   47.49       9.252e+06   148.04      0.6376        
8      22.882       478.09       76.044       3.013e+06    48.202           1.422e+07   227.53          3.013e+06   48.202      9.289e+06   148.63      0.6376        
9      22.88        478.1        75.659       2.940e+06    47.043           1.405e+07   224.87          2.940e+06   47.043      9.216e+06   147.46      0.6376        
10     22.881       478.1        70.911       2.876e+06    46.019           1.377e+07   220.37          2.876e+06   46.019      9.105e+06   145.69      0.6376        
11     22.879       478.13       74.791       2.906e+06    46.49            1.490e+07   238.4           2.906e+06   46.49       9.083e+06   145.33      0.6376        
12     22.883       478.09       74.001       2.856e+06    45.697           1.284e+07   205.39          2.856e+06   45.697      9.005e+06   144.09      0.6376        
13     22.883       478.12       73.298       2.747e+06    43.95            1.225e+07   196.04          2.747e+06   43.95       8.836e+06   141.38      0.6376        
14     22.883       478.09       69.805       2.628e+06    42.052           1.279e+07   204.63          2.628e+06   42.052      8.520e+06   136.32      0.6376        
15     22.882       478.1        65.925       2.575e+06    41.197           1.037e+07   165.86          2.575e+06   41.197      8.354e+06   133.66      0.6376        
