Performance Recorder: AA_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      64.95        967.72       111.29       7.278e+05    11.645           4.641e+07   742.58          7.278e+05   11.645      2.272e+06   36.345      1.1671        
1      64.944       967.7        109.97       7.267e+05    11.627           4.640e+07   742.4           7.267e+05   11.627      2.271e+06   36.329      1.1671        
2      64.946       967.7        112.1        7.254e+05    11.606           4.639e+07   742.23          7.254e+05   11.606      2.269e+06   36.299      1.1671        
3      64.946       967.71       111.99       7.272e+05    11.635           4.637e+07   741.84          7.272e+05   11.635      2.274e+06   36.379      1.1671        
4      64.945       967.71       110.91       7.259e+05    11.614           4.640e+07   742.35          7.259e+05   11.614      2.271e+06   36.336      1.1671        
5      64.944       967.72       110.57       7.269e+05    11.63            4.638e+07   742.11          7.269e+05   11.63       2.272e+06   36.352      1.1671        
6      64.945       967.73       110.98       7.259e+05    11.614           4.639e+07   742.19          7.259e+05   11.614      2.272e+06   36.347      1.1671        
7      64.946       967.75       111.21       7.275e+05    11.64            4.639e+07   742.31          7.275e+05   11.64       2.273e+06   36.374      1.1671        
8      64.945       967.76       110.83       7.276e+05    11.642           4.641e+07   742.63          7.276e+05   11.642      2.273e+06   36.375      1.1671        
9      64.944       967.75       111.14       7.266e+05    11.626           4.639e+07   742.26          7.266e+05   11.626      2.271e+06   36.331      1.1671        
10     64.944       967.72       112.25       7.267e+05    11.628           4.639e+07   742.19          7.267e+05   11.628      2.273e+06   36.362      1.1671        
11     64.943       967.73       111.71       7.281e+05    11.649           4.640e+07   742.34          7.281e+05   11.649      2.272e+06   36.353      1.1671        
12     64.947       967.72       110.42       7.260e+05    11.616           4.641e+07   742.5           7.260e+05   11.616      2.270e+06   36.316      1.1671        
13     64.944       967.79       110.16       7.260e+05    11.616           4.642e+07   742.75          7.260e+05   11.616      2.274e+06   36.383      1.1671        
14     64.947       967.74       111.43       7.271e+05    11.633           4.638e+07   742.16          7.271e+05   11.633      2.275e+06   36.392      1.1671        
15     64.945       967.73       110.92       7.271e+05    11.634           4.639e+07   742.24          7.271e+05   11.634      2.271e+06   36.33       1.1671        
16     64.946       967.7        110.87       7.270e+05    11.632           4.643e+07   742.85          7.270e+05   11.632      2.273e+06   36.36       1.1671        
17     64.943       967.7        110.67       7.264e+05    11.622           4.638e+07   742.12          7.264e+05   11.622      2.271e+06   36.338      1.1671        
18     64.945       967.71       111.94       7.274e+05    11.638           4.638e+07   742.08          7.274e+05   11.638      2.274e+06   36.386      1.1671        
19     64.944       967.73       111.05       7.272e+05    11.635           4.639e+07   742.23          7.272e+05   11.635      2.275e+06   36.4        1.1671        
20     64.945       967.71       110.44       7.272e+05    11.635           4.640e+07   742.35          7.272e+05   11.635      2.273e+06   36.375      1.1671        
21     64.942       967.71       111.12       7.273e+05    11.637           4.639e+07   742.22          7.273e+05   11.637      2.274e+06   36.382      1.1671        
22     64.946       967.73       111.38       7.275e+05    11.639           4.642e+07   742.72          7.275e+05   11.639      2.277e+06   36.425      1.1671        
23     64.944       967.73       111.37       7.282e+05    11.651           4.641e+07   742.53          7.282e+05   11.651      2.272e+06   36.347      1.1671        
24     64.943       967.73       110.49       7.259e+05    11.615           4.640e+07   742.41          7.259e+05   11.615      2.272e+06   36.347      1.1671        
25     64.941       967.75       110.2        7.246e+05    11.594           4.639e+07   742.26          7.246e+05   11.594      2.265e+06   36.247      1.1671        
26     64.942       967.73       110.63       7.276e+05    11.642           4.640e+07   742.41          7.276e+05   11.642      2.276e+06   36.414      1.1671        
27     64.942       967.75       111.22       7.264e+05    11.623           4.640e+07   742.34          7.264e+05   11.623      2.270e+06   36.312      1.1671        
28     64.945       967.74       110.42       7.269e+05    11.631           4.641e+07   742.54          7.269e+05   11.631      2.273e+06   36.37       1.1671        
29     64.942       967.74       111.24       7.290e+05    11.665           4.642e+07   742.67          7.290e+05   11.665      2.278e+06   36.443      1.1671        
30     64.946       967.77       111.1        7.261e+05    11.617           4.639e+07   742.17          7.261e+05   11.617      2.269e+06   36.307      1.1671        
31     64.943       967.75       110.93       7.276e+05    11.641           4.641e+07   742.5           7.276e+05   11.641      2.273e+06   36.375      1.1671        
32     64.944       967.71       110.64       7.260e+05    11.616           4.639e+07   742.32          7.260e+05   11.616      2.271e+06   36.329      1.1671        
33     64.944       967.75       110          7.281e+05    11.65            4.640e+07   742.38          7.281e+05   11.65       2.271e+06   36.341      1.1671        
34     64.945       967.7        111.26       7.272e+05    11.635           4.640e+07   742.45          7.272e+05   11.635      2.272e+06   36.354      1.1671        
35     64.943       967.72       110.89       7.265e+05    11.623           4.640e+07   742.33          7.265e+05   11.623      2.271e+06   36.33       1.1671        
36     64.943       967.72       110.3        7.279e+05    11.646           4.641e+07   742.62          7.279e+05   11.646      2.277e+06   36.425      1.1671        
37     64.943       967.75       110.16       7.266e+05    11.626           4.639e+07   742.21          7.266e+05   11.626      2.271e+06   36.342      1.1671        
38     64.943       967.74       110.77       7.269e+05    11.63            4.642e+07   742.67          7.269e+05   11.63       2.270e+06   36.323      1.1671        
39     64.944       967.73       111.57       7.244e+05    11.59            4.640e+07   742.32          7.244e+05   11.59       2.266e+06   36.261      1.1671        
40     64.945       967.72       110.52       7.263e+05    11.62            4.640e+07   742.35          7.263e+05   11.62       2.272e+06   36.347      1.1671        
41     64.943       967.72       110.96       7.283e+05    11.654           4.640e+07   742.47          7.283e+05   11.654      2.274e+06   36.388      1.1671        
