Performance Recorder: AA_2D_Detailed_NoPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      202.28        37.91         285.81       206.74       1.139e+07    1.139e+07    3.522e+07    1.6309        
1      495.16        577.65        52.352       18.659       3.147e+05    3.147e+05    1.282e+06    1.6309        
2      505.28        608.07        4.2772       0.00026      0.000e+00    0.000e+00    0.000e+00    1.6309        
3      505.26        624.6         3.0573       0.00013      0.000e+00    0.000e+00    0.000e+00    1.6309        
4      653.38        217.55        40.714       11.258       3.147e+05    3.147e+05    1.282e+06    1.6309        
5      430.98        438.6         268.53       183          9.308e+06    9.308e+06    2.764e+07    1.6309        
6      780.53        253.86        88.769       44.457       1.567e+06    1.567e+06    5.133e+06    1.6309        
7      851.3         261.98        58.383       29.191       1.092e+06    1.092e+06    3.454e+06    1.6309        
8      603.33        469.27        1.3874       0.000171     0.000e+00    0.000e+00    0.000e+00    1.6309        
9      542.34        502.4         86.699       49.157       1.567e+06    1.567e+06    5.133e+06    1.6309        
10     573.26        315.74        246.41       184.88       8.564e+06    8.564e+06    2.604e+07    1.6309        
11     780.37        321.5         80.353       43.48        1.604e+06    1.604e+06    5.525e+06    1.6309        
12     628.46        486.9         1.3777       0.00012      0.000e+00    0.000e+00    0.000e+00    1.6309        
13     401.43        675.29        70.62        27.007       1.092e+06    1.092e+06    3.454e+06    1.6309        
14     575.28        483.49        91.23        47.676       1.604e+06    1.604e+06    5.525e+06    1.6309        
15     580.51        486.33        246.52       193.56       8.109e+06    8.109e+06    2.573e+07    1.6309        
