Performance Recorder: AA_2D_Detailed_RandPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      201.5         352.8         160.75       94.011       8.274e+05    8.274e+05    2.369e+06    0.83784       
1      247           313.01        153.88       89.466       7.110e+05    7.110e+05    2.254e+06    0.83784       
2      232.51        326.56        149.39       88.563       7.175e+05    7.175e+05    2.263e+06    0.83784       
3      221.39        330.96        157.69       88.335       7.142e+05    7.142e+05    2.263e+06    0.83784       
4      211.51        339.07        164.08       88.592       7.082e+05    7.082e+05    2.253e+06    0.83784       
5      199.16        341.59        163.01       89.475       7.110e+05    7.110e+05    2.257e+06    0.83784       
6      206.56        342.29        163.32       87.093       7.082e+05    7.082e+05    2.253e+06    0.83784       
7      200.15        351.18        168.22       86.425       7.159e+05    7.159e+05    2.260e+06    0.83784       
8      276.62        268.51        170.71       90.166       7.110e+05    7.110e+05    2.254e+06    0.83784       
9      340.83        228.15        145.61       93.466       8.269e+05    8.269e+05    2.375e+06    0.83784       
10     312.39        243           154.05       93.744       7.113e+05    7.113e+05    2.256e+06    0.83784       
11     303.84        247.7         158.09       89.674       7.112e+05    7.112e+05    2.258e+06    0.83784       
12     296.7         256.02        161.49       103.07       7.129e+05    7.129e+05    2.257e+06    0.83784       
13     224.37        257.83        221.59       89.374       7.111e+05    7.111e+05    2.253e+06    0.83784       
14     290.04        258.73        163.4        88.394       7.183e+05    7.183e+05    2.268e+06    0.83784       
15     283.58        267.29        167.4        86.98        7.125e+05    7.125e+05    2.256e+06    0.83784       
16     289.45        257.77        167.07       89.402       7.175e+05    7.175e+05    2.263e+06    0.83784       
17     311.22        246.99        160.78       87.23        7.113e+05    7.113e+05    2.256e+06    0.83784       
18     308.92        253.29        155.33       95.128       8.342e+05    8.342e+05    2.383e+06    0.83784       
19     306.23        245.27        158.03       88.181       7.102e+05    7.102e+05    2.256e+06    0.83784       
20     281.11        265.15        165.17       88.86        7.074e+05    7.074e+05    2.252e+06    0.83784       
21     275.21        265.51        162.91       88.377       7.164e+05    7.164e+05    2.265e+06    0.83784       
22     285.86        265.93        167.06       88.704       7.109e+05    7.109e+05    2.257e+06    0.83784       
23     280.04        271.12        169.04       87.337       7.102e+05    7.102e+05    2.256e+06    0.83784       
24     277.81        267.97        168.46       90.845       7.142e+05    7.142e+05    2.263e+06    0.83784       
25     305.05        258.41        156.05       87.688       7.112e+05    7.112e+05    2.258e+06    0.83784       
26     289.41        265.76        162.29       91.195       7.102e+05    7.102e+05    2.256e+06    0.83784       
27     308.08        255.7         145.52       95.548       8.312e+05    8.312e+05    2.374e+06    0.83784       
28     272.07        276.77        162.1        89.802       7.141e+05    7.141e+05    2.257e+06    0.83784       
29     262.35        276.27        164.92       88.312       7.116e+05    7.116e+05    2.257e+06    0.83784       
30     275.57        276.92        165.85       89.393       7.096e+05    7.096e+05    2.255e+06    0.83784       
31     266.67        281.8         169.88       88.032       7.120e+05    7.120e+05    2.257e+06    0.83784       
32     235.62        311.35        169.93       91.798       7.082e+05    7.082e+05    2.253e+06    0.83784       
33     256.27        301.07        161.61       87.23        7.129e+05    7.129e+05    2.257e+06    0.83784       
34     244.27        306.78        157.91       88.749       7.074e+05    7.074e+05    2.252e+06    0.83784       
35     257.62        295.31        156.88       91.028       7.141e+05    7.141e+05    2.257e+06    0.83784       
36     252.98        305.57        156.58       96.499       8.314e+05    8.314e+05    2.374e+06    0.83784       
37     232.02        310.16        161.22       88.762       7.154e+05    7.154e+05    2.263e+06    0.83784       
38     247.45        305.7         159.4        88.945       7.109e+05    7.109e+05    2.256e+06    0.83784       
39     232.78        319.63        166.68       87.104       7.133e+05    7.133e+05    2.257e+06    0.83784       
40     257.35        288.84        170.55       91.417       7.110e+05    7.110e+05    2.257e+06    0.83784       
41     277.73        278.71        162.18       92.056       7.111e+05    7.111e+05    2.253e+06    0.83784       
42     262.5         284.72        161.62       89.926       7.164e+05    7.164e+05    2.265e+06    0.83784       
43     280.19        272.37        157.1        89.779       7.116e+05    7.116e+05    2.257e+06    0.83784       
44     270.99        283.7         159.16       94.199       7.154e+05    7.154e+05    2.263e+06    0.83784       
45     262.27        287.75        154.56       96.52        8.301e+05    8.301e+05    2.375e+06    0.83784       
46     266.77        286.83        157.83       90.807       7.113e+05    7.113e+05    2.253e+06    0.83784       
47     253.97        300.73        163.71       87.085       7.127e+05    7.127e+05    2.260e+06    0.83784       
48     284.05        260.87        170.27       92.457       7.082e+05    7.082e+05    2.253e+06    0.83784       
49     315.74        240.24        155.95       106.83       7.183e+05    7.183e+05    2.268e+06    0.83784       
50     295.31        260.42        159.8        88.631       7.109e+05    7.109e+05    2.257e+06    0.83784       
51     301.08        255.27        161.32       86.198       7.096e+05    7.096e+05    2.255e+06    0.83784       
52     284.76        268.01        165.8        89.275       7.109e+05    7.109e+05    2.256e+06    0.83784       
53     279.72        261.44        162.84       85.012       7.113e+05    7.113e+05    2.253e+06    0.83784       
54     289.99        268.3         160.23       96.588       8.322e+05    8.322e+05    2.379e+06    0.83784       
55     275.99        275.11        168.45       86.52        7.078e+05    7.078e+05    2.253e+06    0.83784       
56     300.12        246.58        168.77       89.185       7.159e+05    7.159e+05    2.260e+06    0.83784       
57     332           224.99        155.64       113.31       7.125e+05    7.125e+05    2.256e+06    0.83784       
