Performance Recorder: CBC_RTA_1D_Detailed_GPPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      28.67        2.547        5.6082       1.604e+04    0.2567           1.754e+04   0.28064         7.660e+05   12.256      3.929e+04   0.62867     0.038692      
1      28.67        2.5381       5.3019       1.586e+04    0.25368          1.777e+04   0.28427         7.655e+05   12.249      3.876e+04   0.62013     0.038692      
2      28.67        2.5438       5.711        1.535e+04    0.24562          1.689e+04   0.27019         7.397e+05   11.836      3.749e+04   0.5999      0.038692      
3      28.668       2.5342       5.8251       1.487e+04    0.23789          1.610e+04   0.25766         7.281e+05   11.649      3.636e+04   0.58184     0.038692      
4      28.668       2.5227       6.1276       1.476e+04    0.23621          1.619e+04   0.25902         7.225e+05   11.56       3.663e+04   0.5861      0.038692      
5      28.668       2.5301       5.6566       1.527e+04    0.24438          1.687e+04   0.26986         7.479e+05   11.967      3.748e+04   0.59965     0.038692      
6      28.669       2.5299       5.8443       1.547e+04    0.24752          1.669e+04   0.26698         7.579e+05   12.126      3.760e+04   0.60166     0.038692      
7      28.668       2.5385       5.7892       1.527e+04    0.24427          1.682e+04   0.26907         7.482e+05   11.971      3.728e+04   0.59651     0.038692      
8      28.668       2.5574       5.9508       1.510e+04    0.24158          1.678e+04   0.26846         7.356e+05   11.769      3.669e+04   0.58699     0.038692      
9      28.669       2.563        5.495        1.329e+04    0.21269          1.490e+04   0.23842         6.512e+05   10.419      3.261e+04   0.5217      0.038692      
10     28.668       2.5873       5.5633       1.477e+04    0.23632          1.679e+04   0.2687          7.237e+05   11.579      3.616e+04   0.57859     0.038692      
11     28.668       2.5543       5.7174       1.347e+04    0.21549          1.504e+04   0.24064         6.601e+05   10.562      3.310e+04   0.52954     0.038692      
12     28.668       2.5475       6.2911       1.498e+04    0.23968          1.662e+04   0.26589         7.323e+05   11.717      3.617e+04   0.5787      0.038692      
13     28.669       2.566        5.8375       1.542e+04    0.24674          1.687e+04   0.26998         7.528e+05   12.045      3.772e+04   0.60357     0.038692      
14     28.669       2.5589       6.2405       1.520e+04    0.24315          1.699e+04   0.27182         7.442e+05   11.907      3.707e+04   0.59315     0.038692      
15     28.667       2.5636       5.6233       1.502e+04    0.24024          1.661e+04   0.26582         7.359e+05   11.774      3.669e+04   0.58699     0.038692      
16     28.669       2.5223       6.0042       1.399e+04    0.22389          1.558e+04   0.24922         6.866e+05   10.985      3.429e+04   0.54869     0.038692      
17     28.669       2.5324       6.4303       1.514e+04    0.24226          1.687e+04   0.26992         7.380e+05   11.809      3.717e+04   0.59472     0.038692      
18     28.667       2.5237       5.9052       1.444e+04    0.23106          1.703e+04   0.27246         7.080e+05   11.329      3.498e+04   0.55966     0.038692      
19     28.669       2.5119       5.7372       1.582e+04    0.25312          1.769e+04   0.28302         7.598e+05   12.156      3.867e+04   0.61875     0.038692      
20     28.67        2.5313       5.8867       1.569e+04    0.25099          1.744e+04   0.27901         7.514e+05   12.022      3.860e+04   0.61758     0.038692      
21     28.667       2.5494       6.1862       1.575e+04    0.252            1.767e+04   0.28272         7.637e+05   12.22       3.897e+04   0.62346     0.038692      
22     28.669       2.5251       6.3078       1.548e+04    0.24774          1.712e+04   0.2739          7.588e+05   12.14       3.808e+04   0.60928     0.038692      
23     28.669       2.5375       6.4517       1.527e+04    0.24438          1.690e+04   0.27048         7.474e+05   11.959      3.715e+04   0.59438     0.038692      
24     28.669       2.5425       6.0017       1.538e+04    0.24606          1.687e+04   0.26987         7.534e+05   12.054      3.760e+04   0.60155     0.038692      
25     28.668       2.5446       6.2014       1.420e+04    0.22725          1.580e+04   0.25285         6.947e+05   11.115      3.492e+04   0.55866     0.038692      
26     28.668       2.5183       5.8261       1.469e+04    0.23509          1.622e+04   0.25954         7.194e+05   11.51       3.578e+04   0.57243     0.038692      
27     28.667       2.5911       6.2649       1.541e+04    0.24662          1.716e+04   0.27464         7.551e+05   12.082      3.826e+04   0.61208     0.038692      
28     28.669       2.5213       6.1864       1.523e+04    0.24371          1.678e+04   0.26854         7.464e+05   11.943      3.686e+04   0.58968     0.038692      
29     28.669       2.5495       6.253        1.560e+04    0.2496           1.727e+04   0.27634         7.630e+05   12.207      3.834e+04   0.61341     0.038692      
30     28.67        2.5405       5.6955       1.482e+04    0.2371           1.641e+04   0.26258         7.259e+05   11.614      3.653e+04   0.58442     0.038692      
31     28.669       2.5516       5.9491       1.400e+04    0.22397          1.529e+04   0.2447          6.843e+05   10.948      3.430e+04   0.5488      0.038692      
32     28.67        2.5369       6.2735       1.525e+04    0.24394          1.726e+04   0.27624         7.468e+05   11.949      3.681e+04   0.5889      0.038692      
33     28.67        2.527        5.4327       1.265e+04    0.20238          1.457e+04   0.23317         6.197e+05   9.9152      3.105e+04   0.49683     0.038692      
34     28.671       2.5367       5.7766       1.308e+04    0.20922          1.452e+04   0.23238         6.405e+05   10.248      3.194e+04   0.51106     0.038692      
35     28.668       2.5473       5.5307       1.481e+04    0.23699          1.628e+04   0.26056         7.235e+05   11.577      3.614e+04   0.57832     0.038692      
36     28.669       2.5172       6.3997       1.514e+04    0.24226          1.691e+04   0.27054         7.422e+05   11.874      3.738e+04   0.59808     0.038692      
37     28.668       2.523        5.8302       1.490e+04    0.23834          1.676e+04   0.26816         7.298e+05   11.676      3.680e+04   0.58878     0.038692      
38     28.67        2.5184       6.9534       1.553e+04    0.24842          1.697e+04   0.27152         7.602e+05   12.164      3.782e+04   0.60514     0.038692      
39     28.668       2.533        6.0975       1.443e+04    0.23094          1.602e+04   0.25629         7.035e+05   11.257      3.543e+04   0.56683     0.038692      
40     28.668       2.5581       6.6569       1.486e+04    0.23778          1.623e+04   0.25968         7.285e+05   11.657      3.646e+04   0.58341     0.038692      
41     28.667       2.5347       5.5581       1.502e+04    0.24037          1.685e+04   0.26958         7.359e+05   11.775      3.662e+04   0.586       0.038692      
42     28.669       2.5399       6.6991       1.504e+04    0.24058          1.627e+04   0.26026         7.314e+05   11.702      3.670e+04   0.5872      0.038692      
43     28.668       2.5523       5.4656       1.380e+04    0.22075          1.535e+04   0.24558         6.754e+05   10.806      3.375e+04   0.54006     0.038692      
44     28.658       2.5567       6.4186       1.516e+04    0.24259          1.700e+04   0.27198         7.427e+05   11.884      3.774e+04   0.60379     0.038692      
45     28.656       2.5654       5.3372       1.441e+04    0.23061          1.640e+04   0.26232         7.061e+05   11.297      3.576e+04   0.5721      0.038692      
46     28.659       2.5425       6.4643       1.550e+04    0.24808          1.735e+04   0.27765         7.598e+05   12.157      3.829e+04   0.61264     0.038692      
47     28.657       2.5872       5.3788       1.448e+04    0.23162          1.631e+04   0.26101         7.090e+05   11.344      3.541e+04   0.5665      0.038692      
48     28.668       2.5362       5.9646       1.541e+04    0.24662          1.736e+04   0.27779         7.538e+05   12.06       3.784e+04   0.60536     0.038692      
49     28.668       2.5243       6.126        1.418e+04    0.22685          1.608e+04   0.25731         6.932e+05   11.091      3.480e+04   0.55675     0.038692      
50     28.667       2.546        5.685        1.380e+04    0.22075          1.525e+04   0.24398         6.751e+05   10.801      3.382e+04   0.54107     0.038692      
51     28.667       2.5401       6.2481       1.429e+04    0.2287           1.602e+04   0.25635         6.940e+05   11.104      3.483e+04   0.55731     0.038692      
52     28.667       2.5342       5.801        1.505e+04    0.2408           1.653e+04   0.26451         7.364e+05   11.782      3.723e+04   0.59562     0.038692      
53     28.666       2.5315       6.1158       1.455e+04    0.23274          1.612e+04   0.258           7.114e+05   11.383      3.577e+04   0.57232     0.038692      
54     28.666       2.5621       5.9679       1.555e+04    0.24886          1.692e+04   0.27077         7.617e+05   12.186      3.790e+04   0.60637     0.038692      
55     28.667       2.5492       6.2211       1.537e+04    0.24587          1.716e+04   0.27461         7.528e+05   12.044      3.751e+04   0.60019     0.038692      
56     28.668       2.5639       5.9833       1.553e+04    0.24853          1.711e+04   0.27376         7.613e+05   12.18       3.787e+04   0.60592     0.038692      
57     28.667       2.5394       6.1234       1.518e+04    0.2428           1.710e+04   0.27365         7.434e+05   11.894      3.745e+04   0.59922     0.038692      
58     28.668       2.538        5.8355       1.465e+04    0.23442          1.638e+04   0.26202         7.177e+05   11.483      3.562e+04   0.56997     0.038692      
59     28.668       2.5497       6.2011       1.446e+04    0.23128          1.583e+04   0.25325         7.074e+05   11.319      3.507e+04   0.56112     0.038692      
60     28.661       2.56         5.7229       1.543e+04    0.24685          1.686e+04   0.26978         7.544e+05   12.07       3.783e+04   0.60525     0.038692      
61     28.661       2.5648       5.8097       1.526e+04    0.24416          1.696e+04   0.27131         7.474e+05   11.959      3.758e+04   0.60122     0.038692      
62     28.661       2.5654       5.4499       1.371e+04    0.21941          1.539e+04   0.24629         6.711e+05   10.738      3.363e+04   0.53805     0.038692      
63     28.661       2.6008       6.0103       1.467e+04    0.23475          1.626e+04   0.26019         7.187e+05   11.499      3.615e+04   0.57837     0.038692      
