Performance Recorder: CBC_RTA_1D_Detailed_NoPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      19.493       89.226       9.6047       5.951e+04    0.95219          2.223e+05   3.5564          3.091e+06   49.451      1.522e+05   2.4359      0.11936       
1      19.492       89.218       8.4651       5.951e+04    0.95219          1.474e+05   2.3588          3.006e+06   48.098      1.481e+05   2.37        0.11936       
2      19.491       89.249       8.1574       5.951e+04    0.95219          1.679e+05   2.6868          2.887e+06   46.192      1.445e+05   2.3127      0.11936       
3      19.491       89.223       7.6868       5.951e+04    0.95219          1.514e+05   2.4223          2.717e+06   43.466      1.381e+05   2.209       0.11936       
4      19.495       89.227       9.7422       5.951e+04    0.95219          4.553e+05   7.285           3.069e+06   49.101      1.522e+05   2.4359      0.11936       
5      19.493       89.222       9.4925       5.951e+04    0.95219          2.708e+05   4.3329          3.136e+06   50.173      1.538e+05   2.4604      0.11936       
6      19.493       89.209       9.0376       5.951e+04    0.95219          2.245e+05   3.5913          3.109e+06   49.74       1.504e+05   2.4068      0.11936       
7      19.493       89.25        8.1726       5.951e+04    0.95219          2.434e+05   3.8947          2.968e+06   47.49       1.466e+05   2.345       0.11936       
8      19.491       89.221       8.5956       5.951e+04    0.95219          2.851e+05   4.5609          3.013e+06   48.202      1.470e+05   2.352       0.11936       
9      19.491       89.212       8.5353       5.951e+04    0.95219          2.824e+05   4.518           2.940e+06   47.043      1.450e+05   2.3195      0.11936       
10     19.49        89.222       8.4529       5.951e+04    0.95219          2.776e+05   4.4424          2.876e+06   46.019      1.438e+05   2.3002      0.11936       
11     19.491       89.248       8.509        5.951e+04    0.95219          3.011e+05   4.8182          2.906e+06   46.49       1.439e+05   2.3032      0.11936       
12     19.495       89.223       8.1976       5.951e+04    0.95219          2.603e+05   4.1646          2.856e+06   45.697      1.425e+05   2.2803      0.11936       
13     19.494       89.206       8.0449       5.951e+04    0.95219          2.479e+05   3.9666          2.747e+06   43.95       1.389e+05   2.2232      0.11936       
14     19.494       89.247       7.5405       5.951e+04    0.95219          2.575e+05   4.1197          2.628e+06   42.052      1.333e+05   2.1335      0.11936       
15     19.493       89.219       7.7719       5.952e+04    0.95237          2.086e+05   3.3376          2.575e+06   41.197      1.309e+05   2.0951      0.11936       
