Performance Recorder: CBC_RTA_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      60.183       26.643       12.158       1.488e+04    0.23805          9.498e+05   15.197          7.278e+05   11.645      3.606e+04   0.57699     0.11857       
1      60.18        26.6         13.445       1.488e+04    0.23805          9.496e+05   15.193          7.267e+05   11.627      3.629e+04   0.5807      0.11857       
2      60.183       26.582       11.288       1.488e+04    0.23805          9.493e+05   15.19           7.254e+05   11.606      3.640e+04   0.5824      0.11857       
3      60.18        26.599       11.533       1.488e+04    0.23805          9.489e+05   15.182          7.272e+05   11.635      3.613e+04   0.57808     0.11857       
4      60.18        26.546       15.434       1.488e+04    0.23805          9.495e+05   15.192          7.259e+05   11.614      3.618e+04   0.57888     0.11857       
5      60.18        26.59        14.698       1.488e+04    0.23805          9.492e+05   15.187          7.269e+05   11.63       3.622e+04   0.57949     0.11857       
6      60.18        26.558       12.43        1.488e+04    0.23805          9.493e+05   15.189          7.259e+05   11.614      3.600e+04   0.57592     0.11857       
7      60.181       26.572       31.181       1.488e+04    0.23805          9.494e+05   15.191          7.275e+05   11.64       3.621e+04   0.57942     0.11857       
8      60.18        26.572       13.559       1.488e+04    0.23805          9.499e+05   15.198          7.276e+05   11.642      3.638e+04   0.58213     0.11857       
9      60.178       26.576       15.64        1.488e+04    0.23805          9.494e+05   15.19           7.266e+05   11.626      3.622e+04   0.57949     0.11857       
10     60.182       26.554       13.732       1.488e+04    0.23805          9.493e+05   15.189          7.267e+05   11.628      3.619e+04   0.57904     0.11857       
11     60.18        26.58        10.892       1.488e+04    0.23805          9.495e+05   15.191          7.281e+05   11.649      3.617e+04   0.57874     0.11857       
12     60.182       26.562       15.292       1.488e+04    0.23805          9.497e+05   15.196          7.260e+05   11.616      3.610e+04   0.57762     0.11857       
13     60.179       26.556       13.166       1.488e+04    0.23805          9.500e+05   15.201          7.260e+05   11.616      3.614e+04   0.5783      0.11857       
14     60.182       26.564       9.7307       1.488e+04    0.23805          9.492e+05   15.188          7.271e+05   11.633      3.623e+04   0.5797      0.11857       
15     60.18        26.584       8.9179       1.488e+04    0.23805          9.493e+05   15.19           7.271e+05   11.634      3.613e+04   0.57808     0.11857       
16     60.181       26.586       13.084       1.488e+04    0.23805          9.502e+05   15.203          7.270e+05   11.632      3.614e+04   0.57826     0.11857       
17     60.178       26.583       15.368       1.488e+04    0.23805          9.492e+05   15.187          7.264e+05   11.622      3.630e+04   0.58085     0.11857       
18     60.18        26.569       12.509       1.488e+04    0.23805          9.491e+05   15.186          7.274e+05   11.638      3.619e+04   0.5791      0.11857       
19     60.179       26.6         13.364       1.488e+04    0.23805          9.494e+05   15.19           7.272e+05   11.635      3.640e+04   0.58238     0.11857       
20     60.177       26.565       15.175       1.488e+04    0.23805          9.495e+05   15.192          7.272e+05   11.635      3.610e+04   0.57766     0.11857       
21     60.177       26.573       14.232       1.488e+04    0.23805          9.493e+05   15.19           7.273e+05   11.637      3.625e+04   0.58        0.11857       
22     60.178       26.558       15.151       1.488e+04    0.23805          9.500e+05   15.2            7.275e+05   11.639      3.624e+04   0.57976     0.11857       
23     60.178       26.591       11.632       1.488e+04    0.23805          9.497e+05   15.196          7.282e+05   11.651      3.620e+04   0.57918     0.11857       
24     60.18        26.62        13.142       1.488e+04    0.23805          9.496e+05   15.193          7.259e+05   11.615      3.603e+04   0.57648     0.11857       
25     60.177       26.601       14.027       1.488e+04    0.23805          9.494e+05   15.19           7.246e+05   11.594      3.599e+04   0.57586     0.11857       
26     60.177       26.583       12.144       1.488e+04    0.23805          9.496e+05   15.194          7.276e+05   11.642      3.623e+04   0.5797      0.11857       
27     60.178       26.646       11.918       1.488e+04    0.23805          9.495e+05   15.192          7.264e+05   11.623      3.608e+04   0.5773      0.11857       
28     60.179       26.572       12.608       1.488e+04    0.23805          9.497e+05   15.196          7.269e+05   11.631      3.637e+04   0.58195     0.11857       
29     60.178       26.601       15.009       1.488e+04    0.23805          9.499e+05   15.199          7.290e+05   11.665      3.631e+04   0.58094     0.11857       
30     60.18        26.606       12.693       1.488e+04    0.23805          9.493e+05   15.188          7.261e+05   11.617      3.620e+04   0.57917     0.11857       
31     60.178       26.584       12.137       1.488e+04    0.23805          9.497e+05   15.195          7.276e+05   11.641      3.619e+04   0.57902     0.11857       
