Performance Recorder: RTAR_1DOP_Detailed_GPPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      2.1816       0.43455      0.10605       0.59962      1.514e+05    2.4232           6.276e+04   1.0042      5.470e+03   0.08752     0.0035343     
1      2.0982       0.53335      0.092748      0.57611      1.456e+05    2.3295           5.928e+04   0.94842     5.428e+03   0.086848    0.0035343     
2      1.9166       0.6406       0.084021      0.57121      1.417e+05    2.2669           5.811e+04   0.92982     5.391e+03   0.086256    0.0035343     
3      2.1466       0.42275      0.094791      0.62324      1.525e+05    2.4394           6.267e+04   1.0027      5.368e+03   0.085888    0.0035343     
4      2.1497       0.42194      0.092258      0.60631      1.520e+05    2.4327           6.230e+04   0.9968      5.516e+03   0.088256    0.0035343     
5      1.9839       0.65197      0.087147      0.5576       1.386e+05    2.2173           5.699e+04   0.91179     5.506e+03   0.088096    0.0035343     
6      1.8989       0.66764      0.094792      0.59594      1.466e+05    2.3461           5.988e+04   0.95816     5.462e+03   0.087392    0.0035343     
7      1.9213       0.6275       0.093951      0.59779      1.464e+05    2.3417           6.056e+04   0.96902     5.414e+03   0.086624    0.0035343     
8      1.9858       0.58766      0.11205       0.59825      1.493e+05    2.3887           6.138e+04   0.98202     5.434e+03   0.086944    0.0035343     
9      1.9509       0.67806      0.1123        0.5844       1.453e+05    2.3244           6.012e+04   0.96186     5.465e+03   0.08744     0.0035343     
10     1.8544       0.64847      0.083351      0.54903      1.374e+05    2.1989           5.641e+04   0.9025      5.390e+03   0.08624     0.0035343     
11     1.9361       0.65034      0.10771       0.58021      1.468e+05    2.3495           6.058e+04   0.96936     5.462e+03   0.087392    0.0035343     
12     1.8742       0.70634      0.091175      0.5437       1.370e+05    2.1912           5.639e+04   0.90227     5.360e+03   0.08576     0.0035343     
13     1.9235       0.6493       0.091857      0.59691      1.475e+05    2.3595           6.100e+04   0.97597     5.455e+03   0.08728     0.0035343     
14     1.8831       0.66075      0.085364      0.55615      1.366e+05    2.1854           5.594e+04   0.8951      5.430e+03   0.08688     0.0035343     
15     1.9455       0.66465      0.088992      0.55755      1.421e+05    2.2739           5.783e+04   0.92523     5.430e+03   0.08688     0.0035343     
