Performance Recorder: RTAR_1DOP_Detailed_NoPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      2.4156       1.7849       0.055908      0.12304      3.608e+04    0.57722          1.488e+04   0.23805     1.357e+03   0.021712    0.0048947     
1      2.3039       1.8375       0.057531      0.13275      3.828e+04    0.61251          1.488e+04   0.23805     1.349e+03   0.021584    0.0048947     
2      2.218        2.0196       0.054925      0.14925      3.921e+04    0.62733          1.488e+04   0.23805     1.356e+03   0.021696    0.0048947     
3      2.3848       1.7964       0.058232      0.13408      3.991e+04    0.63854          1.488e+04   0.23805     1.380e+03   0.02208     0.0048947     
4      2.2567       1.9145       0.056679      0.131        3.716e+04    0.59453          1.488e+04   0.23805     1.354e+03   0.021664    0.0048947     
5      2.2949       1.8739       0.05723       0.12927      3.794e+04    0.60701          1.488e+04   0.23805     1.357e+03   0.021712    0.0048947     
6      2.3493       1.8333       0.057631      0.13005      3.745e+04    0.59918          1.488e+04   0.23805     1.365e+03   0.02184     0.0048947     
7      2.3391       1.8457       0.057611      0.12825      3.658e+04    0.58525          1.488e+04   0.23805     1.379e+03   0.022064    0.0048947     
8      2.4066       1.7663       0.058803      0.12989      3.621e+04    0.57939          1.488e+04   0.23805     1.334e+03   0.021344    0.0048947     
9      2.5238       1.6479       0.057951      0.15443      3.647e+04    0.58355          1.488e+04   0.23805     1.356e+03   0.021696    0.0048947     
10     2.4763       1.6819       0.05731       0.1282       3.579e+04    0.57261          1.488e+04   0.23805     1.368e+03   0.021888    0.0048947     
11     2.2652       1.9492       0.05721       0.13087      3.627e+04    0.58038          1.488e+04   0.23805     1.363e+03   0.021808    0.0048947     
12     2.4256       1.7604       0.058353      0.12889      3.522e+04    0.56355          1.488e+04   0.23805     1.367e+03   0.021872    0.0048947     
13     2.2939       1.88         0.058713      0.13295      3.467e+04    0.55472          1.488e+04   0.23805     1.407e+03   0.022512    0.0048947     
14     2.4094       1.8039       0.05728       0.12667      3.384e+04    0.54149          1.488e+04   0.23805     1.366e+03   0.021856    0.0048947     
15     2.3353       1.8852       0.057119      0.12855      3.384e+04    0.5415           1.488e+04   0.23805     1.341e+03   0.021456    0.0048947     
16     2.2531       1.8751       0.057421      0.12474      3.375e+04    0.53995          1.488e+04   0.23805     1.306e+03   0.020896    0.0048947     
17     2.2634       1.9231       0.056719      0.13598      3.782e+04    0.6052           1.488e+04   0.23805     1.366e+03   0.021856    0.0048947     
18     2.2256       1.9681       0.057         0.14032      4.116e+04    0.65859          1.488e+04   0.23805     1.335e+03   0.02136     0.0048947     
19     2.2443       1.9979       0.056649      0.14237      3.960e+04    0.63355          1.488e+04   0.23805     1.355e+03   0.02168     0.0048947     
20     2.2521       1.9353       0.056079      0.12888      3.636e+04    0.58182          1.488e+04   0.23805     1.327e+03   0.021232    0.0048947     
21     2.2871       1.868        0.058113      0.12935      3.753e+04    0.60054          1.488e+04   0.23805     1.376e+03   0.022016    0.0048947     
22     2.4474       1.7038       0.057772      0.13344      3.992e+04    0.63878          1.488e+04   0.23805     1.354e+03   0.021664    0.0048947     
23     2.4135       1.7355       0.058203      0.13909      4.138e+04    0.66206          1.488e+04   0.23805     1.378e+03   0.022048    0.0048947     
24     2.4055       1.7537       0.057992      0.13139      3.846e+04    0.61544          1.488e+04   0.23805     1.354e+03   0.021664    0.0048947     
25     2.3256       1.8405       0.056269      0.13623      3.829e+04    0.61267          1.488e+04   0.23805     1.362e+03   0.021792    0.0048947     
26     2.3539       1.8457       0.056669      0.13167      3.766e+04    0.60262          1.488e+04   0.23805     1.328e+03   0.021248    0.0048947     
27     2.2934       1.8352       0.057641      0.13814      3.740e+04    0.59834          1.488e+04   0.23805     1.392e+03   0.022272    0.0048947     
28     2.216        2.0184       0.057361      0.12861      3.651e+04    0.58422          1.488e+04   0.23805     1.389e+03   0.022224    0.0048947     
29     2.2806       1.8878       0.058633      0.13358      3.698e+04    0.59162          1.488e+04   0.23805     1.390e+03   0.02224     0.0048947     
30     2.4847       1.7104       0.058312      0.12885      3.739e+04    0.59826          1.488e+04   0.23805     1.347e+03   0.021552    0.0048947     
31     2.3498       1.8171       0.058122      0.12889      3.675e+04    0.58795          1.488e+04   0.23805     1.356e+03   0.021696    0.0048947     
32     2.3394       1.8225       0.057801      0.12991      3.676e+04    0.58808          1.488e+04   0.23805     1.336e+03   0.021376    0.0048947     
33     2.4128       1.7451       0.058703      0.12986      3.655e+04    0.58483          1.488e+04   0.23805     1.402e+03   0.022432    0.0048947     
34     2.3543       1.8458       0.058933      0.13246      3.732e+04    0.59706          1.488e+04   0.23805     1.353e+03   0.021648    0.0048947     
35     2.274        1.8626       0.057291      0.12912      3.679e+04    0.58861          1.488e+04   0.23805     1.356e+03   0.021696    0.0048947     
36     2.2621       1.8597       0.060767      0.12642      3.513e+04    0.56205          1.488e+04   0.23805     1.381e+03   0.022096    0.0048947     
37     2.3386       1.7845       0.058102      0.13149      3.683e+04    0.5893           1.488e+04   0.23805     1.363e+03   0.021808    0.0048947     
38     2.2789       1.8916       0.058913      0.13087      3.724e+04    0.59586          1.488e+04   0.23805     1.354e+03   0.021664    0.0048947     
